year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,8.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,0.63
2000/01,Fall,10,7,5,4,4,6,6,5,5,7,8,4,6,0.6
2000/01,Winter,10,7,7,6,6,7,6,5,6,7,6,5,5,0.5
2000/01,Spring,10.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,0.6
2001/02,Summer,10.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,0.4
2001/02,Fall,10,7,7,6,6,6,6,6,6,6,7,6,4,0.4
2001/02,Winter,10,7,6,5,5,4,5,4,3,3,4,3,7,0.7
2001/02,Spring,10.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5
2002/03,Summer,10.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,0.5
2002/03,Fall,9,5,5,5,5,6,6,5,6,5,5,5,4,0.44
2002/03,Winter,9,5,5,5,5,5,4,4,4,5,5,4,5,0.56
2002/03,Spring,9.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,4.0,0.44
2003/04,Summer,9.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,6.0,7.0,6.0,4.0,5.0,0.56
2003/04,Fall,10,6,5,6,6,6,5,5,5,6,6,5,5,0.5
2003/04,Winter,11,6,6,5,3,5,5,6,6,6,7,3,8,0.73
2003/04,Spring,11.0,8.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,8.0,5.0,6.0,0.55
2004/05,Summer,11.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,7.0,4.0,0.36
2004/05,Fall,7,6,4,3,3,3,5,3,5,6,6,3,4,0.57
2004/05,Winter,8,7,4,4,4,5,5,4,4,5,7,4,4,0.5
2004/05,Spring,8.0,7.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,0.5
2005/06,Summer,8.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,5.0,3.0,0.38
2005/06,Fall,8,7,5,4,5,6,4,4,5,7,6,4,4,0.5
2005/06,Winter,8,7,3,3,2,3,3,3,3,5,6,2,6,0.75
2005/06,Spring,7.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,5.0,3.0,4.0,0.57
2006/07,Summer,6.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,0.5
2006/07,Fall,6,5,3,3,3,3,3,3,3,3,5,3,3,0.5
