year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,55.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,1.0,54.0,0.98
2000/01,Fall,55,0,0,0,0,0,0,0,0,0,0,0,55,1.0
2000/01,Winter,55,0,0,0,0,0,0,0,0,1,0,0,55,1.0
2000/01,Spring,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0
2001/02,Summer,55.0,16.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,9.0,1.0,54.0,0.98
2001/02,Fall,55,0,0,0,0,0,0,0,0,0,0,0,55,1.0
2001/02,Winter,55,0,0,0,0,0,0,0,1,0,1,0,55,1.0
2001/02,Spring,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,1.0
2002/03,Summer,55.0,17.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,10.0,14.0,3.0,52.0,0.95
2002/03,Fall,55,0,0,0,0,0,0,0,0,0,0,0,55,1.0
2002/03,Winter,52,0,0,0,0,0,0,0,0,1,0,0,52,1.0
2002/03,Spring,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0
2003/04,Summer,52.0,11.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,5.0,6.0,0.0,52.0,1.0
2003/04,Fall,52,0,0,0,0,0,0,0,0,0,0,0,52,1.0
2003/04,Winter,52,0,0,0,0,0,0,0,0,0,1,0,52,1.0
2003/04,Spring,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,1.0
2004/05,Summer,52.0,15.0,4.0,3.0,2.0,4.0,3.0,3.0,6.0,5.0,10.0,2.0,50.0,0.96
2004/05,Fall,52,0,0,0,0,0,0,0,0,0,0,0,52,1.0
2004/05,Winter,52,0,0,0,0,0,0,0,0,0,1,0,52,1.0
2004/05,Spring,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,1.0
2005/06,Summer,52.0,6.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,9.0,8.0,3.0,49.0,0.94
2005/06,Fall,52,0,0,0,0,0,0,1,1,0,1,0,52,1.0
2005/06,Winter,52,0,0,0,0,0,0,0,0,0,1,0,52,1.0
2005/06,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0
2006/07,Summer,49.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,7.0,2.0,47.0,0.96
2006/07,Fall,49,0,0,0,0,0,0,0,0,0,1,0,49,1.0
2006/07,Winter,49,0,0,0,0,0,0,0,0,0,1,0,49,1.0
2006/07,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0
2007/08,Summer,49.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,1.0,48.0,0.98
2007/08,Fall,49,1,0,0,0,0,0,0,0,1,2,0,49,1.0
2007/08,Winter,49,1,0,0,0,0,0,0,1,0,1,0,49,1.0
2007/08,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.0,1.0
2008/09,Summer,49.0,12.0,9.0,6.0,5.0,4.0,2.0,2.0,4.0,4.0,7.0,2.0,47.0,0.96
2008/09,Fall,49,2,0,0,0,1,0,1,0,1,3,0,49,1.0
2008/09,Winter,49,1,0,0,0,0,0,0,0,0,2,0,49,1.0
2008/09,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,1.0
2009/10,Summer,49.0,11.0,8.0,7.0,5.0,7.0,4.0,4.0,8.0,10.0,13.0,4.0,45.0,0.92
2009/10,Fall,49,0,0,0,0,0,0,0,0,1,1,0,49,1.0
2009/10,Winter,49,0,0,0,0,0,0,0,0,0,1,0,49,1.0
2009/10,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.0,1.0
2010/11,Summer,49.0,17.0,9.0,6.0,2.0,1.0,0.0,3.0,7.0,11.0,16.0,0.0,49.0,1.0
2010/11,Fall,49,0,0,0,0,0,0,0,1,1,2,0,49,1.0
2010/11,Winter,49,0,0,0,0,0,0,0,1,1,1,0,49,1.0
2010/11,Spring,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,49.0,1.0
2011/12,Summer,49.0,25.0,13.0,3.0,2.0,2.0,1.0,2.0,11.0,12.0,25.0,1.0,48.0,0.98
2011/12,Fall,49,1,0,0,0,0,0,1,2,0,3,0,49,1.0
2011/12,Winter,49,0,0,0,0,1,0,1,1,1,1,0,49,1.0
2011/12,Spring,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,1.0
2012/13,Summer,49.0,32.0,21.0,7.0,2.0,3.0,3.0,2.0,11.0,16.0,29.0,2.0,47.0,0.96
2012/13,Fall,49,0,0,0,0,1,0,0,2,0,0,0,49,1.0
2012/13,Winter,49,0,1,1,0,1,0,0,1,1,1,0,49,1.0
2012/13,Spring,49.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,49.0,1.0
2013/14,Summer,49.0,29.0,22.0,10.0,0.0,2.0,3.0,4.0,8.0,10.0,22.0,0.0,49.0,1.0
2013/14,Fall,49,0,0,0,0,0,0,0,0,0,0,0,49,1.0
2013/14,Winter,49,0,0,0,0,0,0,0,0,0,1,0,49,1.0
