year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,48.0,38.0,26.0,19.0,12.0,7.0,11.0,17.0,11.0,18.0,16.0,7.0,41.0,0.85
2000/01,Fall,48,23,7,2,2,3,3,0,3,2,3,0,48,1.0
2000/01,Winter,48,31,13,5,3,5,5,4,8,8,8,3,45,0.94
2000/01,Spring,48.0,34.0,14.0,6.0,3.0,3.0,5.0,3.0,4.0,6.0,7.0,3.0,45.0,0.94
2001/02,Summer,48.0,38.0,29.0,22.0,12.0,11.0,12.0,8.0,9.0,17.0,16.0,8.0,40.0,0.83
2001/02,Fall,48,37,17,7,7,7,7,5,6,8,11,5,43,0.9
2001/02,Winter,44,30,15,7,3,2,5,6,8,8,5,2,42,0.95
2001/02,Spring,44.0,33.0,20.0,5.0,4.0,4.0,9.0,3.0,4.0,5.0,3.0,3.0,41.0,0.93
2002/03,Summer,50.0,42.0,27.0,14.0,10.0,11.0,15.0,13.0,16.0,21.0,24.0,10.0,40.0,0.8
2002/03,Fall,49,31,13,4,3,5,7,5,6,13,10,3,46,0.94
2002/03,Winter,49,28,16,6,3,2,2,3,6,8,10,2,47,0.96
2002/03,Spring,49.0,34.0,17.0,4.0,3.0,4.0,8.0,5.0,4.0,9.0,12.0,3.0,46.0,0.94
2003/04,Summer,49.0,39.0,28.0,14.0,10.0,6.0,15.0,12.0,13.0,20.0,20.0,6.0,43.0,0.88
2003/04,Fall,49,32,9,3,1,2,8,5,8,7,9,1,48,0.98
2003/04,Winter,49,31,14,5,4,3,3,5,4,6,6,3,46,0.94
2003/04,Spring,49.0,31.0,13.0,7.0,5.0,5.0,6.0,4.0,7.0,5.0,8.0,4.0,45.0,0.92
2004/05,Summer,49.0,38.0,25.0,14.0,13.0,11.0,10.0,8.0,10.0,14.0,13.0,8.0,41.0,0.84
2004/05,Fall,49,39,17,11,3,4,4,4,7,5,6,3,46,0.94
2004/05,Winter,49,29,17,5,2,4,5,5,8,9,13,2,47,0.96
2004/05,Spring,49.0,28.0,17.0,4.0,0.0,4.0,2.0,5.0,8.0,6.0,6.0,0.0,49.0,1.0
2005/06,Summer,49.0,34.0,27.0,15.0,9.0,11.0,10.0,11.0,9.0,9.0,19.0,9.0,40.0,0.82
2005/06,Fall,49,23,8,3,2,2,7,3,8,7,12,2,47,0.96
2005/06,Winter,49,26,9,6,4,7,9,4,9,9,11,4,45,0.92
2005/06,Spring,49.0,27.0,11.0,4.0,2.0,5.0,3.0,7.0,3.0,4.0,5.0,2.0,47.0,0.96
2006/07,Summer,49.0,30.0,16.0,6.0,8.0,8.0,10.0,13.0,10.0,10.0,14.0,6.0,43.0,0.88
2006/07,Fall,49,25,8,2,2,3,4,3,2,4,8,2,47,0.96
2006/07,Winter,47,22,9,5,3,6,6,4,4,1,11,1,46,0.98
2006/07,Spring,29.0,13.0,8.0,2.0,3.0,3.0,6.0,3.0,2.0,2.0,4.0,2.0,27.0,0.93
2007/08,Summer,29.0,14.0,10.0,5.0,4.0,5.0,6.0,4.0,7.0,5.0,7.0,4.0,25.0,0.86
2007/08,Fall,29,19,8,5,6,5,6,7,9,4,6,4,25,0.86
2007/08,Winter,29,19,8,5,5,5,5,5,3,1,1,1,28,0.97
2007/08,Spring,29.0,15.0,9.0,4.0,2.0,3.0,4.0,4.0,6.0,4.0,5.0,2.0,27.0,0.93
2008/09,Summer,45.0,35.0,25.0,13.0,12.0,13.0,16.0,16.0,15.0,16.0,19.0,12.0,33.0,0.73
2008/09,Fall,45,29,13,8,3,4,4,7,6,10,10,3,42,0.93
2008/09,Winter,45,34,19,11,7,6,5,3,5,8,11,3,42,0.93
2008/09,Spring,45.0,36.0,19.0,9.0,5.0,6.0,7.0,8.0,11.0,8.0,12.0,5.0,40.0,0.89
