year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2056.0,774.0,536.0,350.0,268.0,319.0,349.0,322.0,316.0,437.0,706.0,268.0,1788.0,0.87
2000/01,Fall,2056,817,546,315,242,276,324,302,327,512,737,242,1814,0.88
2000/01,Winter,2056,754,507,280,213,233,267,261,306,490,748,213,1843,0.9
2000/01,Spring,2056.0,823.0,587.0,333.0,256.0,294.0,331.0,314.0,360.0,515.0,763.0,256.0,1800.0,0.88
2001/02,Summer,2067.0,821.0,571.0,370.0,273.0,299.0,352.0,315.0,352.0,532.0,796.0,273.0,1794.0,0.87
2001/02,Fall,2070,794,492,265,198,230,298,301,341,501,729,198,1872,0.9
2001/02,Winter,2067,813,480,293,199,232,297,276,342,531,824,199,1868,0.9
2001/02,Spring,2056.0,740.0,486.0,295.0,198.0,247.0,292.0,278.0,343.0,529.0,765.0,198.0,1858.0,0.9
2002/03,Summer,2058.0,717.0,451.0,278.0,196.0,222.0,275.0,222.0,289.0,471.0,755.0,196.0,1862.0,0.9
2002/03,Fall,2059,720,464,256,174,222,260,235,310,496,737,174,1885,0.92
2002/03,Winter,2060,813,459,258,190,211,256,243,332,510,807,190,1870,0.91
2002/03,Spring,2059.0,817.0,500.0,298.0,232.0,287.0,304.0,292.0,393.0,609.0,873.0,232.0,1827.0,0.89
2003/04,Summer,2024.0,771.0,468.0,276.0,213.0,267.0,272.0,250.0,323.0,519.0,788.0,213.0,1811.0,0.89
2003/04,Fall,2024,736,406,215,179,227,262,234,328,527,798,179,1845,0.91
2003/04,Winter,2087,808,489,269,214,254,278,289,369,520,794,214,1873,0.9
2003/04,Spring,2087.0,824.0,502.0,325.0,265.0,293.0,316.0,323.0,377.0,569.0,829.0,265.0,1822.0,0.87
2004/05,Summer,2089.0,804.0,498.0,308.0,254.0,275.0,306.0,285.0,330.0,505.0,759.0,254.0,1835.0,0.88
2004/05,Fall,2089,751,406,222,155,188,209,210,269,463,785,155,1934,0.93
2004/05,Winter,2089,758,417,254,191,192,216,232,296,512,792,191,1898,0.91
2004/05,Spring,2089.0,810.0,470.0,296.0,227.0,268.0,297.0,281.0,359.0,527.0,847.0,227.0,1862.0,0.89
2005/06,Summer,2089.0,840.0,520.0,333.0,271.0,280.0,315.0,278.0,335.0,546.0,840.0,271.0,1818.0,0.87
2005/06,Fall,2010,682,435,275,226,223,243,250,322,513,794,223,1787,0.89
2005/06,Winter,2026,801,439,267,223,232,276,288,345,595,929,223,1803,0.89
2005/06,Spring,2025.0,788.0,484.0,322.0,257.0,276.0,277.0,282.0,373.0,573.0,864.0,257.0,1768.0,0.87
2006/07,Summer,2020.0,823.0,492.0,299.0,231.0,257.0,298.0,280.0,338.0,542.0,852.0,231.0,1789.0,0.89
2006/07,Fall,2038,758,474,325,273,306,334,340,416,631,938,273,1765,0.87
2006/07,Winter,2053,693,399,287,240,258,274,252,346,596,926,240,1813,0.88
2006/07,Spring,2090.0,769.0,519.0,351.0,300.0,320.0,338.0,326.0,412.0,642.0,983.0,300.0,1790.0,0.86
2007/08,Summer,2082.0,708.0,428.0,288.0,225.0,234.0,259.0,242.0,327.0,584.0,957.0,225.0,1857.0,0.89
2007/08,Fall,2080,637,348,202,176,206,231,235,339,555,924,176,1904,0.92
2007/08,Winter,2078,851,400,205,159,185,209,219,296,507,862,159,1919,0.92
2007/08,Spring,2078.0,847.0,495.0,278.0,200.0,213.0,258.0,241.0,323.0,539.0,890.0,200.0,1878.0,0.9
2008/09,Summer,2116.0,918.0,527.0,335.0,262.0,275.0,315.0,304.0,364.0,567.0,937.0,262.0,1854.0,0.88
2008/09,Fall,2107,859,497,252,201,235,274,275,369,550,939,201,1906,0.9
2008/09,Winter,2098,758,459,266,189,213,247,245,326,537,961,189,1909,0.91
2008/09,Spring,2083.0,766.0,488.0,322.0,269.0,263.0,314.0,311.0,408.0,623.0,1027.0,263.0,1820.0,0.87
2009/10,Summer,2054.0,820.0,490.0,337.0,269.0,267.0,308.0,303.0,388.0,599.0,1066.0,267.0,1787.0,0.87
2009/10,Fall,2056,751,434,263,211,219,270,283,370,561,1010,211,1845,0.9
2009/10,Winter,2055,733,386,239,179,195,237,233,331,509,942,179,1876,0.91
2009/10,Spring,2062.0,798.0,414.0,259.0,223.0,231.0,256.0,273.0,353.0,609.0,1035.0,223.0,1839.0,0.89
2010/11,Summer,2061.0,813.0,507.0,342.0,273.0,293.0,326.0,328.0,365.0,603.0,988.0,273.0,1788.0,0.87
2010/11,Fall,2063,772,437,258,192,198,252,265,331,583,1003,192,1871,0.91
2010/11,Winter,2063,780,456,272,218,247,290,305,378,625,1018,218,1845,0.89
2010/11,Spring,2042.0,800.0,456.0,288.0,232.0,238.0,263.0,287.0,348.0,577.0,981.0,232.0,1810.0,0.89
2011/12,Summer,2044.0,782.0,464.0,305.0,237.0,224.0,267.0,277.0,361.0,614.0,1022.0,224.0,1820.0,0.89
2011/12,Fall,2049,892,581,376,315,313,336,335,423,655,1031,313,1736,0.85
2011/12,Winter,2067,833,528,330,287,307,321,306,422,660,1051,287,1780,0.86
2011/12,Spring,2063.0,903.0,567.0,380.0,288.0,295.0,326.0,327.0,417.0,640.0,1051.0,288.0,1775.0,0.86
2012/13,Summer,2063.0,936.0,654.0,496.0,410.0,426.0,457.0,465.0,524.0,716.0,1076.0,410.0,1653.0,0.8
2012/13,Fall,2063,981,678,483,427,429,455,457,544,740,1110,427,1636,0.79
2012/13,Winter,2063,958,667,463,391,404,399,388,452,655,1001,388,1675,0.81
2012/13,Spring,2168.0,1145.0,721.0,598.0,505.0,540.0,582.0,566.0,617.0,782.0,1154.0,505.0,1663.0,0.77
2013/14,Summer,2169.0,1097.0,756.0,538.0,476.0,491.0,528.0,506.0,583.0,761.0,1153.0,476.0,1693.0,0.78
2013/14,Fall,2169,1175,856,611,519,509,522,510,575,749,1100,509,1660,0.77
2013/14,Winter,2170,1073,741,522,459,464,521,494,565,758,1096,459,1711,0.79
2013/14,Spring,2170.0,1160.0,733.0,550.0,497.0,520.0,537.0,502.0,546.0,749.0,1091.0,497.0,1673.0,0.77
2014/15,2170,1080,706,489,406,422,468,427,496,703,1069,406,1764,0.81
2014/15,2170,1072,722,494,430,425,443,400,510,707,1101,400,1770,0.82
2014/15,2168,1079,709,511,418,406,412,418,532,739,1101,406,1762,0.81
2014/15,2175,1063,726,512,460,476,482,430,513,709,1083,430,1745,0.8
