year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1137.0,278.0,164.0,97.0,68.0,89.0,104.0,111.0,114.0,214.0,394.0,68.0,1069.0,0.94
2000/01,Fall,1137,303,165,76,63,75,88,123,139,271,419,63,1074,0.94
2000/01,Winter,1167,294,146,82,57,62,78,94,138,277,444,57,1110,0.95
2000/01,Spring,1167.0,336.0,221.0,120.0,91.0,103.0,128.0,148.0,186.0,301.0,467.0,91.0,1076.0,0.92
2001/02,Summer,1167.0,318.0,191.0,119.0,91.0,99.0,125.0,139.0,164.0,291.0,461.0,91.0,1076.0,0.92
2001/02,Fall,1167,278,130,58,35,52,86,112,150,249,412,35,1132,0.97
2001/02,Winter,1165,297,130,69,46,66,80,102,155,281,473,46,1119,0.96
2001/02,Spring,1165.0,231.0,107.0,47.0,27.0,43.0,58.0,75.0,124.0,243.0,399.0,27.0,1138.0,0.98
2002/03,Summer,1167.0,239.0,113.0,54.0,31.0,42.0,64.0,66.0,112.0,232.0,402.0,31.0,1136.0,0.97
2002/03,Fall,1167,246,124,52,29,53,70,84,130,250,407,29,1138,0.98
2002/03,Winter,1151,304,141,73,44,52,68,96,150,269,464,44,1107,0.96
2002/03,Spring,1151.0,319.0,169.0,89.0,68.0,81.0,88.0,111.0,182.0,320.0,506.0,68.0,1083.0,0.94
2003/04,Summer,1151.0,295.0,152.0,78.0,49.0,70.0,68.0,83.0,132.0,264.0,446.0,49.0,1102.0,0.96
2003/04,Fall,1151,279,120,50,37,54,57,79,139,270,462,37,1114,0.97
2003/04,Winter,1151,286,125,45,36,41,47,76,129,243,418,36,1115,0.97
2003/04,Spring,1151.0,290.0,129.0,64.0,42.0,50.0,58.0,88.0,136.0,269.0,441.0,42.0,1109.0,0.96
2004/05,Summer,1136.0,247.0,91.0,25.0,19.0,26.0,36.0,46.0,81.0,203.0,374.0,19.0,1117.0,0.98
2004/05,Fall,1136,215,49,3,0,12,16,33,78,213,417,0,1136,1.0
2004/05,Winter,1136,237,70,22,10,18,21,57,98,236,423,10,1126,0.99
2004/05,Spring,1156.0,261.0,91.0,37.0,26.0,46.0,56.0,76.0,130.0,238.0,462.0,26.0,1130.0,0.98
2005/06,Summer,1156.0,283.0,119.0,62.0,42.0,50.0,61.0,63.0,105.0,245.0,445.0,42.0,1114.0,0.96
2005/06,Fall,1156,188,71,32,25,28,37,64,117,250,457,25,1131,0.98
2005/06,Winter,1158,273,73,29,21,30,45,73,121,303,525,21,1137,0.98
2005/06,Spring,1139.0,263.0,105.0,55.0,42.0,49.0,60.0,78.0,145.0,285.0,480.0,42.0,1097.0,0.96
2006/07,Summer,1139.0,316.0,142.0,81.0,65.0,78.0,83.0,97.0,140.0,268.0,472.0,65.0,1074.0,0.94
2006/07,Fall,1139,249,107,63,52,63,76,93,148,297,501,52,1087,0.95
2006/07,Winter,1138,181,37,9,11,21,21,35,95,268,497,9,1129,0.99
2006/07,Spring,1138.0,244.0,112.0,53.0,52.0,58.0,66.0,77.0,123.0,280.0,506.0,52.0,1086.0,0.95
2007/08,Summer,1135.0,197.0,77.0,33.0,18.0,21.0,26.0,36.0,81.0,252.0,492.0,18.0,1117.0,0.98
2007/08,Fall,1135,178,47,8,10,12,35,56,115,251,496,8,1127,0.99
2007/08,Winter,1135,334,45,1,3,12,21,35,99,245,481,1,1134,1.0
2007/08,Spring,1135.0,360.0,165.0,49.0,23.0,14.0,26.0,32.0,85.0,225.0,459.0,14.0,1121.0,0.99
2008/09,Summer,1135.0,397.0,137.0,52.0,36.0,37.0,48.0,56.0,101.0,231.0,474.0,36.0,1099.0,0.97
2008/09,Fall,1135,350,124,16,8,19,30,48,105,218,472,8,1127,0.99
2008/09,Winter,1133,237,45,1,3,15,23,43,103,253,542,1,1132,1.0
2008/09,Spring,1133.0,246.0,66.0,18.0,12.0,20.0,35.0,50.0,130.0,276.0,573.0,12.0,1121.0,0.99
2009/10,Summer,1133.0,289.0,84.0,39.0,22.0,32.0,32.0,49.0,106.0,261.0,600.0,22.0,1111.0,0.98
2009/10,Fall,1133,229,48,4,3,14,22,42,93,221,564,3,1130,1.0
2009/10,Winter,1133,224,11,1,2,12,19,33,103,238,552,1,1132,1.0
2009/10,Spring,1133.0,264.0,33.0,3.0,7.0,21.0,24.0,43.0,89.0,270.0,592.0,3.0,1130.0,1.0
2010/11,Summer,1133.0,272.0,87.0,24.0,23.0,31.0,41.0,53.0,94.0,253.0,531.0,23.0,1110.0,0.98
2010/11,Fall,1139,241,40,5,7,16,29,43,99,280,576,5,1134,1.0
2010/11,Winter,1139,250,55,10,6,17,36,68,122,307,581,6,1133,0.99
2010/11,Spring,1139.0,257.0,39.0,2.0,0.0,9.0,15.0,40.0,97.0,262.0,559.0,0.0,1139.0,1.0
2011/12,Summer,1139.0,250.0,43.0,7.0,4.0,13.0,30.0,56.0,109.0,282.0,577.0,4.0,1135.0,1.0
2011/12,Fall,1138,300,88,24,15,17,18,37,93,264,546,15,1123,0.99
2011/12,Winter,1198,294,88,45,35,44,51,79,153,331,616,35,1163,0.97
2011/12,Spring,1198.0,332.0,115.0,54.0,34.0,44.0,68.0,88.0,141.0,305.0,615.0,34.0,1164.0,0.97
