year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,123.0,83.0,69.0,56.0,52.0,54.0,51.0,47.0,52.0,54.0,61.0,47.0,76.0,0.62
2000/01,Fall,124,92,78,59,51,53,59,52,51,54,57,51,73,0.59
2000/01,Winter,128,86,73,54,45,48,49,49,49,56,70,45,83,0.65
2000/01,Spring,128.0,90.0,83.0,62.0,52.0,50.0,55.0,47.0,49.0,52.0,65.0,47.0,81.0,0.63
2001/02,Summer,128.0,96.0,78.0,68.0,58.0,59.0,56.0,57.0,53.0,54.0,65.0,53.0,75.0,0.59
2001/02,Fall,125,92,71,60,50,53,57,53,52,55,60,50,75,0.6
2001/02,Winter,122,89,76,66,55,51,55,50,53,52,62,50,72,0.59
2001/02,Spring,123.0,86.0,70.0,56.0,49.0,53.0,57.0,52.0,54.0,60.0,61.0,49.0,74.0,0.6
2002/03,Summer,120.0,81.0,67.0,57.0,47.0,48.0,52.0,46.0,49.0,51.0,63.0,46.0,74.0,0.62
2002/03,Fall,122,81,69,58,48,49,48,46,50,54,64,46,76,0.62
2002/03,Winter,120,81,61,50,42,43,45,44,47,49,55,42,78,0.65
2002/03,Spring,120.0,86.0,65.0,51.0,49.0,51.0,51.0,47.0,47.0,54.0,64.0,47.0,73.0,0.61
2003/04,Summer,120.0,85.0,67.0,56.0,51.0,54.0,52.0,49.0,54.0,54.0,63.0,49.0,71.0,0.59
2003/04,Fall,122,90,68,57,52,54,58,53,55,54,60,52,70,0.57
2003/04,Winter,128,87,68,55,49,51,55,52,54,57,65,49,79,0.62
2003/04,Spring,127.0,90.0,66.0,55.0,55.0,54.0,57.0,52.0,55.0,60.0,69.0,52.0,75.0,0.59
2004/05,Summer,126.0,93.0,72.0,62.0,57.0,58.0,59.0,54.0,55.0,62.0,70.0,54.0,72.0,0.57
2004/05,Fall,126,88,66,55,47,50,56,53,49,55,67,47,79,0.63
2004/05,Winter,121,84,68,56,51,48,51,53,47,57,64,47,74,0.61
2004/05,Spring,122.0,90.0,70.0,58.0,54.0,55.0,58.0,55.0,57.0,61.0,67.0,54.0,68.0,0.56
