year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,16.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,14.0,0.88
2000/01,Fall,16,3,1,0,1,1,2,1,2,3,4,0,16,1.0
2000/01,Winter,16,5,4,4,2,3,3,1,4,7,7,1,15,0.94
2000/01,Spring,16.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,8.0,2.0,14.0,0.88
2001/02,Summer,23.0,6.0,4.0,4.0,1.0,5.0,8.0,9.0,11.0,13.0,15.0,1.0,22.0,0.96
2001/02,Fall,23,5,4,5,5,6,5,5,5,10,11,4,19,0.83
2001/02,Winter,23,8,6,4,4,3,5,2,3,6,9,2,21,0.91
2001/02,Spring,23.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,11.0,11.0,13.0,7.0,16.0,0.7
2002/03,Summer,23.0,11.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,8.0,11.0,6.0,17.0,0.74
2002/03,Fall,24,8,7,6,8,8,8,8,7,12,12,6,18,0.75
2002/03,Winter,23,8,5,4,4,7,7,8,7,10,11,4,19,0.83
2002/03,Spring,23.0,7.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,7.0,10.0,4.0,19.0,0.83
2003/04,Summer,23.0,7.0,5.0,3.0,5.0,6.0,5.0,5.0,8.0,10.0,11.0,3.0,20.0,0.87
2003/04,Fall,23,5,3,0,2,4,4,4,5,9,11,0,23,1.0
2003/04,Winter,23,6,4,2,2,3,3,5,7,9,11,2,21,0.91
2003/04,Spring,23.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,13.0,13.0,7.0,16.0,0.7
2004/05,Summer,23.0,9.0,7.0,6.0,4.0,7.0,7.0,7.0,9.0,11.0,12.0,4.0,19.0,0.83
2004/05,Fall,23,4,1,1,1,3,2,2,4,6,8,1,22,0.96
2004/05,Winter,23,6,6,5,3,5,6,7,7,9,10,3,20,0.87
2004/05,Spring,20.0,7.0,5.0,5.0,4.0,6.0,7.0,7.0,8.0,10.0,12.0,4.0,16.0,0.8
2005/06,Summer,20.0,6.0,4.0,3.0,5.0,6.0,6.0,4.0,7.0,8.0,11.0,3.0,17.0,0.85
2005/06,Fall,11,4,4,3,2,1,2,0,0,0,1,0,11,1.0
2005/06,Winter,11,2,2,1,2,2,2,1,1,4,5,1,10,0.91
