year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,278.0,232.0,188.0,143.0,121.0,114.0,116.0,122.0,131.0,159.0,184.0,114.0,164.0,0.59
2000/01,Fall,278,218,160,83,32,19,17,13,28,48,57,13,265,0.95
2000/01,Winter,278,218,146,76,30,10,8,7,19,43,56,7,271,0.97
2000/01,Spring,277.0,212.0,151.0,78.0,38.0,17.0,13.0,14.0,27.0,47.0,54.0,13.0,264.0,0.95
2001/02,Summer,277.0,240.0,204.0,158.0,120.0,115.0,119.0,119.0,121.0,141.0,153.0,115.0,162.0,0.58
2001/02,Fall,278,221,147,82,41,30,24,24,45,74,63,24,254,0.91
2001/02,Winter,278,218,152,72,38,20,22,27,35,55,69,20,258,0.93
2001/02,Spring,278.0,218.0,162.0,98.0,53.0,27.0,24.0,24.0,44.0,56.0,55.0,24.0,254.0,0.91
2002/03,Summer,278.0,247.0,207.0,171.0,138.0,130.0,132.0,127.0,137.0,157.0,175.0,127.0,151.0,0.54
2002/03,Fall,275,221,145,74,34,16,16,22,39,65,79,16,259,0.94
2002/03,Winter,247,192,126,49,10,0,4,8,24,44,48,0,247,1.0
2002/03,Spring,277.0,231.0,147.0,83.0,47.0,19.0,16.0,21.0,39.0,66.0,66.0,16.0,261.0,0.94
2003/04,Summer,277.0,241.0,201.0,160.0,135.0,127.0,129.0,122.0,135.0,141.0,161.0,122.0,155.0,0.56
2003/04,Fall,274,194,145,78,40,30,28,29,37,54,48,28,246,0.9
2003/04,Winter,272,220,157,90,42,21,15,19,40,60,62,15,257,0.94
2003/04,Spring,271.0,213.0,143.0,78.0,41.0,21.0,17.0,20.0,39.0,60.0,69.0,17.0,254.0,0.94
2004/05,Summer,271.0,241.0,201.0,152.0,134.0,131.0,132.0,133.0,141.0,157.0,167.0,131.0,140.0,0.52
2004/05,Fall,271,208,150,83,48,19,17,24,43,59,55,17,254,0.94
2004/05,Winter,271,227,177,99,34,19,15,17,27,52,70,15,256,0.94
2004/05,Spring,272.0,230.0,177.0,103.0,40.0,26.0,22.0,16.0,30.0,56.0,64.0,16.0,256.0,0.94
2005/06,Summer,272.0,244.0,215.0,177.0,150.0,141.0,140.0,143.0,151.0,167.0,182.0,140.0,132.0,0.49
2005/06,Fall,272,236,201,124,86,66,61,69,86,109,119,61,211,0.78
2005/06,Winter,273,242,194,122,85,53,46,46,70,85,86,46,227,0.83
2005/06,Spring,273.0,233.0,174.0,124.0,85.0,67.0,57.0,50.0,75.0,100.0,108.0,50.0,223.0,0.82
2006/07,Summer,272.0,248.0,220.0,194.0,166.0,162.0,160.0,154.0,163.0,176.0,182.0,154.0,118.0,0.43
2006/07,Fall,270,224,161,96,61,47,32,30,52,68,83,30,240,0.89
2006/07,Winter,268,205,149,59,25,12,10,17,37,55,67,10,258,0.96
2006/07,Spring,268.0,218.0,175.0,120.0,72.0,50.0,38.0,34.0,52.0,73.0,86.0,34.0,234.0,0.87
2007/08,Summer,266.0,238.0,212.0,177.0,151.0,137.0,142.0,148.0,155.0,175.0,188.0,137.0,129.0,0.48
2007/08,Fall,266,224,167,109,53,36,41,45,67,92,93,36,230,0.86
2007/08,Winter,266,225,166,105,63,32,24,39,55,74,66,24,242,0.91
2007/08,Spring,266.0,215.0,157.0,108.0,63.0,48.0,40.0,45.0,54.0,83.0,86.0,40.0,226.0,0.85
2008/09,Summer,266.0,244.0,214.0,186.0,160.0,153.0,144.0,138.0,152.0,169.0,187.0,138.0,128.0,0.48
2008/09,Fall,266,211,159,110,72,41,30,40,59,74,87,30,236,0.89
2008/09,Winter,266,232,184,113,61,36,24,21,30,46,64,21,245,0.92
2008/09,Spring,270.0,219.0,172.0,98.0,50.0,36.0,23.0,24.0,29.0,54.0,34.0,23.0,247.0,0.91
2009/10,Summer,270.0,247.0,209.0,172.0,140.0,137.0,127.0,143.0,149.0,172.0,184.0,127.0,143.0,0.53
2009/10,Fall,270,216,165,111,66,46,32,40,58,88,74,32,238,0.88
2009/10,Winter,270,219,166,106,60,32,26,29,39,63,42,26,244,0.9
2009/10,Spring,270.0,227.0,168.0,109.0,68.0,43.0,35.0,39.0,55.0,81.0,57.0,35.0,235.0,0.87
2010/11,Summer,272.0,241.0,197.0,169.0,145.0,130.0,123.0,128.0,148.0,159.0,174.0,123.0,149.0,0.55
2010/11,Fall,272,227,155,98,65,36,37,33,47,80,69,33,239,0.88
2010/11,Winter,272,209,146,92,50,28,18,22,38,63,39,18,254,0.93
2010/11,Spring,272.0,232.0,170.0,103.0,58.0,30.0,15.0,29.0,44.0,63.0,54.0,15.0,257.0,0.94
2011/12,Summer,272.0,233.0,191.0,140.0,118.0,102.0,99.0,100.0,111.0,134.0,129.0,99.0,173.0,0.64
2011/12,Fall,272,225,185,116,83,54,44,57,68,92,84,44,228,0.84
2011/12,Winter,271,224,172,96,54,34,28,29,40,55,51,28,243,0.9
2011/12,Spring,271.0,224.0,176.0,109.0,68.0,55.0,50.0,51.0,70.0,85.0,69.0,50.0,221.0,0.82
2012/13,Summer,271.0,250.0,217.0,172.0,150.0,130.0,127.0,135.0,147.0,166.0,152.0,127.0,144.0,0.53
2012/13,Fall,271,232,183,104,78,54,55,57,75,101,111,54,217,0.8
2012/13,Winter,272,214,171,113,67,36,18,35,58,94,92,18,254,0.93
2012/13,Spring,272.0,230.0,188.0,137.0,92.0,78.0,64.0,67.0,82.0,117.0,104.0,64.0,208.0,0.76
2013/14,Summer,272.0,244.0,211.0,174.0,152.0,141.0,140.0,141.0,148.0,173.0,183.0,140.0,132.0,0.49
2013/14,Fall,272,205,166,98,58,38,21,28,55,95,95,21,251,0.92
2013/14,Winter,272,226,181,123,85,40,22,30,53,87,62,22,250,0.92
2013/14,Spring,270.0,228.0,189.0,123.0,77.0,53.0,51.0,49.0,68.0,93.0,84.0,49.0,221.0,0.82
2014/15,Summer,270,238,198,158,139,132,126,140,151,172,181,126,144,0.53
2014/15,Fall,259,218,166,112,72,49,39,45,67,94,91,39,220,0.85
2014/15,Winter,266,222,158,92,19,1,13,14,32,67,90,1,265,1.0
2014/15,Spring,274,249,197,118,72,43,34,41,57,72,95,34,240,0.88
