year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,19.0,10.0,9.0,7.0,6.0,8.0,8.0,8.0,10.0,13.0,13.0,6.0,13.0,0.68
2000/01,Fall,21,15,10,6,5,0,4,3,7,7,10,0,21,1.0
2000/01,Winter,21,11,9,5,2,1,3,3,3,5,9,1,20,0.95
2000/01,Spring,25.0,16.0,11.0,6.0,4.0,3.0,4.0,6.0,10.0,12.0,13.0,3.0,22.0,0.88
2001/02,Summer,25.0,19.0,16.0,14.0,12.0,9.0,10.0,10.0,12.0,16.0,19.0,9.0,16.0,0.64
2001/02,Fall,25,14,11,8,5,5,4,6,11,14,15,4,21,0.84
2001/02,Winter,25,13,9,7,6,6,7,7,8,10,14,6,19,0.76
2001/02,Spring,25.0,12.0,7.0,6.0,6.0,5.0,4.0,6.0,8.0,12.0,15.0,4.0,21.0,0.84
2002/03,Summer,25.0,14.0,12.0,10.0,10.0,7.0,8.0,11.0,13.0,16.0,20.0,7.0,18.0,0.72
2002/03,Fall,25,10,6,2,3,2,1,2,7,13,14,1,24,0.96
2002/03,Winter,25,13,9,8,7,5,5,7,8,12,13,5,20,0.8
2002/03,Spring,25.0,13.0,9.0,7.0,3.0,2.0,3.0,4.0,7.0,12.0,14.0,2.0,23.0,0.92
2003/04,Summer,25.0,17.0,14.0,14.0,10.0,8.0,9.0,9.0,13.0,16.0,18.0,8.0,17.0,0.68
2003/04,Fall,27,15,12,8,4,5,5,6,9,12,15,4,23,0.85
2003/04,Winter,28,15,13,6,3,2,5,6,8,9,15,2,26,0.93
2003/04,Spring,28.0,18.0,11.0,6.0,4.0,5.0,5.0,5.0,6.0,8.0,11.0,4.0,24.0,0.86
2004/05,Summer,28.0,22.0,18.0,15.0,14.0,13.0,14.0,14.0,16.0,20.0,20.0,13.0,15.0,0.54
2004/05,Fall,29,16,11,7,6,5,5,8,11,15,17,5,24,0.83
2004/05,Winter,29,18,14,10,6,6,9,9,11,12,16,6,23,0.79
2004/05,Spring,29.0,19.0,13.0,8.0,3.0,3.0,3.0,4.0,7.0,11.0,14.0,3.0,26.0,0.9
2005/06,Summer,29.0,23.0,20.0,17.0,16.0,12.0,14.0,14.0,19.0,21.0,22.0,12.0,17.0,0.59
2005/06,Fall,29,21,15,11,9,4,4,7,9,12,12,4,25,0.86
2005/06,Winter,29,23,11,8,4,4,3,6,10,13,12,3,26,0.9
2005/06,Spring,28.0,18.0,13.0,10.0,7.0,7.0,4.0,5.0,9.0,10.0,11.0,4.0,24.0,0.86
