year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1342.0,909.0,627.0,437.0,344.0,336.0,389.0,438.0,506.0,653.0,806.0,336.0,1006.0,0.75
2000/01,Fall,1341,530,377,172,95,55,58,61,102,138,191,55,1286,0.96
2000/01,Winter,1340,536,322,155,80,53,44,65,89,158,241,44,1296,0.97
2000/01,Spring,1336.0,507.0,312.0,154.0,96.0,64.0,61.0,80.0,122.0,172.0,225.0,61.0,1275.0,0.95
2001/02,Summer,1336.0,985.0,820.0,592.0,433.0,423.0,473.0,477.0,520.0,640.0,729.0,423.0,913.0,0.68
2001/02,Fall,1336,552,325,178,112,85,75,87,146,213,236,75,1261,0.94
2001/02,Winter,1336,516,294,162,120,82,79,93,131,183,260,79,1257,0.94
2001/02,Spring,1336.0,507.0,350.0,188.0,131.0,82.0,77.0,86.0,132.0,180.0,226.0,77.0,1259.0,0.94
2002/03,Summer,1336.0,1072.0,862.0,693.0,440.0,392.0,428.0,486.0,588.0,649.0,785.0,392.0,944.0,0.71
2002/03,Fall,1335,510,282,148,112,85,73,95,151,208,283,73,1262,0.95
2002/03,Winter,1180,502,332,148,80,49,55,71,108,168,219,49,1131,0.96
2002/03,Spring,1232.0,579.0,362.0,200.0,122.0,77.0,74.0,84.0,138.0,225.0,241.0,74.0,1158.0,0.94
2003/04,Summer,1231.0,878.0,604.0,445.0,388.0,370.0,395.0,384.0,440.0,546.0,656.0,370.0,861.0,0.7
2003/04,Fall,1230,519,364,197,125,95,90,115,155,209,219,90,1140,0.93
2003/04,Winter,1229,572,388,213,124,80,73,95,159,209,249,73,1156,0.94
2003/04,Spring,1229.0,534.0,339.0,189.0,131.0,81.0,79.0,105.0,149.0,198.0,224.0,79.0,1150.0,0.94
2004/05,Summer,1229.0,917.0,646.0,427.0,390.0,387.0,415.0,417.0,481.0,567.0,664.0,387.0,842.0,0.69
2004/05,Fall,1228,520,358,188,122,67,71,100,151,196,233,67,1161,0.95
2004/05,Winter,1228,577,396,202,113,75,73,82,125,195,255,73,1155,0.94
2004/05,Spring,1226.0,595.0,413.0,226.0,117.0,78.0,71.0,83.0,127.0,190.0,232.0,71.0,1155.0,0.94
2005/06,Summer,1234.0,991.0,789.0,549.0,439.0,388.0,405.0,415.0,484.0,565.0,667.0,388.0,846.0,0.69
2005/06,Fall,1228,653,470,267,176,121,111,139,183,246,307,111,1117,0.91
2005/06,Winter,1224,617,424,239,161,106,96,121,186,221,240,96,1128,0.92
2005/06,Spring,1210.0,566.0,388.0,247.0,169.0,122.0,106.0,119.0,178.0,230.0,277.0,106.0,1104.0,0.91
2006/07,Summer,1205.0,888.0,641.0,454.0,401.0,380.0,378.0,372.0,440.0,530.0,622.0,372.0,833.0,0.69
2006/07,Fall,1210,566,376,199,130,92,84,95,144,211,271,84,1126,0.93
2006/07,Winter,1216,513,310,149,96,67,63,82,128,193,271,63,1153,0.95
2006/07,Spring,1215.0,601.0,418.0,257.0,160.0,127.0,113.0,110.0,152.0,208.0,281.0,110.0,1105.0,0.91
2007/08,Summer,1210.0,879.0,654.0,480.0,402.0,355.0,376.0,397.0,473.0,566.0,698.0,355.0,855.0,0.71
2007/08,Fall,1213,610,434,234,156,112,118,137,184,286,345,112,1101,0.91
2007/08,Winter,1201,609,404,238,153,93,78,130,171,249,290,78,1123,0.94
2007/08,Spring,1214.0,601.0,403.0,247.0,140.0,112.0,109.0,143.0,183.0,257.0,339.0,109.0,1105.0,0.91
2008/09,Summer,1214.0,942.0,772.0,629.0,536.0,466.0,457.0,454.0,497.0,587.0,745.0,454.0,760.0,0.63
2008/09,Fall,1213,619,442,284,191,121,102,137,178,256,328,102,1111,0.92
2008/09,Winter,1213,679,482,265,170,121,99,87,136,181,298,87,1126,0.93
2008/09,Spring,1215.0,639.0,473.0,227.0,153.0,114.0,84.0,104.0,123.0,194.0,240.0,84.0,1131.0,0.93
2009/10,Summer,1214.0,1015.0,822.0,620.0,505.0,466.0,430.0,476.0,550.0,651.0,756.0,430.0,784.0,0.65
2009/10,Fall,1209,621,447,270,173,126,102,122,172,265,344,102,1107,0.92
2009/10,Winter,1207,607,406,225,154,106,89,115,149,213,277,89,1118,0.93
2009/10,Spring,1207.0,654.0,443.0,244.0,163.0,122.0,107.0,121.0,168.0,252.0,333.0,107.0,1100.0,0.91
2010/11,Summer,1208.0,966.0,735.0,542.0,388.0,354.0,371.0,404.0,482.0,614.0,786.0,354.0,854.0,0.71
2010/11,Fall,1210,611,373,203,150,102,108,118,169,302,411,102,1108,0.92
2010/11,Winter,1210,517,328,188,142,100,83,97,152,261,342,83,1127,0.93
2010/11,Spring,1210.0,625.0,410.0,225.0,160.0,112.0,100.0,129.0,181.0,229.0,306.0,100.0,1110.0,0.92
2011/12,Summer,1210.0,887.0,693.0,458.0,333.0,291.0,333.0,355.0,416.0,537.0,651.0,291.0,919.0,0.76
2011/12,Fall,1210,607,445,268,201,154,133,166,217,272,389,133,1077,0.89
2011/12,Winter,1210,642,453,240,164,129,113,128,170,220,327,113,1097,0.91
2011/12,Spring,1210.0,613.0,465.0,255.0,194.0,153.0,135.0,162.0,195.0,248.0,324.0,135.0,1075.0,0.89
2012/13,Summer,1210.0,917.0,690.0,473.0,347.0,297.0,339.0,333.0,403.0,495.0,667.0,297.0,913.0,0.75
2012/13,Fall,1210,668,429,218,176,134,137,156,215,274,388,134,1076,0.89
2012/13,Winter,1210,614,424,244,175,115,102,130,196,262,374,102,1108,0.92
2012/13,Spring,1210.0,637.0,478.0,293.0,208.0,167.0,146.0,163.0,213.0,288.0,377.0,146.0,1064.0,0.88
