year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,73.0,70.0,68.0,64.0,60.0,53.0,48.0,54.0,59.0,63.0,66.0,48.0,25.0,0.34
2000/01,Fall,73,53,44,27,22,15,14,23,26,27,37,14,59,0.81
2000/01,Winter,73,58,47,32,25,17,13,22,28,33,36,13,60,0.82
2000/01,Spring,87.0,69.0,53.0,43.0,37.0,26.0,21.0,35.0,40.0,42.0,46.0,21.0,66.0,0.76
2001/02,Summer,87.0,81.0,79.0,75.0,74.0,62.0,57.0,66.0,75.0,76.0,78.0,57.0,30.0,0.34
2001/02,Fall,87,74,55,50,39,26,22,35,47,48,50,22,65,0.75
2001/02,Winter,87,60,47,46,41,29,23,34,49,50,54,23,64,0.74
2001/02,Spring,87.0,65.0,59.0,47.0,43.0,25.0,25.0,33.0,44.0,49.0,57.0,25.0,62.0,0.71
2002/03,Summer,86.0,85.0,81.0,78.0,70.0,58.0,56.0,65.0,69.0,74.0,77.0,56.0,30.0,0.35
2002/03,Fall,95,76,61,48,47,34,30,38,47,53,61,30,65,0.68
2002/03,Winter,95,78,65,43,39,24,23,30,33,39,48,23,72,0.76
2002/03,Spring,95.0,80.0,70.0,53.0,48.0,33.0,28.0,33.0,46.0,58.0,62.0,28.0,67.0,0.71
2003/04,Summer,95.0,88.0,82.0,74.0,75.0,65.0,61.0,72.0,77.0,83.0,86.0,61.0,34.0,0.36
2003/04,Fall,95,75,62,51,45,27,20,34,46,52,58,20,75,0.79
2003/04,Winter,95,77,63,56,47,29,24,37,45,50,56,24,71,0.75
2003/04,Spring,95.0,73.0,63.0,52.0,45.0,26.0,24.0,42.0,42.0,46.0,46.0,24.0,71.0,0.75
2004/05,Summer,95.0,86.0,84.0,81.0,76.0,64.0,63.0,72.0,78.0,79.0,84.0,63.0,32.0,0.34
2004/05,Fall,95,69,57,48,38,22,20,31,43,47,50,20,75,0.79
2004/05,Winter,95,72,58,49,43,27,24,32,41,49,54,24,71,0.75
2004/05,Spring,95.0,74.0,59.0,53.0,45.0,28.0,21.0,36.0,44.0,50.0,54.0,21.0,74.0,0.78
2005/06,Summer,95.0,90.0,88.0,84.0,82.0,74.0,65.0,72.0,74.0,77.0,87.0,65.0,30.0,0.32
2005/06,Fall,95,78,64,50,44,25,19,30,38,40,45,19,76,0.8
2005/06,Winter,95,79,58,49,40,21,18,33,47,46,54,18,77,0.81
2005/06,Spring,97.0,74.0,59.0,44.0,37.0,19.0,16.0,30.0,36.0,40.0,47.0,16.0,81.0,0.84
2006/07,Summer,94.0,63.0,56.0,56.0,54.0,51.0,48.0,51.0,67.0,73.0,74.0,48.0,46.0,0.49
2006/07,Fall,97,76,65,46,35,17,19,29,38,47,53,17,80,0.82
2006/07,Winter,140,87,64,52,44,25,22,34,44,58,65,22,118,0.84
2006/07,Spring,140.0,102.0,76.0,58.0,50.0,45.0,41.0,46.0,51.0,57.0,68.0,41.0,99.0,0.71
2007/08,Summer,98.0,87.0,84.0,84.0,82.0,74.0,70.0,81.0,85.0,84.0,88.0,70.0,28.0,0.29
2007/08,Fall,101,90,80,69,62,42,36,45,52,74,78,36,65,0.64
2007/08,Winter,98,88,81,69,60,38,29,53,61,68,72,29,69,0.7
2007/08,Spring,125.0,108.0,99.0,79.0,53.0,38.0,41.0,60.0,74.0,75.0,78.0,38.0,87.0,0.7
2008/09,Summer,98.0,94.0,90.0,88.0,83.0,79.0,76.0,79.0,83.0,89.0,93.0,76.0,22.0,0.22
2008/09,Fall,97,86,82,71,55,38,36,47,58,67,71,36,61,0.63
2008/09,Winter,97,87,78,72,71,52,39,36,45,48,60,36,61,0.63
2008/09,Spring,97.0,89.0,79.0,67.0,59.0,44.0,29.0,41.0,48.0,53.0,59.0,29.0,68.0,0.7
2009/10,Summer,94.0,89.0,85.0,84.0,84.0,76.0,68.0,78.0,83.0,87.0,89.0,68.0,26.0,0.28
2009/10,Fall,94,84,72,69,60,44,34,42,54,59,68,34,60,0.64
2009/10,Winter,94,77,68,63,59,44,32,51,58,59,58,32,62,0.66
2009/10,Spring,94.0,86.0,75.0,67.0,59.0,48.0,38.0,44.0,51.0,59.0,64.0,38.0,56.0,0.6
2010/11,Summer,94.0,91.0,86.0,87.0,84.0,79.0,71.0,75.0,78.0,83.0,90.0,71.0,23.0,0.24
2010/11,Fall,96,85,76,61,53,38,35,41,55,67,73,35,61,0.64
2010/11,Winter,96,77,68,63,59,44,36,45,58,60,65,36,60,0.63
2010/11,Spring,96.0,90.0,83.0,75.0,65.0,54.0,51.0,64.0,68.0,70.0,74.0,51.0,45.0,0.47
2011/12,Summer,96.0,92.0,90.0,88.0,85.0,74.0,71.0,80.0,86.0,86.0,76.0,71.0,25.0,0.26
2011/12,Fall,96,87,84,75,73,60,59,70,75,73,72,59,37,0.39
2011/12,Winter,97,90,86,79,71,60,49,56,65,74,76,49,48,0.49
2011/12,Spring,94.0,87.0,84.0,80.0,78.0,64.0,56.0,70.0,68.0,66.0,66.0,56.0,38.0,0.4
2012/13,Summer,94.0,92.0,90.0,90.0,87.0,82.0,80.0,82.0,88.0,89.0,89.0,80.0,14.0,0.15
2012/13,Fall,97,87,83,79,68,52,54,59,70,74,80,52,45,0.46
2012/13,Winter,96,89,82,77,67,46,44,52,67,74,78,44,52,0.54
2012/13,Spring,96.0,86.0,84.0,77.0,72.0,53.0,50.0,55.0,67.0,66.0,75.0,50.0,46.0,0.48
2013/14,Summer,93.0,89.0,90.0,88.0,85.0,77.0,70.0,74.0,76.0,85.0,85.0,70.0,23.0,0.25
2013/14,Fall,96,84,78,67,64,41,30,32,48,58,61,30,66,0.69
2013/14,Winter,96,85,79,71,61,40,32,36,57,59,63,32,64,0.67
2013/14,Spring,96.0,84.0,80.0,72.0,61.0,53.0,50.0,51.0,55.0,57.0,61.0,50.0,46.0,0.48
2014/15,Summer,96,88,87,86,85,82,72,80,84,86,89,72,24,0.25
2014/15,Fall,97,85,70,66,57,29,27,40,52,57,55,27,70,0.72
2014/15,Winter,91,77,68,56,39,7,23,25,45,53,64,7,84,0.92
2014/15,Spring,91,84,75,66,60,41,28,42,48,42,50,28,63,0.69
