year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,282.0,189.0,120.0,84.0,59.0,59.0,60.0,62.0,74.0,125.0,174.0,59.0,223.0,0.79
2000/01,Fall,282,120,51,7,2,1,2,2,13,34,62,1,281,1.0
2000/01,Winter,282,125,47,6,1,0,0,2,9,29,73,0,282,1.0
2000/01,Spring,282.0,125.0,51.0,4.0,0.0,1.0,2.0,3.0,14.0,39.0,66.0,0.0,282.0,1.0
2001/02,Summer,282.0,179.0,147.0,99.0,70.0,72.0,76.0,76.0,90.0,119.0,162.0,70.0,212.0,0.75
2001/02,Fall,282,145,51,8,1,1,3,2,11,34,61,1,281,1.0
2001/02,Winter,282,129,31,1,0,1,2,2,6,35,69,0,282,1.0
2001/02,Spring,282.0,125.0,57.0,4.0,0.0,0.0,1.0,2.0,11.0,23.0,51.0,0.0,282.0,1.0
2002/03,Summer,282.0,199.0,143.0,101.0,69.0,66.0,69.0,70.0,83.0,106.0,150.0,66.0,216.0,0.77
2002/03,Fall,282,115,25,2,0,1,3,4,15,43,82,0,282,1.0
2002/03,Winter,271,133,78,14,2,1,3,5,14,41,73,1,270,1.0
2002/03,Spring,293.0,160.0,90.0,32.0,1.0,2.0,3.0,4.0,19.0,56.0,67.0,1.0,292.0,1.0
2003/04,Summer,293.0,205.0,153.0,111.0,94.0,92.0,93.0,100.0,106.0,137.0,167.0,92.0,201.0,0.69
2003/04,Fall,293,136,80,21,3,3,2,4,16,49,58,2,291,0.99
2003/04,Winter,293,150,85,17,1,2,3,4,23,54,81,1,292,1.0
2003/04,Spring,293.0,145.0,79.0,19.0,3.0,5.0,6.0,6.0,22.0,48.0,66.0,3.0,290.0,0.99
2004/05,Summer,293.0,191.0,129.0,89.0,74.0,68.0,80.0,84.0,103.0,132.0,166.0,68.0,225.0,0.77
2004/05,Fall,293,129,73,7,1,0,0,6,20,40,71,0,293,1.0
2004/05,Winter,293,165,85,17,3,0,0,2,21,47,83,0,293,1.0
2004/05,Spring,293.0,173.0,104.0,35.0,4.0,2.0,1.0,4.0,21.0,49.0,73.0,1.0,292.0,1.0
2005/06,Summer,293.0,227.0,174.0,122.0,100.0,88.0,92.0,94.0,115.0,141.0,173.0,88.0,205.0,0.7
2005/06,Fall,293,181,93,34,6,2,2,5,22,51,87,2,291,0.99
2005/06,Winter,293,173,97,20,4,1,1,4,22,44,58,1,292,1.0
2005/06,Spring,293.0,162.0,91.0,27.0,4.0,1.0,3.0,4.0,21.0,48.0,72.0,1.0,292.0,1.0
2006/07,Summer,293.0,215.0,149.0,109.0,88.0,85.0,84.0,86.0,102.0,128.0,166.0,84.0,209.0,0.71
2006/07,Fall,293,161,84,14,0,0,0,3,17,45,79,0,293,1.0
2006/07,Winter,334,157,53,10,2,2,3,4,17,46,90,2,332,0.99
2006/07,Spring,333.0,204.0,112.0,36.0,0.0,1.0,3.0,2.0,15.0,44.0,83.0,0.0,333.0,1.0
2007/08,Summer,372.0,294.0,213.0,141.0,103.0,85.0,95.0,93.0,120.0,154.0,217.0,85.0,287.0,0.77
2007/08,Fall,372,217,129,19,1,1,4,6,26,72,115,1,371,1.0
2007/08,Winter,372,230,105,24,2,1,2,7,24,65,100,1,371,1.0
2007/08,Spring,372.0,221.0,103.0,26.0,0.0,1.0,4.0,12.0,27.0,68.0,133.0,0.0,372.0,1.0
2008/09,Summer,372.0,288.0,237.0,190.0,155.0,135.0,141.0,135.0,140.0,176.0,241.0,135.0,237.0,0.64
