year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,24.0,16.0,10.0,8.0,6.0,5.0,6.0,6.0,6.0,8.0,11.0,5.0,19.0,0.79
2000/01,Fall,24,15,12,7,4,4,3,3,5,3,3,3,21,0.88
2000/01,Winter,24,15,8,4,3,7,3,3,3,4,3,3,21,0.88
2000/01,Spring,24.0,12.0,7.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,23.0,0.96
2001/02,Summer,24.0,14.0,9.0,6.0,7.0,6.0,9.0,8.0,8.0,8.0,8.0,6.0,18.0,0.75
2001/02,Fall,24,13,9,4,6,5,3,3,4,6,3,3,21,0.88
2001/02,Winter,24,16,11,7,5,3,4,3,6,7,8,3,21,0.88
2001/02,Spring,24.0,13.0,11.0,7.0,6.0,5.0,4.0,1.0,4.0,5.0,5.0,1.0,23.0,0.96
2002/03,Summer,24.0,18.0,12.0,8.0,6.0,6.0,7.0,8.0,7.0,7.0,8.0,6.0,18.0,0.75
2002/03,Fall,23,15,9,5,6,6,4,3,7,7,6,3,20,0.87
2002/03,Winter,23,17,10,7,3,4,7,5,5,5,6,3,20,0.87
2002/03,Spring,23.0,15.0,10.0,5.0,4.0,6.0,6.0,3.0,3.0,6.0,5.0,3.0,20.0,0.87
2003/04,Summer,22.0,15.0,12.0,10.0,8.0,6.0,10.0,9.0,8.0,10.0,11.0,6.0,16.0,0.73
2003/04,Fall,22,15,11,6,6,5,5,7,9,7,6,5,17,0.77
2003/04,Winter,22,16,10,8,6,8,4,4,5,4,8,4,18,0.82
2003/04,Spring,22.0,17.0,11.0,9.0,8.0,5.0,7.0,7.0,7.0,3.0,6.0,3.0,19.0,0.86
2004/05,Summer,22.0,17.0,11.0,10.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,14.0,0.64
2004/05,Fall,20,16,10,8,6,5,7,6,6,5,7,5,15,0.75
2004/05,Winter,20,12,12,5,6,5,5,2,3,6,6,2,18,0.9
2004/05,Spring,19.0,14.0,10.0,7.0,5.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,17.0,0.89
2005/06,Summer,19.0,16.0,15.0,9.0,8.0,9.0,7.0,8.0,6.0,7.0,8.0,6.0,13.0,0.68
2005/06,Fall,18,14,10,6,3,5,4,3,5,4,3,3,15,0.83
2005/06,Winter,18,12,9,6,4,4,3,3,3,3,4,3,15,0.83
2005/06,Spring,17.0,13.0,11.0,9.0,8.0,5.0,5.0,5.0,4.0,3.0,6.0,3.0,14.0,0.82
2006/07,Summer,15.0,10.0,9.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,4.0,4.0,11.0,0.73
2006/07,Fall,17,11,8,4,5,5,5,6,6,6,5,4,13,0.76
2006/07,Winter,18,13,10,6,4,7,5,4,5,5,4,4,14,0.78
2006/07,Spring,18.0,13.0,8.0,7.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,15.0,0.83
2007/08,Summer,18.0,13.0,12.0,11.0,9.0,8.0,10.0,10.0,8.0,7.0,8.0,7.0,11.0,0.61
2007/08,Fall,18,13,11,9,10,7,8,9,7,8,9,7,11,0.61
2007/08,Winter,17,11,10,7,4,5,5,5,5,7,5,4,13,0.76
2007/08,Spring,17.0,9.0,7.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,15.0,0.88
2008/09,Summer,17.0,12.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,7.0,10.0,0.59
2008/09,Fall,17,12,11,10,9,6,4,7,6,10,9,4,13,0.76
2008/09,Winter,17,10,9,7,5,6,5,5,3,5,3,3,14,0.82
2008/09,Spring,17.0,14.0,11.0,9.0,9.0,7.0,5.0,5.0,7.0,8.0,7.0,5.0,12.0,0.71
2009/10,Summer,16.0,13.0,12.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,9.0,8.0,8.0,0.5
2009/10,Fall,14,10,7,8,6,7,5,5,5,6,5,5,9,0.64
2009/10,Winter,14,8,7,7,6,5,6,5,5,6,4,4,10,0.71
2009/10,Spring,14.0,12.0,8.0,9.0,6.0,5.0,4.0,7.0,4.0,5.0,7.0,4.0,10.0,0.71
2010/11,Summer,15.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,7.0,0.47
2010/11,Fall,15,11,8,5,7,6,6,6,6,8,8,5,10,0.67
2010/11,Winter,15,12,11,7,7,5,6,7,8,6,5,5,10,0.67
2010/11,Spring,15.0,10.0,10.0,10.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,10.0,0.67
2011/12,Summer,15.0,13.0,11.0,11.0,10.0,11.0,13.0,11.0,8.0,9.0,11.0,8.0,7.0,0.47
2011/12,Fall,15,11,12,11,9,7,6,7,12,12,9,6,9,0.6
2011/12,Winter,15,12,7,5,6,2,4,4,5,3,5,2,13,0.87
2011/12,Spring,15.0,11.0,10.0,9.0,7.0,6.0,5.0,7.0,7.0,2.0,5.0,2.0,13.0,0.87
2012/13,Summer,15.0,12.0,12.0,11.0,10.0,8.0,11.0,8.0,7.0,7.0,8.0,7.0,8.0,0.53
2012/13,Fall,15,14,15,9,6,8,5,7,8,9,8,5,10,0.67
2012/13,Winter,25,19,16,13,13,12,16,18,17,11,8,8,17,0.68
