year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,19.0,14.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,10.0,12.0,10.0,9.0,0.47
2000/01,Fall,19,12,11,9,9,8,8,8,8,9,9,8,11,0.58
2000/01,Winter,19,14,12,10,8,9,7,7,7,9,10,7,12,0.63
2000/01,Spring,20.0,14.0,12.0,11.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,12.0,0.6
2001/02,Summer,20.0,14.0,12.0,10.0,9.0,9.0,11.0,9.0,10.0,14.0,13.0,9.0,11.0,0.55
2001/02,Fall,19,14,12,11,8,7,7,7,8,9,9,7,12,0.63
2001/02,Winter,19,15,12,10,9,8,9,8,10,10,9,8,11,0.58
2001/02,Spring,19.0,14.0,12.0,10.0,8.0,9.0,9.0,7.0,7.0,9.0,11.0,7.0,12.0,0.63
2002/03,Summer,18.0,13.0,10.0,8.0,7.0,9.0,10.0,11.0,11.0,11.0,14.0,7.0,11.0,0.61
2002/03,Fall,18,11,9,7,6,8,8,5,6,7,10,5,13,0.72
2002/03,Winter,18,11,8,8,5,6,4,5,6,7,8,4,14,0.78
2002/03,Spring,18.0,12.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,10.0,7.0,11.0,0.61
2003/04,Summer,18.0,13.0,12.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,9.0,0.5
2003/04,Fall,17,11,10,8,7,9,7,6,8,8,10,6,11,0.65
2003/04,Winter,17,12,10,8,7,7,7,6,9,11,9,6,11,0.65
2003/04,Spring,18.0,12.0,8.0,7.0,9.0,9.0,7.0,7.0,7.0,6.0,9.0,6.0,12.0,0.67
2004/05,Summer,18.0,12.0,10.0,9.0,11.0,9.0,8.0,7.0,10.0,11.0,12.0,7.0,11.0,0.61
2004/05,Fall,18,14,13,11,10,9,8,7,8,10,10,7,11,0.61
2004/05,Winter,17,13,12,10,8,8,7,8,8,8,10,7,10,0.59
2004/05,Spring,16.0,11.0,10.0,8.0,7.0,6.0,5.0,6.0,5.0,8.0,7.0,5.0,11.0,0.69
2005/06,Summer,16.0,11.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,7.0,9.0,0.56
2005/06,Fall,15,11,9,7,7,7,7,6,7,7,8,6,9,0.6
2005/06,Winter,14,11,9,6,4,5,5,5,5,5,4,4,10,0.71
2005/06,Spring,13.0,9.0,8.0,8.0,7.0,6.0,5.0,6.0,8.0,6.0,6.0,5.0,8.0,0.62
2006/07,Summer,14.0,12.0,10.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,0.5
2006/07,Fall,16,11,11,10,7,5,6,7,8,11,11,5,11,0.69
2006/07,Winter,15,9,8,7,7,7,7,7,7,6,7,6,9,0.6
2006/07,Spring,15.0,10.0,9.0,7.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,10.0,0.67
2007/08,Summer,15.0,12.0,11.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,7.0,8.0,0.53
2007/08,Fall,15,10,9,6,7,7,7,7,7,8,7,6,9,0.6
2007/08,Winter,15,9,9,6,5,6,5,6,5,7,7,5,10,0.67
2007/08,Spring,15.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,0.53
