year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,479.0,284.0,156.0,81.0,39.0,45.0,77.0,105.0,148.0,206.0,269.0,39.0,440.0,0.92
2000/01,Fall,479,0,0,0,0,0,0,0,0,0,2,0,479,1.0
2000/01,Winter,479,1,0,0,0,0,0,1,3,7,29,0,479,1.0
2000/01,Spring,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,21.0,0.0,477.0,1.0
2001/02,Summer,477.0,341.0,279.0,176.0,101.0,111.0,142.0,137.0,153.0,207.0,249.0,101.0,376.0,0.79
2001/02,Fall,477,1,0,0,0,0,0,0,4,5,15,0,477,1.0
2001/02,Winter,477,0,0,0,0,0,0,0,1,5,22,0,477,1.0
2001/02,Spring,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,477.0,1.0
2002/03,Summer,478.0,386.0,315.0,266.0,108.0,93.0,107.0,148.0,222.0,226.0,296.0,93.0,385.0,0.81
2002/03,Fall,472,0,0,0,0,0,1,5,5,5,16,0,472,1.0
2002/03,Winter,356,0,0,0,0,0,0,0,0,1,4,0,356,1.0
2002/03,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,356.0,1.0
2003/04,Summer,356.0,196.0,63.0,30.0,26.0,33.0,49.0,19.0,50.0,101.0,155.0,19.0,337.0,0.95
2003/04,Fall,356,0,0,0,0,1,0,1,0,2,5,0,356,1.0
2003/04,Winter,356,0,0,0,0,0,0,0,1,0,4,0,356,1.0
2003/04,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,356.0,1.0
2004/05,Summer,356.0,240.0,117.0,38.0,41.0,54.0,60.0,53.0,78.0,114.0,164.0,38.0,318.0,0.89
2004/05,Fall,356,0,0,0,0,0,0,1,0,2,11,0,356,1.0
2004/05,Winter,356,0,0,0,0,0,0,0,0,2,8,0,356,1.0
2004/05,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,356.0,1.0
2005/06,Summer,356.0,264.0,172.0,72.0,32.0,15.0,32.0,25.0,56.0,83.0,134.0,15.0,341.0,0.96
2005/06,Fall,356,2,0,0,0,0,0,3,2,4,12,0,356,1.0
2005/06,Winter,356,0,0,0,0,0,0,1,2,2,6,0,356,1.0
2005/06,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,356.0,1.0
2006/07,Summer,356.0,225.0,116.0,34.0,35.0,26.0,30.0,22.0,51.0,83.0,137.0,22.0,334.0,0.94
2006/07,Fall,356,0,0,0,0,0,0,0,0,3,11,0,356,1.0
2006/07,Winter,356,0,0,0,0,0,0,0,0,2,11,0,356,1.0
2006/07,Spring,356.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,356.0,1.0
2007/08,Summer,356.0,178.0,80.0,25.0,18.0,17.0,24.0,24.0,64.0,103.0,151.0,17.0,339.0,0.95
2007/08,Fall,356,0,0,0,0,0,0,0,0,2,10,0,356,1.0
2007/08,Winter,358,0,1,0,0,0,0,2,0,4,17,0,358,1.0
2007/08,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,356.0,1.0
2008/09,Summer,356.0,229.0,161.0,109.0,91.0,55.0,48.0,51.0,71.0,101.0,171.0,48.0,308.0,0.87
2008/09,Fall,356,1,0,0,0,0,1,0,0,8,22,0,356,1.0
2008/09,Winter,356,25,0,0,0,0,1,0,4,2,20,0,356,1.0
2008/09,Spring,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,356.0,1.0
2009/10,Summer,356.0,270.0,208.0,120.0,79.0,65.0,54.0,56.0,102.0,132.0,184.0,54.0,302.0,0.85
2009/10,Fall,356,1,0,0,0,0,0,1,1,10,39,0,356,1.0
2009/10,Winter,356,0,0,0,0,0,0,0,1,3,34,0,356,1.0
2009/10,Spring,356.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,39.0,0.0,356.0,1.0
2010/11,Summer,356.0,261.0,168.0,85.0,24.0,19.0,37.0,47.0,88.0,144.0,223.0,19.0,337.0,0.95
2010/11,Fall,356,4,2,0,0,0,0,1,1,23,64,0,356,1.0
2010/11,Winter,356,0,0,0,0,0,0,0,3,22,50,0,356,1.0
2010/11,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,356.0,1.0
2011/12,Summer,356.0,224.0,148.0,59.0,7.0,6.0,28.0,32.0,67.0,107.0,186.0,6.0,350.0,0.98
2011/12,Fall,356,0,0,0,0,0,0,2,3,3,38,0,356,1.0
2011/12,Winter,356,3,0,0,0,0,0,0,0,4,22,0,356,1.0
2011/12,Spring,356.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,356.0,1.0
2012/13,Summer,356.0,216.0,128.0,26.0,0.0,0.0,20.0,5.0,31.0,72.0,151.0,0.0,356.0,1.0
2012/13,Fall,356,0,0,0,0,0,0,0,2,2,10,0,356,1.0
2012/13,Winter,356,7,0,0,0,0,0,0,5,2,16,0,356,1.0
2012/13,Spring,356.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,356.0,1.0
2013/14,Summer,346.0,169.0,82.0,11.0,0.0,0.0,25.0,0.0,12.0,71.0,137.0,0.0,346.0,1.0
2013/14,Fall,346,0,0,0,0,0,0,0,0,0,8,0,346,1.0
2013/14,Winter,346,0,0,0,0,0,0,1,0,0,2,0,346,1.0
2013/14,Spring,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,346.0,1.0
2014/15,Summer,346,248,129,38,6,9,36,41,60,115,176,6,340,0.98
2014/15,Fall,346,0,0,0,0,0,0,0,0,1,5,0,346,1.0
2014/15,Winter,346,0,0,0,0,0,0,0,1,0,0,0,346,1.0
2014/15,Spring,346,0,0,0,0,0,0,0,1,0,0,0,346,1.0
