year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,16.0,8.0,4.0,6.0,4.0,5.0,5.0,4.0,7.0,6.0,8.0,4.0,12.0,0.75
2000/01,Fall,16,10,9,7,6,4,6,6,7,8,8,4,12,0.75
2000/01,Winter,16,11,8,7,7,7,5,6,7,8,9,5,11,0.69
2000/01,Spring,16.0,9.0,6.0,7.0,4.0,6.0,5.0,7.0,8.0,10.0,10.0,4.0,12.0,0.75
2001/02,Summer,16.0,10.0,8.0,8.0,8.0,7.0,5.0,8.0,10.0,9.0,10.0,5.0,11.0,0.69
2001/02,Fall,16,10,7,4,7,6,5,5,7,10,9,4,12,0.75
2001/02,Winter,16,11,9,9,8,9,7,7,8,8,10,7,9,0.56
2001/02,Spring,16.0,12.0,11.0,9.0,10.0,10.0,7.0,8.0,9.0,9.0,8.0,7.0,9.0,0.56
2002/03,Summer,16.0,13.0,10.0,8.0,8.0,7.0,8.0,9.0,10.0,11.0,11.0,7.0,9.0,0.56
2002/03,Fall,16,12,10,8,9,8,6,5,9,10,10,5,11,0.69
2002/03,Winter,16,11,9,8,6,5,7,6,9,9,11,5,11,0.69
2002/03,Spring,16.0,9.0,7.0,7.0,5.0,5.0,6.0,7.0,8.0,9.0,8.0,5.0,11.0,0.69
2003/04,Summer,16.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,0.56
2003/04,Fall,16,7,7,6,4,5,6,5,8,9,10,4,12,0.75
2003/04,Winter,16,9,9,9,7,6,6,7,8,6,8,6,10,0.63
2003/04,Spring,16.0,10.0,10.0,7.0,8.0,5.0,6.0,6.0,7.0,8.0,6.0,5.0,11.0,0.69
2004/05,Summer,16.0,12.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,0.5
2004/05,Fall,16,10,10,6,5,5,5,6,6,7,7,5,11,0.69
2004/05,Winter,16,7,9,6,6,6,6,4,6,9,7,4,12,0.75
2004/05,Spring,16.0,10.0,9.0,7.0,6.0,6.0,9.0,7.0,6.0,8.0,9.0,6.0,10.0,0.63
