year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,7.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,6.0,0.86
2000/01,Fall,7,4,3,1,3,2,2,2,0,2,2,0,7,1.0
2000/01,Winter,6,1,0,0,1,0,2,1,0,2,1,0,6,1.0
2000/01,Spring,6.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0
2001/02,Summer,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,6.0,1.0
2001/02,Fall,6,2,1,1,1,0,2,2,2,3,4,0,6,1.0
2001/02,Winter,6,1,2,0,1,1,1,1,2,1,2,0,6,1.0
2001/02,Spring,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,6.0,1.0
2002/03,Summer,7.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,7.0,1.0
2002/03,Fall,7,2,2,0,0,0,0,1,1,3,2,0,7,1.0
2002/03,Winter,7,1,2,1,2,1,1,1,2,2,2,1,6,0.86
2002/03,Spring,7.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,7.0,1.0
2003/04,Summer,7.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,0.86
2003/04,Fall,7,0,1,1,3,1,2,1,2,2,1,0,7,1.0
2003/04,Winter,7,2,2,2,2,1,2,2,2,3,2,1,6,0.86
2003/04,Spring,7.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,0.86
2004/05,Summer,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,0.86
2004/05,Fall,7,3,2,2,2,0,2,1,0,0,1,0,7,1.0
2004/05,Winter,8,2,2,1,2,1,1,1,1,0,1,0,8,1.0
2004/05,Spring,7.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,6.0,0.86
2005/06,Summer,7.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,6.0,0.86
2005/06,Fall,7,3,3,1,2,1,2,1,1,2,2,1,6,0.86
2005/06,Winter,7,2,2,2,3,2,3,2,2,1,2,1,6,0.86
2005/06,Spring,6.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0
2006/07,Summer,6.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,1.0
2006/07,Fall,6,2,1,1,2,1,0,1,1,1,1,0,6,1.0
2006/07,Winter,6,0,2,1,2,1,0,1,0,0,0,0,6,1.0
2006/07,Spring,6.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0
2007/08,Summer,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.83
2007/08,Fall,6,2,1,2,2,1,1,2,0,0,0,0,6,1.0
2007/08,Winter,6,2,2,2,2,0,2,1,0,0,0,0,6,1.0
2007/08,Spring,6.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0
2008/09,Summer,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0
2008/09,Fall,6,2,2,2,1,0,1,1,2,2,1,0,6,1.0
2008/09,Winter,6,2,3,2,3,2,2,2,0,0,1,0,6,1.0
2008/09,Spring,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,0.83
2009/10,Summer,6.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0
2009/10,Fall,6,2,1,2,2,1,1,1,2,2,1,1,5,0.83
2009/10,Winter,6,1,1,1,2,1,2,1,1,1,0,0,6,1.0
2009/10,Spring,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,0.83
2010/11,Summer,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0
2010/11,Fall,6,2,2,2,1,1,2,2,2,2,0,0,6,1.0
2010/11,Winter,6,2,1,1,2,1,2,1,1,1,0,0,6,1.0
2010/11,Spring,6.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,0.83
2011/12,Summer,6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,0.83
2011/12,Fall,6,2,2,2,1,2,3,1,1,1,1,1,5,0.83
2011/12,Winter,6,4,3,2,2,3,3,3,0,0,1,0,6,1.0
2011/12,Spring,6.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0
2012/13,Summer,6.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0
2012/13,Fall,6,3,1,2,1,1,2,2,2,2,1,1,5,0.83
2012/13,Winter,6,0,0,0,0,0,0,0,1,1,2,0,6,1.0
2012/13,Spring,6.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,0.83
2013/14,Summer,6.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,0.83
2013/14,Fall,6,3,2,2,2,2,3,2,1,0,0,0,6,1.0
2013/14,Winter,6,3,2,3,2,2,3,2,0,0,0,0,6,1.0
2013/14,Spring,6.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,6.0,1.0
2014/15,Summer,6,1,2,0,0,1,1,0,0,1,1,0,6,1.0
2014/15,Fall,6,2,3,1,1,0,2,2,2,1,0,0,6,1.0
2014/15,Winter,6,3,2,2,2,2,2,1,0,1,2,0,6,1.0
2014/15,Spring,6,1,1,0,1,1,0,1,1,2,2,0,6,1.0
