year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,145.0,82.0,58.0,31.0,37.0,35.0,53.0,63.0,57.0,61.0,67.0,31.0,114.0,0.79
2000/01,Fall,142,83,77,25,12,2,2,1,8,0,1,0,142,1.0
2000/01,Winter,142,82,45,15,3,2,3,13,10,18,15,2,140,0.99
2000/01,Spring,122.0,48.0,20.0,1.0,1.0,1.0,2.0,1.0,6.0,5.0,3.0,1.0,121.0,0.99
2001/02,Summer,122.0,87.0,65.0,45.0,31.0,31.0,43.0,44.0,40.0,48.0,35.0,31.0,91.0,0.75
2001/02,Fall,122,58,32,10,4,5,5,3,7,10,7,3,119,0.98
2001/02,Winter,122,53,21,10,12,5,4,4,6,2,3,2,120,0.98
2001/02,Spring,122.0,47.0,30.0,5.0,4.0,1.0,2.0,4.0,4.0,13.0,9.0,1.0,121.0,0.99
2002/03,Summer,122.0,95.0,71.0,43.0,23.0,16.0,29.0,35.0,34.0,39.0,32.0,16.0,106.0,0.87
2002/03,Fall,122,48,15,2,7,10,4,10,15,2,3,2,120,0.98
2002/03,Winter,122,46,25,10,6,3,1,4,7,8,6,1,121,0.99
2002/03,Spring,122.0,57.0,19.0,4.0,4.0,2.0,3.0,3.0,6.0,5.0,2.0,2.0,120.0,0.98
2003/04,Summer,122.0,93.0,57.0,29.0,19.0,20.0,26.0,34.0,31.0,38.0,35.0,19.0,103.0,0.84
2003/04,Fall,123,66,36,18,13,9,15,22,20,14,8,8,115,0.93
2003/04,Winter,123,71,39,17,9,4,7,10,18,12,4,4,119,0.97
2003/04,Spring,123.0,45.0,12.0,10.0,11.0,4.0,5.0,10.0,17.0,16.0,3.0,3.0,120.0,0.98
2004/05,Summer,123.0,94.0,66.0,22.0,21.0,28.0,36.0,36.0,36.0,34.0,31.0,21.0,102.0,0.83
2004/05,Fall,123,55,32,16,6,2,7,10,14,11,4,2,121,0.98
2004/05,Winter,123,61,27,5,5,3,6,7,7,10,0,0,123,1.0
2004/05,Spring,123.0,60.0,29.0,3.0,5.0,2.0,3.0,3.0,8.0,3.0,2.0,2.0,121.0,0.98
2005/06,Summer,123.0,95.0,76.0,43.0,29.0,27.0,32.0,38.0,40.0,43.0,35.0,27.0,96.0,0.78
2005/06,Fall,119,93,60,22,6,1,1,4,2,1,2,1,118,0.99
2005/06,Winter,115,60,31,15,5,6,8,11,12,8,0,0,115,1.0
2005/06,Spring,105.0,39.0,18.0,13.0,7.0,7.0,7.0,8.0,9.0,8.0,9.0,7.0,98.0,0.93
2006/07,Summer,105.0,80.0,51.0,21.0,18.0,19.0,18.0,15.0,13.0,22.0,21.0,13.0,92.0,0.88
2006/07,Fall,105,43,20,8,4,1,3,4,3,6,1,1,104,0.99
2006/07,Winter,29,10,3,0,1,3,2,0,0,0,0,0,29,1.0
2006/07,Spring,29.0,16.0,9.0,6.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,29.0,1.0
2007/08,Summer,29.0,20.0,11.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,1.0,28.0,0.97
2007/08,Fall,29,18,10,4,4,3,2,3,4,4,3,2,27,0.93
2007/08,Winter,27,15,9,4,2,1,3,3,3,2,0,0,27,1.0
