year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,226,209,197,180,165,158,159,163,157,162,166,157,69,0.31
2000/01,Fall,118,96,84,65,58,54,52,50,47,48,51,47,71,0.6
2000/01,Winter,160,149,136,123,111,112,109,106,102,107,121,102,58,0.36
2000/01,Spring,160,143,134,122,115,108,107,106,106,108,119,106,54,0.34
2001/02,Summer,121,80,56,50,47,50,45,50,52,53,56,45,76,0.63
2001/02,Fall,121,94,77,56,45,38,43,40,41,48,54,38,83,0.69
2001/02,Winter,121,81,63,47,33,29,29,29,34,39,45,29,92,0.76
2001/02,Spring,121,87,66,56,47,44,37,38,40,45,51,37,84,0.69
2002/03,Summer,121,75,62,54,48,46,49,49,52,58,65,46,75,0.62
2002/03,Fall,120,91,68,53,43,40,39,41,42,43,55,39,81,0.68
2002/03,Winter,120,87,71,50,37,31,32,26,28,34,41,26,94,0.78
2002/03,Spring,120,91,75,61,52,45,44,42,43,45,49,42,78,0.65
2003/04,Summer,13,6,3,2,2,1,3,3,3,2,2,1,12,0.92
2003/04,Fall,25,13,9,5,4,3,4,3,5,3,6,3,22,0.88
2003/04,Winter,25,11,8,6,4,3,4,3,4,4,2,2,23,0.92
2003/04,Spring,25,14,10,6,6,4,4,4,3,5,5,3,22,0.88
2004/05,Summer,29,24,22,14,14,14,13,13,14,14,16,13,16,0.55
2004/05,Fall,28,17,12,10,7,6,5,6,4,5,4,4,24,0.86
2004/05,Winter,76,60,58,56,53,52,52,52,52,55,53,52,24,0.32
2004/05,Spring,28,15,11,6,7,6,4,5,4,5,7,4,24,0.86
2005/06,Summer,76,72,68,66,65,64,68,68,66,66,67,64,12,0.16
2005/06,Fall,55,50,50,48,46,47,47,47,47,46,43,43,12,0.22
2005/06,Winter,55,51,46,45,42,41,42,41,44,41,37,37,18,0.33
2005/06,Spring,55,49,47,45,44,43,43,43,43,44,43,43,12,0.22
2006/07,Summer,55,50,52,50,49,48,46,45,45,45,45,45,10,0.18
2006/07,Fall,55,48,49,48,45,45,44,44,46,47,39,39,16,0.29
2006/07,Winter,55,42,42,42,40,38,42,42,43,34,28,28,27,0.49
2006/07,Spring,45,38,38,33,32,32,30,32,34,34,29,29,16,0.36
2007/08,Summer,38,32,32,30,29,29,28,27,28,30,30,27,11,0.29
2007/08,Fall,38,32,31,29,27,27,27,28,28,28,26,26,12,0.32
2007/08,Winter,38,35,32,28,27,26,25,27,27,27,26,25,13,0.34
2007/08,Spring,38,34,32,31,28,26,26,27,27,28,26,26,12,0.32
2008/09,Summer,38,35,34,33,32,32,33,33,32,32,32,32,6,0.16
2008/09,Fall,38,33,31,28,25,25,23,26,27,27,26,23,15,0.39
2008/09,Winter,38,35,34,29,27,27,26,24,25,27,27,24,14,0.37
2008/09,Spring,9,3,1,0,0,0,1,0,3,3,1,0,9,1.0
2009/10,Summer,9,5,1,0,0,1,2,1,1,3,4,0,9,1.0
2009/10,Fall,9,2,0,0,0,1,1,1,1,1,2,0,9,1.0
2009/10,Winter,9,2,1,0,0,1,0,0,0,2,0,0,9,1.0
2009/10,Spring,9,2,1,0,1,0,1,0,0,1,0,0,9,1.0
2010/11,Summer,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,1.0
2010/11,Fall,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,1.0
2010/11,Winter,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,1.0
2010/11,Spring,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,1.0
2011/12,Summer,30.0,16.0,13.0,10.0,12.0,15.0,15.0,12.0,10.0,14.0,14.0,10.0,20.0,0.67
2011/12,Fall,30.0,16.0,13.0,10.0,12.0,15.0,15.0,12.0,10.0,14.0,14.0,10.0,20.0,0.67
2011/12,Winter,30.0,16.0,13.0,10.0,12.0,15.0,15.0,12.0,10.0,14.0,14.0,10.0,20.0,0.67
2011/12,Spring,30.0,16.0,13.0,10.0,12.0,15.0,15.0,12.0,10.0,14.0,14.0,10.0,20.0,0.67
2012/13,Summer,24,17,15,12,11,11,9,10,11,12,17,9,15,0.63
2012/13,Fall,24,18,15,9,5,3,3,5,5,7,7,3,21,0.88
2012/13,Winter,24,16,10,4,1,1,5,5,6,8,12,1,23,0.96
2012/13,Spring,24,19,12,7,6,4,3,4,5,11,12,3,21,0.88
2013/14,Summer,24,18,10,3,4,4,5,7,6,6,12,3,21,0.88
2013/14,Fall,24,18,10,4,1,0,1,3,5,7,12,0,24,1.0
2013/14,Winter,24,16,10,2,0,0,2,3,4,2,8,0,24,1.0
2013/14,Spring,24,16,12,9,0,0,0,1,2,5,12,0,24,1.0
2014/15,Summer,24,16,6,3,0,0,0,1,1,2,8,0,24,1.0
2014/15,Fall,24,16,11,4,1,0,2,2,0,2,5,0,24,1.0
2014/15,Winter,24,16,7,3,2,1,1,1,3,3,7,1,23,0.96
2014/15,Spring,24,15,8,5,1,0,0,0,2,4,6,0,24,1.0
