year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,27.0,22.0,19.0,18.0,19.0,19.0,19.0,20.0,19.0,21.0,25.0,18.0,9.0,0.33
2000/01,Fall,24,19,15,13,11,14,15,15,15,16,20,11,13,0.54
2000/01,Winter,46,39,36,33,33,31,33,33,33,32,35,31,15,0.33
2000/01,Spring,46.0,41.0,36.0,35.0,31.0,32.0,34.0,33.0,33.0,34.0,36.0,31.0,15.0,0.33
2001/02,Summer,46.0,40.0,37.0,33.0,32.0,32.0,32.0,32.0,31.0,33.0,37.0,31.0,15.0,0.33
2001/02,Fall,46,39,35,32,32,32,35,33,34,35,37,32,14,0.3
2001/02,Winter,46,41,36,32,29,32,33,31,31,34,37,29,17,0.37
2001/02,Spring,47.0,41.0,35.0,33.0,32.0,33.0,35.0,31.0,32.0,34.0,35.0,31.0,16.0,0.34
2002/03,Summer,47.0,41.0,36.0,33.0,31.0,33.0,35.0,36.0,33.0,35.0,36.0,31.0,16.0,0.34
2002/03,Fall,47,40,35,33,31,31,33,34,33,32,35,31,16,0.34
2002/03,Winter,47,40,38,32,33,31,33,33,32,34,36,31,16,0.34
2002/03,Spring,47.0,38.0,34.0,30.0,30.0,30.0,30.0,31.0,32.0,35.0,38.0,30.0,17.0,0.36
2003/04,Summer,22.0,18.0,12.0,10.0,11.0,13.0,14.0,14.0,14.0,17.0,18.0,10.0,12.0,0.55
2003/04,Fall,22,18,12,11,11,14,13,15,15,15,18,11,11,0.5
2003/04,Winter,22,17,13,11,11,12,12,11,12,14,16,11,11,0.5
2003/04,Spring,22.0,15.0,12.0,11.0,11.0,11.0,13.0,12.0,13.0,15.0,13.0,11.0,11.0,0.5
2004/05,Summer,22.0,17.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,17.0,12.0,10.0,0.45
2004/05,Fall,22,18,14,14,11,11,10,11,11,14,17,10,12,0.55
2004/05,Winter,22,18,13,13,13,14,13,12,14,14,18,12,10,0.45
2004/05,Spring,22.0,18.0,14.0,12.0,13.0,14.0,14.0,14.0,12.0,12.0,17.0,12.0,10.0,0.45
2005/06,Summer,22.0,17.0,13.0,12.0,11.0,12.0,14.0,14.0,12.0,13.0,17.0,11.0,11.0,0.5
2005/06,Fall,20,15,11,9,9,10,13,12,12,13,17,9,11,0.55
2005/06,Winter,20,14,9,9,9,10,11,8,10,12,15,8,12,0.6
2005/06,Spring,20.0,14.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,13.0,16.0,8.0,12.0,0.6
2006/07,Summer,20.0,15.0,10.0,9.0,9.0,9.0,12.0,13.0,10.0,13.0,15.0,9.0,11.0,0.55
2006/07,Fall,20,12,7,7,7,7,9,8,11,10,15,7,13,0.65
2006/07,Winter,20,14,10,7,7,9,9,7,10,12,13,7,13,0.65
2006/07,Spring,22.0,14.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,15.0,10.0,12.0,0.55
2007/08,Summer,23.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,16.0,11.0,12.0,0.52
2007/08,Fall,23,16,13,10,10,13,14,11,12,13,15,10,13,0.57
2007/08,Winter,23,17,13,12,12,12,13,10,11,14,15,10,13,0.57
2007/08,Spring,23.0,18.0,14.0,13.0,13.0,12.0,14.0,11.0,12.0,16.0,16.0,11.0,12.0,0.52
2008/09,Summer,23.0,17.0,14.0,11.0,10.0,11.0,13.0,14.0,12.0,15.0,16.0,10.0,13.0,0.57
2008/09,Fall,23,16,14,12,11,11,12,11,11,13,14,11,12,0.52
2008/09,Winter,23,17,14,11,9,10,11,10,10,12,16,9,14,0.61
2008/09,Spring,18.0,14.0,9.0,8.0,6.0,5.0,7.0,4.0,5.0,9.0,12.0,4.0,14.0,0.78
2009/10,Summer,18.0,16.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,9.0,11.0,6.0,12.0,0.67
2009/10,Fall,18,13,8,6,4,6,7,5,6,6,11,4,14,0.78
2009/10,Winter,18,14,9,4,4,5,5,5,5,7,10,4,14,0.78
2009/10,Spring,18.0,14.0,8.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,10.0,5.0,13.0,0.72
2010/11,Summer,18.0,16.0,13.0,10.0,8.0,7.0,8.0,7.0,8.0,11.0,12.0,7.0,11.0,0.61
2010/11,Fall,16,12,8,5,6,6,7,7,8,9,10,5,11,0.69
2010/11,Winter,16,12,5,5,5,5,6,5,7,7,10,5,11,0.69
2010/11,Spring,14.0,10.0,8.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,5.0,9.0,0.64
2011/12,Summer,14.0,9.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,9.0,5.0,9.0,0.64
2011/12,Fall,14,8,4,2,3,2,3,3,3,4,9,2,12,0.86
2011/12,Winter,16,9,7,3,4,4,7,5,4,3,12,3,13,0.81
2011/12,Spring,6.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
2012/13,Summer,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,0.33
2012/13,Fall,8,6,5,3,2,2,3,3,3,3,2,2,6,0.75
2012/13,Winter,8,5,5,4,3,3,2,4,3,4,4,2,6,0.75
2012/13,Spring,8.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.63
2013/14,Summer,8.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,3.0,0.38
2013/14,Fall,8,4,4,3,3,2,3,3,3,3,2,2,6,0.75
2013/14,Winter,8,4,3,3,3,3,3,2,2,2,2,2,6,0.75
2013/14,Spring,8.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,0.63
2014/15,Summer,8,7,5,5,4,5,5,4,5,6,6,4,4,0.5
2014/15,Fall,8,6,6,5,5,4,4,4,3,2,3,2,6,0.75
2014/15,Winter,8,6,6,6,6,5,5,5,6,7,7,5,3,0.38
2014/15,Spring,8,4,5,5,3,2,3,3,3,3,3,2,6,0.75
