year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3313.0,2776.0,2548.0,2365.0,2254.0,2376.0,2420.0,2412.0,2390.0,2410.0,2550.0,2254.0,1059.0,0.32
2000/01,Fall,2367,1498,1064,692,522,492,535,522,579,678,1036,492,1875,0.79
2000/01,Winter,3332,2334,1812,1370,1105,1067,1090,1085,1205,1368,1688,1067,2265,0.68
2000/01,Spring,3332.0,2384.0,1882.0,1508.0,1236.0,1165.0,1165.0,1170.0,1300.0,1469.0,1758.0,1165.0,2167.0,0.65
2001/02,Summer,3308.0,2738.0,2406.0,2252.0,2172.0,2215.0,2243.0,2208.0,2193.0,2182.0,2295.0,2172.0,1136.0,0.34
2001/02,Fall,3276,2402,1834,1302,984,904,937,888,1026,1213,1557,888,2388,0.73
2001/02,Winter,3276,2288,1653,1175,853,777,798,747,864,1071,1406,747,2529,0.77
2001/02,Spring,3277.0,2256.0,1638.0,1290.0,1014.0,923.0,919.0,889.0,981.0,1165.0,1511.0,889.0,2388.0,0.73
2002/03,Summer,3277.0,2737.0,2425.0,2293.0,2226.0,2223.0,2294.0,2266.0,2268.0,2376.0,2555.0,2223.0,1054.0,0.32
2002/03,Fall,3276,2287,1562,1050,765,711,756,758,904,1185,1513,711,2565,0.78
2002/03,Winter,3275,2243,1627,1088,790,655,664,648,795,1048,1358,648,2627,0.8
2002/03,Spring,3274.0,2240.0,1650.0,1239.0,959.0,853.0,876.0,817.0,920.0,1192.0,1519.0,817.0,2457.0,0.75
2003/04,Summer,2168.0,1774.0,1530.0,1424.0,1388.0,1413.0,1480.0,1461.0,1495.0,1579.0,1720.0,1388.0,780.0,0.36
2003/04,Fall,2168,1429,899,513,338,323,399,393,477,678,953,323,1845,0.85
2003/04,Winter,2170,1344,879,498,267,227,296,302,391,594,875,227,1943,0.9
2003/04,Spring,2191.0,1332.0,825.0,492.0,303.0,282.0,340.0,363.0,477.0,656.0,922.0,282.0,1909.0,0.87
2004/05,Summer,2191.0,1809.0,1616.0,1506.0,1462.0,1484.0,1504.0,1477.0,1488.0,1567.0,1724.0,1462.0,729.0,0.33
2004/05,Fall,2191,1410,930,606,344,323,357,354,491,643,890,323,1868,0.85
2004/05,Winter,2191,1294,829,519,354,337,354,351,448,670,963,337,1854,0.85
2004/05,Spring,2186.0,1230.0,840.0,522.0,378.0,379.0,400.0,417.0,516.0,700.0,1001.0,378.0,1808.0,0.83
2005/06,Summer,2191.0,1727.0,1578.0,1498.0,1445.0,1467.0,1485.0,1466.0,1492.0,1587.0,1780.0,1445.0,746.0,0.34
2005/06,Fall,2012,1241,900,615,424,420,415,409,510,718,984,409,1603,0.8
2005/06,Winter,2012,1137,753,457,343,312,300,303,432,626,885,300,1712,0.85
2005/06,Spring,2012.0,1077.0,578.0,390.0,321.0,295.0,324.0,312.0,380.0,586.0,905.0,295.0,1717.0,0.85
2006/07,Summer,2022.0,1562.0,1367.0,1277.0,1248.0,1276.0,1295.0,1277.0,1295.0,1406.0,1577.0,1248.0,774.0,0.38
2006/07,Fall,2022,1168,797,498,345,328,344,342,432,633,904,328,1694,0.84
2006/07,Winter,2022,1054,633,370,261,273,297,297,406,615,881,261,1761,0.87
