year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,342.0,294.0,257.0,217.0,209.0,228.0,235.0,233.0,228.0,226.0,224.0,209.0,133.0,0.39
2000/01,Fall,101,39,16,12,11,13,11,11,11,13,21,11,90,0.89
2000/01,Winter,101,40,14,11,9,13,11,10,12,13,19,9,92,0.91
2000/01,Spring,101.0,47.0,16.0,13.0,10.0,13.0,11.0,12.0,13.0,16.0,18.0,10.0,91.0,0.9
2001/02,Summer,113.0,61.0,26.0,19.0,18.0,20.0,20.0,18.0,21.0,27.0,33.0,18.0,95.0,0.84
2001/02,Fall,112,61,23,19,16,17,18,18,16,17,20,16,96,0.86
2001/02,Winter,114,54,22,17,17,17,16,14,17,21,20,14,100,0.88
2001/02,Spring,114.0,56.0,30.0,19.0,17.0,16.0,18.0,18.0,17.0,21.0,21.0,16.0,98.0,0.86
2002/03,Summer,116.0,60.0,32.0,23.0,20.0,20.0,22.0,21.0,21.0,29.0,45.0,20.0,96.0,0.83
2002/03,Fall,116,54,27,19,18,20,16,20,20,24,28,16,100,0.86
2002/03,Winter,118,56,28,19,17,20,15,18,23,21,22,15,103,0.87
2002/03,Spring,118.0,47.0,24.0,18.0,16.0,18.0,19.0,16.0,17.0,20.0,36.0,16.0,102.0,0.86
2003/04,Summer,29.0,12.0,17.0,18.0,20.0,17.0,15.0,18.0,19.0,16.0,15.0,12.0,17.0,0.59
2003/04,Fall,29,13,19,18,18,15,18,19,17,16,14,13,16,0.55
2003/04,Winter,29,13,17,17,16,15,15,18,17,14,13,13,16,0.55
2003/04,Spring,29.0,13.0,18.0,18.0,17.0,16.0,14.0,16.0,16.0,14.0,14.0,13.0,16.0,0.55
2004/05,Summer,29.0,14.0,18.0,19.0,18.0,16.0,15.0,15.0,16.0,16.0,15.0,14.0,15.0,0.52
2004/05,Fall,29,15,20,21,20,19,19,18,17,17,17,15,14,0.48
