year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,751.0,431.0,320.0,279.0,259.0,291.0,304.0,280.0,285.0,327.0,449.0,259.0,492.0,0.66
2000/01,Fall,738,432,300,215,189,200,235,206,206,240,380,189,549,0.74
2000/01,Winter,926,628,443,352,299,315,325,308,329,381,507,299,627,0.68
2000/01,Spring,926.0,631.0,462.0,364.0,305.0,325.0,338.0,305.0,327.0,381.0,500.0,305.0,621.0,0.67
2001/02,Summer,898.0,609.0,454.0,388.0,360.0,391.0,412.0,380.0,387.0,428.0,543.0,360.0,538.0,0.6
2001/02,Fall,896,608,431,320,247,244,269,236,251,313,472,236,660,0.74
2001/02,Winter,894,609,397,288,207,220,246,221,243,305,430,207,687,0.77
2001/02,Spring,894.0,618.0,384.0,298.0,238.0,235.0,260.0,236.0,250.0,318.0,458.0,235.0,659.0,0.74
2002/03,Summer,894.0,626.0,430.0,377.0,347.0,366.0,405.0,373.0,376.0,437.0,581.0,347.0,547.0,0.61
2002/03,Fall,894,602,405,282,202,215,245,224,245,323,463,202,692,0.77
2002/03,Winter,891,617,400,269,210,203,230,210,236,309,445,203,688,0.77
2002/03,Spring,889.0,591.0,413.0,321.0,249.0,244.0,280.0,256.0,277.0,344.0,474.0,244.0,645.0,0.73
2003/04,Summer,700.0,451.0,281.0,233.0,218.0,243.0,285.0,262.0,275.0,344.0,465.0,218.0,482.0,0.69
2003/04,Fall,700,437,242,160,134,154,187,161,182,242,385,134,566,0.81
2003/04,Winter,700,416,228,149,109,125,160,136,144,213,345,109,591,0.84
2003/04,Spring,700.0,425.0,243.0,185.0,150.0,169.0,190.0,175.0,194.0,260.0,382.0,150.0,550.0,0.79
2004/05,Summer,700.0,452.0,298.0,241.0,229.0,249.0,272.0,250.0,252.0,318.0,438.0,229.0,471.0,0.67
2004/05,Fall,700,404,239,164,128,143,170,149,169,229,345,128,572,0.82
2004/05,Winter,777,430,290,240,209,213,222,206,230,329,469,206,571,0.73
2004/05,Spring,724.0,382.0,258.0,215.0,193.0,217.0,216.0,209.0,230.0,313.0,454.0,193.0,531.0,0.73
2005/06,Summer,777.0,465.0,360.0,320.0,300.0,315.0,342.0,319.0,335.0,399.0,566.0,300.0,477.0,0.61
2005/06,Fall,729,418,307,252,225,240,230,218,248,326,476,218,511,0.7
2005/06,Winter,729,390,241,193,186,179,173,161,207,307,455,161,568,0.78
2005/06,Spring,730.0,401.0,249.0,209.0,180.0,170.0,174.0,157.0,176.0,284.0,472.0,157.0,573.0,0.78
2006/07,Summer,726.0,444.0,305.0,251.0,239.0,264.0,284.0,268.0,283.0,376.0,514.0,239.0,487.0,0.67
2006/07,Fall,727,392,270,215,181,184,189,176,199,298,451,176,551,0.76
2006/07,Winter,726,387,261,202,147,160,149,150,192,307,464,147,579,0.8
2006/07,Spring,731.0,366.0,273.0,221.0,193.0,199.0,214.0,199.0,227.0,317.0,463.0,193.0,538.0,0.74
2007/08,Summer,759.0,415.0,273.0,234.0,222.0,240.0,256.0,237.0,262.0,337.0,482.0,222.0,537.0,0.71
2007/08,Fall,759,476,240,153,116,147,172,161,184,275,402,116,643,0.85
2007/08,Winter,752,490,264,151,120,134,161,137,151,220,356,120,632,0.84
2007/08,Spring,752.0,430.0,240.0,169.0,126.0,131.0,159.0,153.0,155.0,228.0,398.0,126.0,626.0,0.83
2008/09,Summer,752.0,537.0,308.0,239.0,197.0,204.0,245.0,243.0,257.0,297.0,429.0,197.0,555.0,0.74
2008/09,Fall,752,510,284,174,121,118,149,154,158,234,366,118,634,0.84
2008/09,Winter,752,449,222,121,75,72,118,95,102,213,371,72,680,0.9
2008/09,Spring,609.0,360.0,189.0,114.0,95.0,107.0,135.0,110.0,110.0,179.0,317.0,95.0,514.0,0.84
2009/10,Summer,608.0,379.0,187.0,106.0,93.0,104.0,133.0,114.0,130.0,188.0,333.0,93.0,515.0,0.85
2009/10,Fall,660,432,239,136,109,119,146,127,129,191,348,109,551,0.83
2009/10,Winter,660,423,212,131,101,104,125,119,119,186,324,101,559,0.85
2009/10,Spring,659.0,424.0,212.0,135.0,115.0,120.0,151.0,134.0,140.0,209.0,365.0,115.0,544.0,0.83
2010/11,Summer,659.0,450.0,292.0,207.0,184.0,194.0,217.0,215.0,223.0,265.0,416.0,184.0,475.0,0.72
2010/11,Fall,587,382,240,175,152,157,188,184,197,249,379,152,435,0.74
2010/11,Winter,587,389,229,171,151,161,172,163,182,249,373,151,436,0.74
2010/11,Spring,552.0,366.0,232.0,185.0,168.0,177.0,196.0,180.0,195.0,249.0,366.0,168.0,384.0,0.7
2011/12,Summer,550.0,344.0,219.0,180.0,168.0,175.0,189.0,178.0,187.0,235.0,375.0,168.0,382.0,0.69
2011/12,Fall,558,349,209,151,145,155,167,155,172,232,343,145,413,0.74
2011/12,Winter,576,326,157,75,62,90,102,78,86,158,336,62,514,0.89
2011/12,Spring,136.0,71.0,61.0,51.0,48.0,40.0,34.0,28.0,32.0,31.0,43.0,28.0,108.0,0.79
2012/13,Summer,144.0,109.0,85.0,71.0,64.0,66.0,60.0,68.0,71.0,78.0,93.0,60.0,84.0,0.58
2012/13,Fall,179,107,58,43,29,25,22,18,18,32,31,18,161,0.9
2012/13,Winter,179,105,62,29,19,16,18,23,18,28,41,16,163,0.91
2012/13,Spring,179.0,112.0,48.0,30.0,14.0,11.0,9.0,7.0,14.0,14.0,24.0,7.0,172.0,0.96
2013/14,Summer,185.0,133.0,84.0,63.0,60.0,50.0,60.0,69.0,71.0,72.0,101.0,50.0,135.0,0.73
2013/14,Fall,185,103,69,28,11,10,15,14,21,31,40,10,175,0.95
2013/14,Winter,185,90,59,28,13,9,7,9,8,13,24,7,178,0.96
2013/14,Spring,185.0,101.0,72.0,41.0,27.0,21.0,16.0,18.0,20.0,33.0,59.0,16.0,169.0,0.91
2014/15,Summer,185,117,57,38,29,28,28,39,37,48,90,28,157,0.85
2014/15,Fall,185,112,60,30,2,0,1,1,6,9,24,0,185,1.0
2014/15,Winter,185,98,62,32,15,15,23,22,27,34,52,15,170,0.92
2014/15,Spring,185,77,38,6,0,1,6,6,9,16,27,0,185,1.0
