year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,15.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,9.0,6.0,9.0,0.6
2000/01,Fall,14,8,5,4,5,5,6,6,5,5,9,4,10,0.71
2000/01,Winter,15,10,7,4,6,6,6,5,7,7,8,4,11,0.73
2000/01,Spring,15.0,10.0,9.0,6.0,6.0,7.0,8.0,5.0,7.0,7.0,8.0,5.0,10.0,0.67
2001/02,Summer,15.0,10.0,9.0,7.0,8.0,9.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,0.53
2001/02,Fall,15,10,8,6,7,8,9,5,5,8,9,5,10,0.67
2001/02,Winter,15,10,8,6,6,8,8,7,7,8,10,6,9,0.6
2001/02,Spring,15.0,11.0,8.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,10.0,0.67
2002/03,Summer,15.0,11.0,10.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,9.0,0.6
2002/03,Fall,13,9,10,6,6,7,8,6,5,5,8,5,8,0.62
2002/03,Winter,13,11,7,7,7,6,7,6,4,6,8,4,9,0.69
2002/03,Spring,13.0,8.0,5.0,5.0,5.0,7.0,8.0,5.0,5.0,6.0,8.0,5.0,8.0,0.62
2003/04,Summer,11.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,5.0,0.45
2003/04,Fall,15,11,7,5,4,6,6,5,6,8,10,4,11,0.73
2003/04,Winter,15,11,8,7,7,7,6,6,6,8,9,6,9,0.6
2003/04,Spring,15.0,10.0,8.0,7.0,6.0,6.0,8.0,6.0,5.0,6.0,8.0,5.0,10.0,0.67
2004/05,Summer,11.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,9.0,5.0,6.0,0.55
2004/05,Fall,12,8,7,6,6,5,7,6,5,5,8,5,7,0.58
2004/05,Winter,12,10,8,8,6,6,6,6,6,6,9,6,6,0.5
2004/05,Spring,10.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,7.0,3.0,7.0,0.7
2005/06,Summer,12.0,8.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,9.0,5.0,7.0,0.58
2005/06,Fall,10,8,6,5,5,5,5,5,5,5,8,5,5,0.5
2005/06,Winter,10,6,4,4,3,4,3,3,3,5,7,3,7,0.7
2005/06,Spring,9.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,7.0,3.0,6.0,0.67
2006/07,Summer,9.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,8.0,4.0,5.0,0.56
2006/07,Fall,8,6,4,4,4,4,4,4,4,4,7,4,4,0.5
2006/07,Winter,8,6,5,3,3,4,4,3,3,5,5,3,5,0.63
2006/07,Spring,8.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,0.5
2007/08,Summer,10.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,4.0,6.0,0.6
2007/08,Fall,10,9,6,4,5,5,5,5,4,5,6,4,6,0.6
2007/08,Winter,10,7,5,3,4,4,3,2,2,2,3,2,8,0.8
2007/08,Spring,10.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,8.0,0.8
2008/09,Summer,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,0.56
2008/09,Fall,9,8,5,5,4,3,4,5,5,5,5,3,6,0.67
2008/09,Winter,9,8,4,2,3,4,4,4,4,3,4,2,7,0.78
2008/09,Spring,7.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,0.71
2009/10,Summer,7.0,7.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,0.71
2009/10,Fall,13,10,7,3,4,5,5,5,6,6,7,3,10,0.77
2009/10,Winter,13,10,5,3,2,2,2,4,4,4,6,2,11,0.85
2009/10,Spring,13.0,10.0,8.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,8.0,0.62
2010/11,Summer,13.0,10.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,6.0,7.0,0.54
2010/11,Fall,13,9,6,6,6,6,6,7,7,8,8,6,7,0.54
2010/11,Winter,13,11,9,8,7,7,7,7,7,8,8,7,6,0.46
2010/11,Spring,10.0,6.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,3.0,7.0,0.7
2011/12,Summer,12.0,7.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,0.5
2011/12,Fall,12,7,5,6,5,8,8,6,5,6,7,5,7,0.58
2011/12,Winter,12,7,6,7,5,6,7,7,6,7,7,5,7,0.58
2011/12,Spring,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.33
2012/13,Summer,7.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,0.57
2012/13,Fall,9,5,5,4,3,5,3,3,3,3,3,3,6,0.67
2012/13,Winter,9,4,4,5,5,5,4,4,4,5,5,4,5,0.56
2012/13,Spring,9.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,7.0,0.78
2013/14,Summer,9.0,8.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,0.56
2013/14,Fall,9,5,5,5,5,4,5,5,4,4,6,4,5,0.56
2013/14,Winter,9,4,5,6,4,5,5,4,4,3,3,3,6,0.67
2013/14,Spring,9.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,6.0,0.67
2014/15,Summer,9,5,5,5,6,5,4,4,4,5,5,4,5,0.56
2014/15,Fall,9,4,4,4,4,4,4,4,5,4,3,3,6,0.67
2014/15,Winter,9,5,5,5,4,4,6,5,4,4,6,4,5,0.56
2014/15,Spring,9,6,7,5,6,6,6,5,4,5,4,4,5,0.56
