year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,10.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,4.0,0.4
2000/01,Fall,9,9,6,7,5,6,7,6,6,5,5,5,4,0.44
2000/01,Winter,8,7,4,4,5,5,5,6,3,5,5,3,5,0.63
2000/01,Spring,8.0,6.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,0.63
2001/02,Summer,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,0.5
2001/02,Fall,8,4,6,4,5,4,3,4,5,4,5,3,5,0.63
2001/02,Winter,8,5,5,3,3,3,4,3,3,4,4,3,5,0.63
2001/02,Spring,8.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,7.0,0.88
2002/03,Summer,7.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.57
2002/03,Fall,8,7,5,4,4,5,5,3,4,4,4,3,5,0.63
2002/03,Winter,8,6,5,4,4,4,4,4,4,5,5,4,4,0.5
2002/03,Spring,8.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,7.0,0.88
2003/04,Summer,6.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,0.83
2003/04,Fall,6,3,5,3,3,4,3,2,2,2,2,2,4,0.67
2003/04,Winter,6,4,3,1,3,3,2,1,1,3,3,1,5,0.83
2003/04,Spring,6.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,0.67
2004/05,Summer,6.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,0.67
2004/05,Fall,6,2,4,3,5,4,2,2,3,3,3,2,4,0.67
2004/05,Winter,6,3,2,2,2,2,2,3,2,3,4,2,4,0.67
2004/05,Spring,6.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,0.67
2005/06,Summer,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,0.83
2005/06,Fall,6,3,5,4,3,4,3,3,3,2,3,2,4,0.67
2005/06,Winter,6,2,1,0,0,3,1,2,2,0,2,0,6,1.0
2005/06,Spring,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0
2006/07,Summer,6.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,0.83
2006/07,Fall,6,3,4,1,1,3,3,2,2,1,1,1,5,0.83
2006/07,Winter,6,3,2,1,0,2,3,0,0,0,0,0,6,1.0
2006/07,Spring,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.83
2007/08,Summer,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,0.83
2007/08,Fall,6,1,1,2,2,3,4,2,1,0,1,0,6,1.0
2007/08,Winter,6,2,3,2,2,3,2,2,1,1,2,1,5,0.83
2007/08,Spring,6.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,0.83
2008/09,Summer,6.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0
2008/09,Fall,6,2,3,4,3,2,3,3,3,2,1,1,5,0.83
2008/09,Winter,6,3,3,3,2,2,4,1,1,1,2,1,5,0.83
2008/09,Spring,6.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,0.83
2009/10,Summer,6.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0
2009/10,Fall,6,3,3,2,1,3,1,1,1,0,1,0,6,1.0
2009/10,Winter,6,2,3,0,1,0,1,0,0,0,0,0,6,1.0
2009/10,Spring,6.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0
2010/11,Summer,6.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,0.83
2010/11,Fall,6,1,2,2,2,3,3,3,1,1,1,1,5,0.83
2010/11,Winter,6,2,3,3,2,4,3,2,3,1,1,1,5,0.83
2010/11,Spring,5.0,1.0,2.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
2011/12,Summer,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,0.8
2011/12,Fall,2,0,1,1,0,0,1,1,1,0,0,0,2,1.0
2011/12,Winter,3,2,1,1,1,1,2,1,1,2,2,1,2,0.67
2011/12,Spring,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.5
2012/13,Summer,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.75
2012/13,Fall,4,3,3,2,2,2,2,2,0,1,0,0,4,1.0
2012/13,Winter,4,3,2,3,3,2,2,1,1,1,1,1,3,0.75
2012/13,Spring,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0
2013/14,Summer,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,0.75
2013/14,Fall,4,3,2,2,2,2,2,1,1,1,2,1,3,0.75
2013/14,Winter,4,3,3,2,1,0,1,1,1,0,0,0,4,1.0
2013/14,Spring,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0
2014/15,Summer,4,2,2,1,0,1,1,2,0,0,1,0,4,1.0
2014/15,Fall,4,2,2,2,1,0,1,1,0,0,0,0,4,1.0
2014/15,Winter,4,2,2,2,0,0,1,0,0,0,0,0,4,1.0
2014/15,Spring,4,3,2,1,1,1,1,1,0,0,0,0,4,1.0
