year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,99.0,84.0,71.0,58.0,50.0,47.0,52.0,56.0,59.0,56.0,57.0,47.0,52.0,0.53
2000/01,Fall,87,74,63,51,46,44,49,46,45,44,47,44,43,0.49
2000/01,Winter,141,128,114,96,87,85,95,91,92,92,95,85,56,0.4
2000/01,Spring,141.0,123.0,107.0,91.0,84.0,85.0,85.0,84.0,89.0,91.0,94.0,84.0,57.0,0.4
2001/02,Summer,141.0,118.0,104.0,93.0,87.0,87.0,91.0,87.0,89.0,90.0,92.0,87.0,54.0,0.38
2001/02,Fall,141,122,105,80,75,68,82,81,78,83,90,68,73,0.52
2001/02,Winter,141,117,98,83,69,64,75,64,72,71,80,64,77,0.55
2001/02,Spring,141.0,120.0,105.0,87.0,74.0,67.0,83.0,76.0,79.0,81.0,82.0,67.0,74.0,0.52
2002/03,Summer,141.0,119.0,107.0,87.0,76.0,74.0,86.0,83.0,89.0,95.0,102.0,74.0,67.0,0.48
2002/03,Fall,141,118,101,80,71,74,76,79,79,79,84,71,70,0.5
2002/03,Winter,141,112,97,80,68,69,64,69,77,76,75,64,77,0.55
2002/03,Spring,141.0,116.0,97.0,77.0,73.0,73.0,81.0,80.0,79.0,88.0,85.0,73.0,68.0,0.48
2003/04,Summer,65.0,51.0,35.0,23.0,23.0,25.0,32.0,30.0,32.0,34.0,37.0,23.0,42.0,0.65
2003/04,Fall,65,53,36,29,26,28,30,32,31,33,35,26,39,0.6
2003/04,Winter,65,51,34,25,19,19,20,23,23,23,26,19,46,0.71
2003/04,Spring,65.0,56.0,42.0,31.0,28.0,24.0,31.0,33.0,33.0,35.0,37.0,24.0,41.0,0.63
2004/05,Summer,65.0,56.0,48.0,39.0,34.0,32.0,34.0,34.0,37.0,38.0,41.0,32.0,33.0,0.51
2004/05,Fall,65,49,35,24,23,25,30,28,33,28,31,23,42,0.65
