year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,564.0,332.0,197.0,130.0,108.0,125.0,134.0,112.0,125.0,180.0,354.0,108.0,456.0,0.81
2011/12,Fall,564.0,332.0,197.0,130.0,108.0,125.0,134.0,112.0,125.0,180.0,354.0,108.0,456.0,0.81
2011/12,Winter,564.0,332.0,197.0,130.0,108.0,125.0,134.0,112.0,125.0,180.0,354.0,108.0,456.0,0.81
2011/12,Spring,564.0,332.0,197.0,130.0,108.0,125.0,134.0,112.0,125.0,180.0,354.0,108.0,456.0,0.81
2012/13,Summer,564,358,184,109,92,110,147,103,124,196,367,92,472,0.84
2012/13,Fall,564,340,144,107,91,112,129,105,106,165,345,91,473,0.84
2012/13,Winter,564,359,186,93,62,79,123,107,107,144,306,62,502,0.89
2012/13,Spring,562,345,176,81,57,78,104,88,90,160,334,57,505,0.9
2013/14,Summer,562,313,155,95,67,71,96,85,85,159,308,67,495,0.88
2013/14,Fall,562,345,166,77,60,71,100,76,99,161,336,60,502,0.89
2013/14,Winter,562,301,153,77,57,72,101,81,90,150,330,57,505,0.9
2013/14,Spring,562,325,171,77,59,76,99,82,83,145,321,59,503,0.9
2014/15,Summer,562,366,214,111,85,90,111,97,102,174,321,85,477,0.85
2014/15,Fall,562,306,139,75,58,62,82,73,82,146,318,58,504,0.9
2014/15,Winter,562,298,153,80,42,42,83,71,70,141,304,42,520,0.93
2014/15,Spring,560,315,155,50,41,62,82,57,79,157,340,41,519,0.93
