year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,0.5
2011/12,Fall,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,0.5
2011/12,Winter,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,0.5
2011/12,Spring,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,0.5
2012/13,Summer,6,5,4,4,4,3,3,3,4,5,5,3,3,0.5
2012/13,Fall,6,4,4,3,4,3,4,4,5,4,4,3,3,0.5
2012/13,Winter,6,4,4,4,4,5,4,5,4,4,4,4,2,0.33
2012/13,Spring,6,5,5,3,4,4,4,4,3,4,6,3,3,0.5
2013/14,Summer,6,5,3,5,3,2,3,3,3,3,4,2,4,0.67
2013/14,Fall,6,3,2,2,4,3,4,3,4,3,2,2,4,0.67
2013/14,Winter,6,3,4,4,2,2,4,3,4,2,0,0,6,1.0
2013/14,Spring,6,2,4,3,3,4,3,3,3,4,3,2,4,0.67
2014/15,Summer,6,3,3,3,3,4,3,3,4,3,3,3,3,0.5
2014/15,Fall,6,4,3,4,2,2,0,4,4,4,4,0,6,1.0
2014/15,Winter,6,3,2,2,1,1,1,2,3,4,4,1,5,0.83
2014/15,Spring,6,4,4,3,3,3,2,3,6,3,3,2,4,0.67
