year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,7.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,0.57
2011/12,Fall,7.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,0.57
2011/12,Winter,7.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,0.57
2011/12,Spring,7.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,0.57
2012/13,Summer,7,6,5,4,4,3,5,5,5,5,6,3,4,0.57
2012/13,Fall,7,7,4,4,4,5,5,4,3,3,6,3,4,0.57
2012/13,Winter,7,4,4,3,2,3,4,4,4,5,5,2,5,0.71
2012/13,Spring,9,6,5,3,5,7,6,4,6,7,7,3,6,0.67
2013/14,Summer,9,6,4,4,4,7,6,6,5,5,5,4,5,0.56
2013/14,Fall,9,6,6,7,6,5,5,5,5,5,6,5,4,0.44
2013/14,Winter,9,6,5,6,5,4,5,5,4,5,7,4,5,0.56
2013/14,Spring,9,8,7,6,6,6,6,6,6,6,8,6,3,0.33
2014/15,Summer,9,8,7,6,6,7,6,6,6,6,7,6,3,0.33
2014/15,Fall,9,8,7,6,4,5,6,5,6,6,6,4,5,0.56
2014/15,Winter,8,6,5,4,5,4,6,5,5,5,5,4,4,0.5
2014/15,Spring,9,5,3,4,3,4,5,4,4,4,6,3,6,0.67
