year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,9.0,8.0,8.0,5.0,4.0,3.0,6.0,7.0,6.0,5.0,7.0,3.0,6.0,0.67
2011/12,Fall,9.0,8.0,8.0,5.0,4.0,3.0,6.0,7.0,6.0,5.0,7.0,3.0,6.0,0.67
2011/12,Winter,9.0,8.0,8.0,5.0,4.0,3.0,6.0,7.0,6.0,5.0,7.0,3.0,6.0,0.67
2011/12,Spring,9.0,8.0,8.0,5.0,4.0,3.0,6.0,7.0,6.0,5.0,7.0,3.0,6.0,0.67
2012/13,Summer,9,9,6,1,1,0,0,0,0,4,7,0,9,1.0
2012/13,Fall,9,7,5,2,2,2,3,2,2,3,6,2,7,0.78
2012/13,Winter,9,8,6,1,0,2,1,2,4,3,5,0,9,1.0
2012/13,Spring,9,6,4,3,1,1,1,1,2,3,4,1,8,0.89
2013/14,Summer,9,8,5,1,0,0,2,0,0,2,3,0,9,1.0
2013/14,Fall,9,7,6,3,1,2,4,5,3,3,5,1,8,0.89
2013/14,Winter,9,7,5,2,1,2,3,3,2,2,5,1,8,0.89
2013/14,Spring,9,7,7,2,1,0,2,2,3,3,7,0,9,1.0
2014/15,Summer,9,8,7,4,2,2,4,4,3,3,6,2,7,0.78
2014/15,Fall,9,6,4,1,1,2,2,2,2,2,5,1,8,0.89
2014/15,Winter,9,7,3,1,1,1,1,2,1,3,5,1,8,0.89
2014/15,Spring,9,3,3,1,1,0,1,0,1,2,3,0,9,1.0
