year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2011/12,Summer,22.0,5.0,4.0,8.0,9.0,9.0,6.0,6.0,8.0,5.0,9.0,4.0,18.0,0.82
2011/12,Fall,22.0,5.0,4.0,8.0,9.0,9.0,6.0,6.0,8.0,5.0,9.0,4.0,18.0,0.82
2011/12,Winter,22.0,5.0,4.0,8.0,9.0,9.0,6.0,6.0,8.0,5.0,9.0,4.0,18.0,0.82
2011/12,Spring,22.0,5.0,4.0,8.0,9.0,9.0,6.0,6.0,8.0,5.0,9.0,4.0,18.0,0.82
2012/13,Summer,22,3,9,9,7,5,5,4,3,5,7,3,19,0.86
2012/13,Fall,22,5,6,4,6,6,8,8,9,7,4,4,18,0.82
2012/13,Winter,22,6,7,7,7,7,6,4,5,6,6,4,18,0.82
2012/13,Spring,22,6,6,4,4,4,4,4,6,4,7,4,18,0.82
2013/14,Summer,22,4,4,8,3,4,7,5,5,3,8,3,19,0.86
2013/14,Fall,22,3,3,4,3,3,1,3,4,3,5,1,21,0.95
2013/14,Winter,22,5,5,4,5,3,2,4,2,1,7,1,21,0.95
2013/14,Spring,22,4,5,5,3,4,5,5,2,1,9,1,21,0.95
2014/15,Summer,22,5,4,3,2,4,3,3,2,2,6,2,20,0.91
2014/15,Fall,22,4,3,3,4,5,3,1,1,3,8,1,21,0.95
2014/15,Winter,22,5,3,2,2,4,4,2,4,3,8,2,20,0.91
2014/15,Spring,22,10,7,9,4,4,4,8,6,4,10,4,18,0.82
