year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,225.0,182.0,139.0,71.0,40.0,40.0,49.0,51.0,52.0,55.0,63.0,40.0,185.0,0.82
2000/01,Fall,236,193,137,80,36,25,28,27,30,41,39,25,211,0.89
2000/01,Winter,236,189,147,105,70,54,44,48,50,51,31,31,205,0.87
2000/01,Spring,237.0,195.0,140.0,91.0,69.0,50.0,48.0,53.0,51.0,57.0,57.0,48.0,189.0,0.8
2001/02,Summer,223.0,195.0,158.0,126.0,97.0,90.0,89.0,88.0,91.0,89.0,93.0,88.0,135.0,0.61
2001/02,Fall,223,185,131,83,49,36,39,44,42,50,47,36,187,0.84
2001/02,Winter,223,172,133,84,50,35,30,34,40,43,30,30,193,0.87
2001/02,Spring,223.0,177.0,126.0,81.0,53.0,46.0,40.0,43.0,50.0,58.0,55.0,40.0,183.0,0.82
2002/03,Summer,223.0,186.0,156.0,122.0,100.0,91.0,91.0,94.0,96.0,101.0,109.0,91.0,132.0,0.59
2002/03,Fall,223,178,116,75,52,43,37,40,48,54,53,37,186,0.83
2002/03,Winter,220,175,116,72,45,31,30,32,40,47,50,30,190,0.86
2002/03,Spring,220.0,170.0,125.0,73.0,42.0,35.0,34.0,38.0,38.0,51.0,48.0,34.0,186.0,0.85
2003/04,Summer,220.0,167.0,154.0,119.0,100.0,94.0,103.0,99.0,97.0,102.0,106.0,94.0,126.0,0.57
2003/04,Fall,220,175,117,79,47,37,40,38,44,55,58,37,183,0.83
2003/04,Winter,220,175,131,87,59,45,49,47,52,60,59,45,175,0.8
2003/04,Spring,220.0,179.0,136.0,92.0,59.0,51.0,50.0,53.0,56.0,64.0,61.0,50.0,170.0,0.77
2004/05,Summer,220.0,187.0,161.0,123.0,108.0,106.0,102.0,98.0,101.0,114.0,120.0,98.0,122.0,0.55
2004/05,Fall,220,175,141,86,54,44,44,42,42,49,56,42,178,0.81
2004/05,Winter,220,164,128,73,48,36,33,34,44,51,54,33,187,0.85
2004/05,Spring,220.0,161.0,116.0,65.0,37.0,35.0,36.0,34.0,36.0,46.0,45.0,34.0,186.0,0.85
2005/06,Summer,220.0,179.0,140.0,111.0,90.0,90.0,93.0,96.0,99.0,104.0,115.0,90.0,130.0,0.59
2005/06,Fall,220,171,129,84,55,45,48,54,57,68,75,45,175,0.8
2005/06,Winter,215,161,103,67,41,26,21,25,33,46,38,21,194,0.9
2005/06,Spring,216.0,163.0,107.0,69.0,49.0,42.0,44.0,43.0,45.0,57.0,62.0,42.0,174.0,0.81
2006/07,Summer,216.0,180.0,144.0,107.0,91.0,88.0,90.0,88.0,90.0,103.0,116.0,88.0,128.0,0.59
2006/07,Fall,175,139,80,30,14,13,8,11,15,22,39,8,167,0.95
2006/07,Winter,216,151,105,63,41,34,33,34,45,63,74,33,183,0.85
2006/07,Spring,216.0,161.0,115.0,67.0,33.0,34.0,34.0,30.0,37.0,46.0,50.0,30.0,186.0,0.86
2007/08,Summer,216.0,181.0,152.0,109.0,88.0,75.0,79.0,86.0,88.0,97.0,105.0,75.0,141.0,0.65
2007/08,Fall,216,178,114,68,36,30,26,30,33,46,48,26,190,0.88
2007/08,Winter,216,184,115,59,24,13,12,14,18,31,34,12,204,0.94
2007/08,Spring,216.0,176.0,128.0,79.0,44.0,31.0,29.0,37.0,41.0,43.0,41.0,29.0,187.0,0.87
2008/09,Summer,216.0,191.0,152.0,120.0,89.0,82.0,82.0,82.0,78.0,86.0,96.0,78.0,138.0,0.64
2008/09,Fall,216,183,139,91,44,19,17,20,22,30,48,17,199,0.92
2008/09,Winter,216,186,120,65,30,13,13,7,9,18,28,7,209,0.97
2008/09,Spring,216.0,188.0,142.0,90.0,35.0,9.0,10.0,14.0,19.0,35.0,39.0,9.0,207.0,0.96
2009/10,Summer,217.0,187.0,164.0,131.0,79.0,73.0,68.0,70.0,69.0,76.0,97.0,68.0,149.0,0.69
2009/10,Fall,217,186,141,85,37,17,12,16,19,34,40,12,205,0.94
2009/10,Winter,239,212,147,73,22,9,6,9,11,27,46,6,233,0.97
2009/10,Spring,237.0,206.0,155.0,83.0,34.0,18.0,15.0,18.0,27.0,39.0,44.0,15.0,222.0,0.94
2010/11,Summer,244.0,205.0,161.0,117.0,90.0,78.0,77.0,82.0,89.0,97.0,105.0,77.0,167.0,0.68
2010/11,Fall,244,206,142,77,38,20,19,21,24,39,56,19,225,0.92
2010/11,Winter,241,196,121,64,15,2,7,7,8,22,30,2,239,0.99
2010/11,Spring,236.0,188.0,133.0,64.0,18.0,8.0,10.0,14.0,18.0,29.0,29.0,8.0,228.0,0.97
2011/12,Summer,236.0,197.0,164.0,111.0,80.0,65.0,68.0,64.0,68.0,74.0,84.0,64.0,172.0,0.73
2011/12,Fall,275,228,186,113,72,53,49,50,56,72,94,49,226,0.82
2011/12,Winter,275,230,177,99,54,39,32,34,29,40,50,29,246,0.89
2011/12,Spring,275.0,223.0,177.0,91.0,59.0,49.0,33.0,29.0,37.0,43.0,61.0,29.0,246.0,0.89
2012/13,Summer,275.0,234.0,202.0,151.0,114.0,101.0,100.0,103.0,102.0,106.0,123.0,100.0,175.0,0.64
2012/13,Fall,268,215,160,105,62,46,35,34,41,53,71,34,234,0.87
2012/13,Winter,268,208,152,74,35,17,9,10,18,39,76,9,259,0.97
2012/13,Spring,268.0,222.0,170.0,96.0,63.0,41.0,36.0,32.0,36.0,42.0,65.0,32.0,236.0,0.88
2013/14,Summer,275.0,240.0,191.0,132.0,94.0,75.0,70.0,65.0,72.0,82.0,111.0,65.0,210.0,0.76
2013/14,Fall,276,235,184,88,42,18,19,18,14,36,56,14,262,0.95
2013/14,Winter,276,218,160,75,35,18,17,11,11,30,50,11,265,0.96
2013/14,Spring,276.0,220.0,171.0,96.0,43.0,27.0,35.0,33.0,33.0,49.0,67.0,27.0,249.0,0.9
2014/15,Summer,274,202,151,84,49,37,46,44,46,65,95,37,237,0.86
2014/15,Fall,272,226,168,76,28,12,9,10,15,33,59,9,263,0.97
2014/15,Winter,272,228,166,77,2,0,3,2,8,25,40,0,272,1.0
2014/15,Spring,272,226,169,102,40,17,18,12,22,33,48,12,260,0.96
