year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,22.0,19.0,16.0,15.0,14.0,15.0,13.0,13.0,15.0,16.0,17.0,13.0,9.0,0.41
2000/01,Fall,16,16,14,9,7,7,6,3,4,9,10,3,13,0.81
2000/01,Winter,24,17,14,11,9,11,9,9,10,12,13,9,15,0.63
2000/01,Spring,24.0,17.0,13.0,11.0,10.0,9.0,8.0,8.0,10.0,13.0,14.0,8.0,16.0,0.67
2001/02,Summer,24.0,20.0,18.0,17.0,15.0,14.0,14.0,14.0,14.0,15.0,18.0,14.0,10.0,0.42
2001/02,Fall,24,18,15,9,6,6,8,10,10,15,16,6,18,0.75
2001/02,Winter,24,18,13,10,9,8,9,6,8,12,16,6,18,0.75
2001/02,Spring,20.0,15.0,10.0,9.0,7.0,8.0,8.0,6.0,7.0,9.0,14.0,6.0,14.0,0.7
2002/03,Summer,22.0,16.0,15.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,18.0,12.0,10.0,0.45
2002/03,Fall,25,17,12,9,10,9,5,3,3,7,10,3,22,0.88
2002/03,Winter,25,19,17,14,13,12,13,12,12,16,17,12,13,0.52
2002/03,Spring,25.0,18.0,16.0,13.0,12.0,13.0,9.0,8.0,10.0,13.0,19.0,8.0,17.0,0.68
2003/04,Summer,32.0,21.0,20.0,20.0,19.0,18.0,18.0,19.0,20.0,22.0,27.0,18.0,14.0,0.44
2003/04,Fall,32,22,21,18,15,14,14,13,14,20,24,13,19,0.59
2003/04,Winter,32,22,18,16,14,13,12,9,9,15,20,9,23,0.72
2003/04,Spring,32.0,23.0,20.0,15.0,12.0,13.0,12.0,13.0,13.0,19.0,22.0,12.0,20.0,0.63
2004/05,Summer,32.0,26.0,23.0,20.0,18.0,20.0,20.0,20.0,21.0,24.0,25.0,18.0,14.0,0.44
2004/05,Fall,32,25,22,16,14,14,14,13,14,18,22,13,19,0.59
2004/05,Winter,30,23,18,15,14,12,11,10,12,18,21,10,20,0.67
2004/05,Spring,31.0,24.0,22.0,17.0,14.0,14.0,15.0,15.0,14.0,18.0,20.0,14.0,17.0,0.55
2005/06,Summer,31.0,24.0,23.0,21.0,19.0,20.0,19.0,21.0,21.0,24.0,27.0,19.0,12.0,0.39
2005/06,Fall,31,22,21,15,11,11,12,10,13,17,21,10,21,0.68
2005/06,Winter,31,21,17,14,13,13,13,12,15,18,19,12,19,0.61
2005/06,Spring,31.0,20.0,17.0,13.0,12.0,11.0,13.0,11.0,14.0,17.0,21.0,11.0,20.0,0.65
2006/07,Summer,31.0,22.0,20.0,18.0,16.0,17.0,17.0,20.0,20.0,23.0,25.0,16.0,15.0,0.48
2006/07,Fall,31,20,17,15,11,11,11,9,12,16,20,9,22,0.71
2006/07,Winter,31,15,12,7,6,4,6,4,6,13,17,4,27,0.87
2006/07,Spring,31.0,15.0,11.0,8.0,8.0,7.0,9.0,8.0,7.0,13.0,19.0,7.0,24.0,0.77
2007/08,Summer,31.0,20.0,19.0,17.0,14.0,15.0,16.0,17.0,17.0,23.0,26.0,14.0,17.0,0.55
2007/08,Fall,31,19,17,11,7,8,12,12,15,20,21,7,24,0.77
2007/08,Winter,31,18,14,11,10,10,8,9,9,15,19,8,23,0.74
2007/08,Spring,31.0,19.0,15.0,12.0,10.0,12.0,9.0,10.0,12.0,14.0,18.0,9.0,22.0,0.71
2008/09,Summer,31.0,24.0,24.0,20.0,19.0,19.0,19.0,20.0,22.0,23.0,24.0,19.0,12.0,0.39
2008/09,Fall,31,24,21,17,13,12,13,13,15,16,20,12,19,0.61
