year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1107.0,837.0,702.0,512.0,431.0,476.0,498.0,509.0,530.0,554.0,615.0,431.0,676.0,0.61
2000/01,Fall,966,534,395,227,127,95,94,93,106,146,199,93,873,0.9
2000/01,Winter,974,514,369,231,137,102,93,98,100,131,161,93,881,0.9
2000/01,Spring,974.0,522.0,367.0,213.0,128.0,93.0,92.0,96.0,103.0,142.0,190.0,92.0,882.0,0.91
2001/02,Summer,975.0,750.0,614.0,469.0,366.0,357.0,380.0,389.0,396.0,404.0,450.0,357.0,618.0,0.63
2001/02,Fall,975,533,360,193,104,88,93,86,101,134,172,86,889,0.91
2001/02,Winter,959,527,376,211,116,80,72,79,90,113,140,72,887,0.92
2001/02,Spring,954.0,517.0,376.0,206.0,123.0,100.0,78.0,79.0,102.0,138.0,182.0,78.0,876.0,0.92
2002/03,Summer,956.0,722.0,587.0,439.0,344.0,304.0,337.0,334.0,357.0,396.0,465.0,304.0,652.0,0.68
2002/03,Fall,951,525,315,160,93,82,72,67,88,123,175,67,884,0.93
2002/03,Winter,948,511,329,164,80,58,68,66,94,126,176,58,890,0.94
2002/03,Spring,970.0,521.0,355.0,172.0,95.0,95.0,89.0,86.0,95.0,148.0,206.0,86.0,884.0,0.91
2003/04,Summer,979.0,705.0,575.0,408.0,353.0,362.0,376.0,375.0,389.0,431.0,507.0,353.0,626.0,0.64
2003/04,Fall,979,519,334,175,97,90,97,86,113,161,218,86,893,0.91
2003/04,Winter,982,525,369,201,117,91,99,90,105,154,218,90,892,0.91
2003/04,Spring,982.0,510.0,363.0,187.0,113.0,96.0,100.0,106.0,118.0,165.0,213.0,96.0,886.0,0.9
2004/05,Summer,975.0,720.0,563.0,391.0,306.0,293.0,296.0,287.0,322.0,383.0,476.0,287.0,688.0,0.71
2004/05,Fall,976,508,352,170,105,91,94,87,95,136,181,87,889,0.91
2004/05,Winter,967,447,297,133,81,72,67,78,115,158,237,67,900,0.93
2004/05,Spring,969.0,458.0,266.0,131.0,75.0,77.0,81.0,88.0,95.0,147.0,205.0,75.0,894.0,0.92
2005/06,Summer,972.0,706.0,535.0,366.0,267.0,256.0,252.0,281.0,318.0,390.0,479.0,252.0,720.0,0.74
