year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,24.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,20.0,4.0,0.17
2000/01,Fall,24,18,15,13,9,8,6,5,5,4,8,4,20,0.83
2000/01,Winter,24,19,17,13,11,8,9,8,8,8,13,8,16,0.67
2000/01,Spring,24.0,21.0,18.0,14.0,13.0,12.0,10.0,9.0,7.0,10.0,14.0,7.0,17.0,0.71
2001/02,Summer,24.0,21.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,21.0,19.0,5.0,0.21
2001/02,Fall,24,19,17,11,9,8,8,5,6,7,8,5,19,0.79
2001/02,Winter,24,19,17,15,12,11,11,11,10,12,11,10,14,0.58
2001/02,Spring,24.0,21.0,20.0,17.0,16.0,14.0,7.0,8.0,12.0,15.0,16.0,7.0,17.0,0.71
2002/03,Summer,24.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,19.0,21.0,18.0,6.0,0.25
2002/03,Fall,24,20,16,10,10,10,9,9,10,11,11,9,15,0.63
2002/03,Winter,20,17,14,11,7,5,5,6,7,8,7,5,15,0.75
2002/03,Spring,20.0,17.0,15.0,9.0,6.0,6.0,7.0,6.0,6.0,8.0,9.0,6.0,14.0,0.7
2003/04,Summer,20.0,20.0,20.0,19.0,19.0,19.0,18.0,18.0,17.0,18.0,19.0,17.0,3.0,0.15
2003/04,Fall,20,15,12,8,5,3,4,3,5,6,6,3,17,0.85
2003/04,Winter,20,14,13,8,5,4,3,2,3,4,6,2,18,0.9
2003/04,Spring,20.0,15.0,12.0,9.0,6.0,4.0,4.0,4.0,6.0,7.0,9.0,4.0,16.0,0.8
2004/05,Summer,20.0,19.0,18.0,17.0,16.0,17.0,16.0,15.0,17.0,17.0,17.0,15.0,5.0,0.25
2004/05,Fall,21,15,9,4,5,4,4,4,4,6,6,4,17,0.81
2004/05,Winter,14,9,5,2,2,2,3,3,5,6,8,2,12,0.86
2004/05,Spring,20.0,11.0,9.0,7.0,4.0,3.0,1.0,2.0,3.0,5.0,7.0,1.0,19.0,0.95
2005/06,Summer,20.0,20.0,19.0,18.0,17.0,17.0,17.0,16.0,15.0,17.0,16.0,15.0,5.0,0.25
2005/06,Fall,20,18,13,8,6,6,7,7,6,9,9,6,14,0.7
2005/06,Winter,20,17,13,9,5,3,4,4,5,7,9,3,17,0.85
2005/06,Spring,20.0,14.0,10.0,7.0,7.0,5.0,4.0,4.0,4.0,6.0,9.0,4.0,16.0,0.8
2006/07,Summer,20.0,19.0,20.0,18.0,18.0,17.0,17.0,18.0,16.0,16.0,17.0,16.0,4.0,0.2
2006/07,Fall,21,18,14,8,5,6,5,6,5,8,9,5,16,0.76
2006/07,Winter,21,13,12,10,8,5,8,6,8,9,10,5,16,0.76
2006/07,Spring,21.0,14.0,9.0,8.0,6.0,6.0,6.0,5.0,5.0,8.0,10.0,5.0,16.0,0.76
2007/08,Summer,21.0,19.0,19.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,18.0,3.0,0.14
2007/08,Fall,21,20,17,14,9,7,4,8,9,11,10,4,17,0.81
2007/08,Winter,21,19,16,13,10,11,9,8,8,10,11,8,13,0.62
2007/08,Spring,21.0,20.0,19.0,15.0,9.0,4.0,2.0,2.0,4.0,7.0,9.0,2.0,19.0,0.9
2008/09,Summer,21.0,20.0,20.0,19.0,19.0,19.0,19.0,18.0,17.0,17.0,16.0,16.0,5.0,0.24
2008/09,Fall,21,19,18,16,13,8,8,9,8,9,12,8,13,0.62
2008/09,Winter,21,19,17,15,9,8,8,9,10,11,11,8,13,0.62
2008/09,Spring,21.0,18.0,15.0,10.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,15.0,0.71
2009/10,Summer,20.0,19.0,20.0,19.0,20.0,20.0,20.0,18.0,18.0,16.0,17.0,16.0,4.0,0.2
2009/10,Fall,29,21,15,12,15,13,12,14,12,13,14,12,17,0.59
2009/10,Winter,29,17,13,12,9,9,9,10,9,8,7,7,22,0.76
2009/10,Spring,29.0,13.0,11.0,9.0,8.0,6.0,8.0,9.0,8.0,11.0,9.0,6.0,23.0,0.79
2010/11,Summer,26.0,18.0,18.0,18.0,16.0,15.0,15.0,15.0,16.0,14.0,15.0,14.0,12.0,0.46
2010/11,Fall,26,14,13,9,9,5,7,7,8,6,8,5,21,0.81
2010/11,Winter,26,15,14,12,10,9,7,6,8,7,8,6,20,0.77
2010/11,Spring,26.0,18.0,16.0,10.0,5.0,8.0,6.0,6.0,6.0,7.0,8.0,5.0,21.0,0.81
2011/12,Summer,26.0,21.0,19.0,15.0,14.0,15.0,15.0,12.0,9.0,9.0,11.0,9.0,17.0,0.65
2011/12,Fall,27,20,19,16,15,12,13,13,16,17,16,12,15,0.56
2011/12,Winter,27,19,17,14,12,14,11,9,13,11,11,9,18,0.67
