year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,491.0,327.0,249.0,156.0,109.0,141.0,154.0,162.0,174.0,180.0,228.0,109.0,382.0,0.78
2000/01,Fall,343,250,182,94,53,38,35,39,49,65,105,35,308,0.9
2000/01,Winter,343,241,160,81,35,14,14,15,16,31,65,14,329,0.96
2000/01,Spring,343.0,242.0,161.0,79.0,23.0,7.0,12.0,16.0,21.0,40.0,72.0,7.0,336.0,0.98
2001/02,Summer,357.0,275.0,218.0,150.0,105.0,92.0,102.0,107.0,103.0,109.0,133.0,92.0,265.0,0.74
2001/02,Fall,357,258,162,67,21,14,20,13,24,39,68,13,344,0.96
2001/02,Winter,355,267,181,79,28,7,10,15,20,33,65,7,348,0.98
2001/02,Spring,355.0,258.0,188.0,82.0,32.0,14.0,9.0,11.0,19.0,37.0,74.0,9.0,346.0,0.97
2002/03,Summer,355.0,270.0,208.0,144.0,106.0,93.0,100.0,97.0,100.0,121.0,159.0,93.0,262.0,0.74
2002/03,Fall,355,265,154,54,12,8,6,8,15,38,74,6,349,0.98
2002/03,Winter,355,262,157,50,5,2,8,6,16,37,77,2,353,0.99
2002/03,Spring,361.0,260.0,157.0,52.0,12.0,12.0,12.0,11.0,16.0,46.0,86.0,11.0,350.0,0.97
2003/04,Summer,361.0,269.0,198.0,129.0,98.0,90.0,97.0,101.0,102.0,122.0,156.0,90.0,271.0,0.75
2003/04,Fall,361,246,138,39,3,6,9,6,21,44,86,3,358,0.99
2003/04,Winter,361,256,168,57,15,5,7,7,16,46,94,5,356,0.99
2003/04,Spring,361.0,242.0,155.0,54.0,17.0,10.0,14.0,16.0,19.0,46.0,85.0,10.0,351.0,0.97
2004/05,Summer,361.0,263.0,189.0,118.0,82.0,70.0,76.0,76.0,90.0,106.0,150.0,70.0,291.0,0.81
2004/05,Fall,361,237,139,39,10,7,8,4,10,32,60,4,357,0.99
2004/05,Winter,361,205,113,19,1,2,3,5,16,43,97,1,360,1.0
2004/05,Spring,355.0,222.0,94.0,23.0,0.0,2.0,4.0,11.0,19.0,44.0,87.0,0.0,355.0,1.0
2005/06,Summer,355.0,240.0,169.0,102.0,65.0,63.0,59.0,63.0,71.0,96.0,147.0,59.0,296.0,0.83
2005/06,Fall,355,221,122,38,9,6,10,13,24,42,94,6,349,0.98
2005/06,Winter,355,219,98,14,0,1,4,5,21,43,87,0,355,1.0
2005/06,Spring,355.0,200.0,105.0,24.0,3.0,1.0,3.0,3.0,13.0,45.0,76.0,1.0,354.0,1.0
2006/07,Summer,355.0,249.0,157.0,93.0,71.0,69.0,77.0,78.0,78.0,105.0,152.0,69.0,286.0,0.81
2006/07,Fall,395,259,136,48,20,17,16,9,19,46,100,9,386,0.98
2006/07,Winter,354,197,84,23,10,1,3,10,29,63,118,1,353,1.0
2006/07,Spring,354.0,201.0,103.0,14.0,0.0,3.0,6.0,7.0,14.0,39.0,83.0,0.0,354.0,1.0
2007/08,Summer,354.0,233.0,161.0,97.0,62.0,55.0,59.0,62.0,75.0,102.0,164.0,55.0,299.0,0.84
2007/08,Fall,350,255,102,13,1,2,2,8,14,33,61,1,349,1.0
2007/08,Winter,344,251,100,11,2,1,4,2,9,27,67,1,343,1.0
2007/08,Spring,344.0,244.0,121.0,51.0,11.0,0.0,4.0,3.0,7.0,31.0,75.0,0.0,344.0,1.0
2008/09,Summer,344.0,274.0,171.0,100.0,51.0,34.0,20.0,23.0,26.0,50.0,85.0,20.0,324.0,0.94
2008/09,Fall,344,245,151,61,8,5,4,5,10,37,86,4,340,0.99
2008/09,Winter,344,243,123,16,0,0,2,2,7,27,77,0,344,1.0
2008/09,Spring,344.0,246.0,140.0,8.0,0.0,1.0,3.0,5.0,10.0,41.0,89.0,0.0,344.0,1.0
2009/10,Summer,345.0,268.0,192.0,110.0,70.0,44.0,39.0,53.0,71.0,88.0,141.0,39.0,306.0,0.89
2009/10,Fall,356,285,143,34,5,3,3,8,13,39,91,3,353,0.99
2009/10,Winter,331,253,128,14,1,0,2,2,6,21,93,0,331,1.0
2009/10,Spring,331.0,239.0,118.0,1.0,0.0,0.0,1.0,3.0,11.0,34.0,88.0,0.0,331.0,1.0
2010/11,Summer,329.0,240.0,133.0,50.0,19.0,16.0,18.0,25.0,40.0,74.0,119.0,16.0,313.0,0.95
2010/11,Fall,329,196,85,5,2,1,1,2,8,34,94,1,328,1.0
2010/11,Winter,365,232,87,1,0,1,6,3,13,37,96,0,365,1.0
2010/11,Spring,365.0,226.0,95.0,0.0,0.0,1.0,0.0,1.0,14.0,56.0,96.0,0.0,365.0,1.0
2011/12,Summer,365.0,235.0,155.0,62.0,32.0,15.0,22.0,28.0,39.0,74.0,137.0,15.0,350.0,0.96
2011/12,Fall,386,276,175,73,40,29,34,38,47,75,155,29,357,0.92
2011/12,Winter,407,281,166,57,11,9,14,11,19,45,114,9,398,0.98
2011/12,Spring,407.0,259.0,171.0,80.0,38.0,24.0,11.0,8.0,21.0,33.0,105.0,8.0,399.0,0.98
2012/13,Summer,444.0,334.0,249.0,154.0,85.0,59.0,60.0,61.0,69.0,91.0,160.0,59.0,385.0,0.87
2012/13,Fall,432,268,153,27,0,3,10,17,19,53,104,0,432,1.0
2012/13,Winter,432,247,144,0,0,2,16,10,18,38,109,0,432,1.0
2012/13,Spring,432.0,271.0,145.0,4.0,0.0,0.0,0.0,1.0,12.0,61.0,113.0,0.0,432.0,1.0
2013/14,Summer,444.0,291.0,173.0,88.0,40.0,22.0,19.0,19.0,31.0,73.0,139.0,19.0,425.0,0.96
2013/14,Fall,419,205,94,11,3,2,6,8,16,51,107,2,417,1.0
2013/14,Winter,419,239,132,33,6,4,3,0,12,43,118,0,419,1.0
2013/14,Spring,419.0,219.0,118.0,15.0,0.0,2.0,2.0,4.0,18.0,43.0,101.0,0.0,419.0,1.0
2014/15,Summer,419,214,107,29,1,2,17,25,62,121,178,1,418,1.0
2014/15,Fall,419,254,102,1,0,0,0,2,3,25,111,0,419,1.0
2014/15,Winter,419,240,114,0,0,0,0,2,4,40,121,0,419,1.0
2014/15,Spring,419,248,119,13,1,0,5,7,12,31,115,0,419,1.0
