year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,6.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,0.67
2000/01,Fall,6,5,4,3,1,2,1,0,0,1,1,0,6,1.0
2000/01,Winter,6,5,3,3,0,1,1,1,1,1,1,0,6,1.0
2000/01,Spring,6.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,6.0,1.0
2001/02,Summer,6.0,6.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,0.67
2001/02,Fall,6,5,3,3,2,3,2,1,2,2,4,1,5,0.83
2001/02,Winter,6,4,2,3,1,2,1,1,2,0,1,0,6,1.0
2001/02,Spring,6.0,6.0,5.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,0.0,6.0,1.0
2002/03,Summer,6.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,0.83
2002/03,Fall,6,6,4,2,1,1,0,0,1,0,1,0,6,1.0
2002/03,Winter,6,5,4,1,2,0,1,1,3,2,1,0,6,1.0
2002/03,Spring,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.8
2003/04,Summer,7.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,0.57
2003/04,Fall,6,4,4,3,1,2,1,2,2,2,1,1,5,0.83
2003/04,Winter,9,7,5,6,3,4,4,2,3,4,5,2,7,0.78
2003/04,Spring,9.0,8.0,7.0,3.0,4.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,9.0,1.0
2004/05,Summer,9.0,8.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,3.0,6.0,0.67
2004/05,Fall,8,6,5,4,1,2,2,1,2,3,2,1,7,0.88
2004/05,Winter,8,3,3,2,1,1,0,2,4,2,3,0,8,1.0
