year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,247.0,234.0,229.0,210.0,215.0,220.0,220.0,220.0,223.0,226.0,227.0,210.0,37.0,0.15
2000/01,Fall,247,0,0,0,0,0,0,0,1,1,6,0,247,1.0
2000/01,Winter,247,0,0,0,0,0,0,0,0,3,9,0,247,1.0
2000/01,Spring,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,247.0,1.0
2001/02,Summer,247.0,182.0,155.0,117.0,91.0,106.0,116.0,122.0,128.0,128.0,143.0,91.0,156.0,0.63
2001/02,Fall,247,1,0,0,0,0,0,0,0,1,4,0,247,1.0
2001/02,Winter,247,0,0,0,0,0,0,0,0,0,1,0,247,1.0
2001/02,Spring,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,246.0,1.0
2002/03,Summer,246.0,174.0,142.0,100.0,69.0,59.0,77.0,75.0,92.0,99.0,116.0,59.0,187.0,0.76
2002/03,Fall,246,0,0,0,0,0,0,0,1,0,5,0,246,1.0
2002/03,Winter,246,0,0,0,0,0,0,0,0,1,4,0,246,1.0
2002/03,Spring,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,246.0,1.0
2003/04,Summer,246.0,166.0,128.0,82.0,76.0,91.0,94.0,92.0,105.0,114.0,139.0,76.0,170.0,0.69
2003/04,Fall,246,2,0,0,0,0,0,0,1,1,7,0,246,1.0
2003/04,Winter,246,1,0,0,0,0,0,1,0,1,5,0,246,1.0
2003/04,Spring,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,246.0,1.0
2004/05,Summer,246.0,156.0,123.0,69.0,43.0,41.0,41.0,39.0,52.0,71.0,108.0,39.0,207.0,0.84
2004/05,Fall,246,0,0,0,0,0,0,0,0,0,5,0,246,1.0
2004/05,Winter,246,0,0,0,0,0,0,1,8,10,22,0,246,1.0
2004/05,Spring,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,0.0,246.0,1.0
2005/06,Summer,246.0,178.0,130.0,74.0,44.0,32.0,34.0,45.0,70.0,99.0,121.0,32.0,214.0,0.87
2005/06,Fall,246,8,1,0,0,0,1,3,2,11,21,0,246,1.0
2005/06,Winter,246,2,1,0,0,0,0,0,3,4,15,0,246,1.0
2005/06,Spring,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,15.0,0.0,246.0,1.0
2006/07,Summer,244.0,162.0,137.0,110.0,85.0,78.0,70.0,81.0,93.0,118.0,134.0,70.0,174.0,0.71
2006/07,Fall,244,0,0,0,0,0,0,0,0,4,15,0,244,1.0
2006/07,Winter,244,1,0,0,0,0,0,1,2,10,18,0,244,1.0
2006/07,Spring,244.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,17.0,0.0,244.0,1.0
2007/08,Summer,244.0,167.0,147.0,98.0,58.0,40.0,59.0,64.0,76.0,84.0,115.0,40.0,204.0,0.84
2007/08,Fall,244,0,0,0,0,0,0,0,0,2,9,0,244,1.0
2007/08,Winter,244,2,0,0,0,0,0,0,0,1,8,0,244,1.0
2007/08,Spring,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,244.0,1.0
2008/09,Summer,244.0,208.0,180.0,135.0,77.0,69.0,76.0,75.0,97.0,126.0,147.0,69.0,175.0,0.72
2008/09,Fall,244,44,4,2,0,0,1,1,3,15,29,0,244,1.0
2008/09,Winter,243,47,0,0,0,0,0,0,1,8,26,0,243,1.0
2008/09,Spring,244.0,34.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,11.0,0.0,244.0,1.0
2009/10,Summer,244.0,191.0,152.0,132.0,115.0,105.0,86.0,92.0,102.0,126.0,143.0,86.0,158.0,0.65
2009/10,Fall,180,28,1,0,0,0,0,0,1,1,11,0,180,1.0
2009/10,Winter,180,0,0,0,0,0,1,0,0,15,26,0,180,1.0
2009/10,Spring,180.0,9.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,27.0,52.0,0.0,180.0,1.0
2010/11,Summer,177.0,67.0,27.0,9.0,5.0,2.0,6.0,5.0,24.0,76.0,97.0,2.0,175.0,0.99
2010/11,Fall,177,4,0,0,0,0,0,0,5,26,32,0,177,1.0
2010/11,Winter,129,0,0,0,0,0,0,0,2,13,14,0,129,1.0
2010/11,Spring,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,129.0,1.0
2011/12,Summer,129.0,53.0,17.0,5.0,1.0,5.0,2.0,1.0,8.0,29.0,43.0,1.0,128.0,0.99
2011/12,Fall,129,0,0,0,0,0,0,0,0,1,2,0,129,1.0
2011/12,Winter,108,0,0,0,0,0,0,0,3,0,2,0,108,1.0
2011/12,Spring,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,108.0,1.0
2012/13,Summer,71.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,71.0,1.0
2012/13,Fall,71,0,0,0,0,0,0,0,0,0,0,0,71,1.0
2012/13,Winter,71,0,0,0,0,0,0,0,0,0,0,0,71,1.0
2012/13,Spring,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,1.0
2013/14,Summer,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,18.0,0.0,71.0,1.0
2013/14,Fall,71,0,0,0,0,0,0,0,0,0,0,0,71,1.0
2013/14,Winter,71,0,0,1,0,0,0,0,0,0,0,0,71,1.0
2013/14,Spring,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0
2014/15,Summer,71,8,3,0,0,0,0,1,4,8,11,0,71,1.0
2014/15,Fall,71,0,0,0,0,0,0,0,0,0,1,0,71,1.0
2014/15,Winter,71,0,0,0,0,0,0,0,0,0,0,0,71,1.0
2014/15,Spring,71,0,1,0,0,0,0,0,0,1,2,0,71,1.0
