year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,37.0,12.0,10.0,8.0,7.0,4.0,7.0,7.0,9.0,13.0,15.0,4.0,33.0,0.89
2000/01,Fall,36,12,12,10,7,8,10,9,9,14,17,7,29,0.81
2000/01,Winter,36,13,7,9,6,7,6,6,10,14,20,6,30,0.83
2000/01,Spring,36.0,11.0,9.0,7.0,5.0,5.0,5.0,4.0,7.0,11.0,13.0,4.0,32.0,0.89
2001/02,Summer,40.0,14.0,10.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,12.0,8.0,32.0,0.8
2001/02,Fall,40,12,11,7,8,10,10,6,8,10,15,6,34,0.85
2001/02,Winter,29,14,10,8,7,8,8,6,7,9,11,6,23,0.79
2001/02,Spring,29.0,11.0,9.0,4.0,5.0,9.0,8.0,4.0,6.0,11.0,14.0,4.0,25.0,0.86
2002/03,Summer,29.0,12.0,10.0,9.0,10.0,8.0,10.0,11.0,13.0,15.0,16.0,8.0,21.0,0.72
2002/03,Fall,29,14,9,7,5,7,8,3,5,10,16,3,26,0.9
2002/03,Winter,33,13,9,6,3,5,8,3,7,11,16,3,30,0.91
2002/03,Spring,39.0,17.0,15.0,13.0,11.0,15.0,15.0,13.0,13.0,16.0,22.0,11.0,28.0,0.72
2003/04,Summer,39.0,18.0,16.0,14.0,13.0,18.0,19.0,15.0,18.0,20.0,25.0,13.0,26.0,0.67
2003/04,Fall,39,18,17,14,13,12,15,14,15,19,18,12,27,0.69
2003/04,Winter,39,20,16,14,9,12,15,13,14,16,20,9,30,0.77
2003/04,Spring,39.0,20.0,17.0,11.0,10.0,11.0,13.0,12.0,13.0,14.0,16.0,10.0,29.0,0.74
2004/05,Summer,39.0,24.0,15.0,13.0,13.0,18.0,19.0,17.0,16.0,20.0,21.0,13.0,26.0,0.67
2004/05,Fall,39,23,18,13,13,13,15,16,15,17,19,13,26,0.67
2004/05,Winter,39,20,16,13,11,13,14,12,15,16,20,11,28,0.72
2004/05,Spring,39.0,17.0,15.0,13.0,15.0,15.0,14.0,14.0,12.0,15.0,20.0,12.0,27.0,0.69
2005/06,Summer,39.0,22.0,16.0,12.0,12.0,12.0,12.0,14.0,16.0,21.0,23.0,12.0,27.0,0.69
2005/06,Fall,39,16,14,13,11,15,14,12,15,15,18,11,28,0.72
2005/06,Winter,35,18,16,13,14,14,14,11,14,15,17,11,24,0.69
2005/06,Spring,35.0,19.0,15.0,14.0,15.0,15.0,14.0,13.0,14.0,15.0,15.0,13.0,22.0,0.63
