year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,10.0,1.0
2000/01,Fall,13,3,4,3,4,2,4,4,4,4,4,2,11,0.85
2000/01,Winter,13,3,1,1,2,1,2,2,2,3,3,1,12,0.92
2000/01,Spring,13.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,11.0,0.85
2001/02,Summer,10.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,10.0,1.0
2001/02,Fall,10,1,0,0,0,1,1,0,1,1,2,0,10,1.0
2001/02,Winter,6,1,1,1,0,0,1,1,0,1,2,0,6,1.0
2001/02,Spring,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0
2002/03,Summer,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,6.0,1.0
2002/03,Fall,6,2,1,1,1,1,2,2,3,1,2,1,5,0.83
2002/03,Winter,6,2,2,1,1,1,1,1,2,2,2,1,5,0.83
2002/03,Spring,17.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,9.0,7.0,10.0,0.59
2003/04,Summer,17.0,8.0,8.0,7.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,7.0,10.0,0.59
2003/04,Fall,17,9,9,9,10,9,8,8,9,11,12,8,9,0.53
2003/04,Winter,17,4,4,5,5,4,5,3,5,4,6,3,14,0.82
2003/04,Spring,17.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,15.0,0.88
2004/05,Summer,10.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,7.0,0.7
2004/05,Fall,10,3,3,3,4,3,2,3,3,4,4,2,8,0.8
2004/05,Winter,10,2,3,3,2,3,2,4,3,5,5,2,8,0.8
2004/05,Spring,11.0,5.0,3.0,3.0,2.0,4.0,4.0,7.0,6.0,7.0,7.0,2.0,9.0,0.82
2005/06,Summer,8.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,7.0,0.88
2005/06,Fall,8,1,1,1,1,2,1,2,4,4,4,1,7,0.88
2005/06,Winter,8,3,2,2,3,2,2,2,3,2,4,2,6,0.75
2005/06,Spring,8.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,6.0,0.75
2006/07,Summer,8.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,7.0,0.88
2006/07,Fall,7,2,1,2,1,2,2,2,2,2,2,1,6,0.86
2006/07,Winter,7,2,1,1,1,1,1,2,3,2,2,1,6,0.86
2006/07,Spring,6.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,1.0
2007/08,Summer,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,0.83
2007/08,Fall,6,1,2,2,0,1,0,0,0,1,1,0,6,1.0
2007/08,Winter,4,1,1,1,1,1,1,1,1,0,1,0,4,1.0
2007/08,Spring,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.75
2008/09,Summer,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.75
