year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,40.0,34.0,29.0,24.0,20.0,29.0,28.0,30.0,28.0,32.0,34.0,20.0,20.0,0.5
2000/01,Fall,40,32,25,14,10,5,4,5,3,6,7,3,37,0.93
2000/01,Winter,40,24,17,5,2,4,6,7,1,6,4,1,39,0.98
2000/01,Spring,40.0,27.0,17.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,38.0,0.95
2001/02,Summer,40.0,34.0,29.0,26.0,25.0,24.0,22.0,24.0,25.0,25.0,22.0,22.0,18.0,0.45
2001/02,Fall,40,32,20,12,8,9,4,6,7,8,7,4,36,0.9
2001/02,Winter,41,29,17,10,8,8,1,4,2,2,2,1,40,0.98
2001/02,Spring,41.0,25.0,16.0,8.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,40.0,0.98
2002/03,Summer,41.0,35.0,31.0,25.0,22.0,16.0,19.0,21.0,20.0,21.0,21.0,16.0,25.0,0.61
2002/03,Fall,33,21,1,1,1,2,4,1,2,1,2,1,32,0.97
2002/03,Winter,33,16,9,8,3,1,1,4,6,1,1,1,32,0.97
2002/03,Spring,33.0,25.0,14.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,32.0,0.97
2003/04,Summer,33.0,28.0,25.0,13.0,11.0,18.0,15.0,17.0,16.0,19.0,19.0,11.0,22.0,0.67
2003/04,Fall,33,24,13,2,1,5,4,1,1,1,3,1,32,0.97
2003/04,Winter,33,23,13,7,6,3,3,5,2,3,2,2,31,0.94
2003/04,Spring,33.0,16.0,10.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,0.0,33.0,1.0
2004/05,Summer,33.0,29.0,24.0,22.0,16.0,12.0,13.0,13.0,17.0,20.0,22.0,12.0,21.0,0.64
2004/05,Fall,33,20,12,4,3,3,3,2,3,4,3,2,31,0.94
2004/05,Winter,33,17,8,5,1,2,0,5,6,4,4,0,33,1.0
2004/05,Spring,33.0,9.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,32.0,0.97
2005/06,Summer,33.0,27.0,23.0,17.0,10.0,11.0,10.0,15.0,14.0,17.0,15.0,10.0,23.0,0.7
2005/06,Fall,33,22,10,3,4,2,4,5,5,7,5,2,31,0.94
2005/06,Winter,33,20,9,5,3,0,0,5,6,4,1,0,33,1.0
2005/06,Spring,33.0,12.0,8.0,4.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,0.0,33.0,1.0
2006/07,Summer,36.0,30.0,25.0,23.0,19.0,19.0,20.0,20.0,21.0,21.0,18.0,18.0,18.0,0.5
2006/07,Fall,36,21,6,3,1,3,1,2,3,2,3,1,35,0.97
2006/07,Winter,36,12,5,3,3,1,1,2,2,2,5,1,35,0.97
2006/07,Spring,36.0,10.0,5.0,5.0,3.0,3.0,5.0,0.0,3.0,3.0,3.0,0.0,36.0,1.0
2007/08,Summer,36.0,24.0,22.0,14.0,10.0,12.0,11.0,15.0,19.0,21.0,16.0,10.0,26.0,0.72
2007/08,Fall,36,30,14,8,3,5,2,4,8,5,5,2,34,0.94
2007/08,Winter,36,27,12,10,2,2,3,4,6,5,5,2,34,0.94
2007/08,Spring,36.0,23.0,11.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,36.0,1.0
2008/09,Summer,35.0,34.0,29.0,23.0,20.0,16.0,22.0,24.0,24.0,23.0,22.0,16.0,19.0,0.54
2008/09,Fall,35,29,24,11,6,2,5,4,7,8,9,2,33,0.94
2008/09,Winter,35,27,18,9,5,5,5,1,4,7,6,1,34,0.97
2008/09,Spring,35.0,30.0,18.0,11.0,5.0,4.0,6.0,7.0,8.0,12.0,4.0,4.0,31.0,0.89
2009/10,Summer,34.0,33.0,29.0,24.0,18.0,15.0,17.0,20.0,20.0,25.0,20.0,15.0,19.0,0.56
2009/10,Fall,21,15,7,5,3,4,2,4,5,7,5,2,19,0.9
2009/10,Winter,21,17,6,2,2,3,3,2,5,6,5,2,19,0.9
