year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,49.0,40.0,37.0,23.0,13.0,11.0,11.0,15.0,17.0,19.0,17.0,11.0,38.0,0.78
2000/01,Fall,196,176,150,113,88,76,74,74,81,96,114,74,122,0.62
2000/01,Winter,196,169,135,91,61,51,48,50,54,73,81,48,148,0.76
2000/01,Spring,196.0,161.0,143.0,101.0,69.0,50.0,45.0,41.0,53.0,71.0,85.0,41.0,155.0,0.79
2001/02,Summer,196.0,163.0,151.0,128.0,103.0,97.0,101.0,101.0,107.0,112.0,132.0,97.0,99.0,0.51
2001/02,Fall,194,163,125,81,54,37,41,37,44,59,73,37,157,0.81
2001/02,Winter,194,154,103,56,36,29,31,32,35,49,53,29,165,0.85
2001/02,Spring,194.0,149.0,104.0,54.0,21.0,17.0,21.0,24.0,35.0,50.0,46.0,17.0,177.0,0.91
2002/03,Summer,194.0,163.0,133.0,103.0,84.0,72.0,80.0,78.0,84.0,91.0,108.0,72.0,122.0,0.63
2002/03,Fall,194,156,100,50,23,18,16,17,23,37,44,16,178,0.92
2002/03,Winter,194,152,88,21,4,2,5,6,15,31,33,2,192,0.99
2002/03,Spring,191.0,142.0,80.0,28.0,9.0,7.0,9.0,12.0,22.0,41.0,42.0,7.0,184.0,0.96
2003/04,Summer,92.0,80.0,72.0,62.0,55.0,54.0,58.0,56.0,59.0,61.0,67.0,54.0,38.0,0.41
2003/04,Fall,89,75,63,44,35,35,35,35,35,39,43,35,54,0.61
2003/04,Winter,89,75,61,47,33,31,31,25,27,31,35,25,64,0.72
2003/04,Spring,89.0,74.0,66.0,52.0,44.0,37.0,34.0,33.0,36.0,38.0,41.0,33.0,56.0,0.63
2004/05,Summer,89.0,79.0,72.0,62.0,57.0,55.0,59.0,57.0,57.0,61.0,65.0,55.0,34.0,0.38
2004/05,Fall,87,74,62,52,43,39,36,32,36,40,40,32,55,0.63
2004/05,Winter,87,72,60,43,36,28,26,24,28,30,32,24,63,0.72
2004/05,Spring,85.0,67.0,59.0,48.0,37.0,32.0,27.0,27.0,26.0,24.0,29.0,24.0,61.0,0.72
2005/06,Summer,85.0,76.0,71.0,63.0,60.0,54.0,55.0,54.0,55.0,57.0,61.0,54.0,31.0,0.36
2005/06,Fall,85,72,61,50,37,34,32,33,32,31,38,31,54,0.64
2005/06,Winter,85,72,58,46,36,27,22,19,22,27,25,19,66,0.78
2005/06,Spring,84.0,68.0,48.0,44.0,35.0,27.0,23.0,26.0,27.0,29.0,31.0,23.0,61.0,0.73
2006/07,Summer,84.0,74.0,63.0,54.0,49.0,46.0,48.0,49.0,49.0,50.0,54.0,46.0,38.0,0.45
2006/07,Fall,83,70,56,36,26,24,24,20,22,23,28,20,63,0.76
2006/07,Winter,83,68,54,38,28,22,21,22,23,25,31,21,62,0.75
2006/07,Spring,84.0,67.0,53.0,36.0,27.0,24.0,21.0,23.0,26.0,30.0,36.0,21.0,63.0,0.75
2007/08,Summer,85.0,76.0,66.0,60.0,57.0,53.0,53.0,54.0,57.0,58.0,60.0,53.0,32.0,0.38
2007/08,Fall,192,170,142,114,105,100,104,103,106,120,127,100,92,0.48
2007/08,Winter,192,168,134,110,99,94,91,88,92,109,118,88,104,0.54
2007/08,Spring,192.0,171.0,152.0,123.0,101.0,106.0,106.0,108.0,115.0,119.0,130.0,101.0,91.0,0.47
2008/09,Summer,192.0,178.0,162.0,151.0,143.0,139.0,138.0,139.0,144.0,151.0,157.0,138.0,54.0,0.28
2008/09,Fall,154,137,125,97,82,74,69,67,70,79,94,67,87,0.56
2008/09,Winter,154,143,125,102,72,64,61,58,56,65,85,56,98,0.64
2008/09,Spring,154.0,133.0,111.0,82.0,55.0,47.0,45.0,42.0,47.0,60.0,79.0,42.0,112.0,0.73
2009/10,Summer,152.0,138.0,121.0,104.0,89.0,87.0,91.0,93.0,91.0,98.0,113.0,87.0,65.0,0.43
2009/10,Fall,146,125,105,74,48,40,37,38,43,51,71,37,109,0.75
2009/10,Winter,146,117,98,44,26,22,33,33,29,38,66,22,124,0.85
2009/10,Spring,146.0,115.0,95.0,65.0,46.0,36.0,31.0,33.0,39.0,45.0,55.0,31.0,115.0,0.79
2010/11,Summer,157.0,137.0,115.0,97.0,87.0,82.0,86.0,89.0,91.0,98.0,119.0,82.0,75.0,0.48
2010/11,Fall,157,122,90,58,42,33,32,28,30,43,55,28,129,0.82
2010/11,Winter,157,120,94,66,47,31,19,16,19,30,44,16,141,0.9
2010/11,Spring,157.0,121.0,96.0,77.0,53.0,38.0,33.0,32.0,27.0,37.0,47.0,27.0,130.0,0.83
2011/12,Summer,157.0,136.0,112.0,95.0,81.0,77.0,81.0,84.0,83.0,92.0,105.0,77.0,80.0,0.51
2011/12,Fall,157,129,93,50,28,19,27,30,32,42,60,19,138,0.88
2011/12,Winter,157,125,95,57,30,20,19,22,26,56,62,19,138,0.88
2011/12,Spring,157.0,132.0,103.0,74.0,56.0,46.0,39.0,41.0,39.0,53.0,66.0,39.0,118.0,0.75
2012/13,Summer,157.0,134.0,106.0,93.0,82.0,86.0,89.0,87.0,90.0,96.0,108.0,82.0,75.0,0.48
2012/13,Fall,157,132,113,81,66,55,52,52,57,69,72,52,105,0.67
2012/13,Winter,156,130,104,73,56,39,33,27,34,53,70,27,129,0.83
2012/13,Spring,156.0,128.0,116.0,89.0,68.0,56.0,53.0,49.0,58.0,63.0,79.0,49.0,107.0,0.69
2013/14,Summer,156.0,136.0,120.0,104.0,93.0,88.0,92.0,88.0,89.0,101.0,111.0,88.0,68.0,0.44
2013/14,Fall,157,131,107,81,66,59,50,47,58,68,77,47,110,0.7
2013/14,Winter,157,122,87,71,46,39,39,37,43,59,82,37,120,0.76
2013/14,Spring,157.0,124.0,103.0,80.0,67.0,60.0,55.0,41.0,39.0,58.0,69.0,39.0,118.0,0.75
2014/15,Summer,157,138,118,97,91,86,85,89,89,101,117,85,72,0.46
2014/15,Fall,156,120,99,69,32,24,32,29,34,50,73,24,132,0.85
2014/15,Winter,160,123,98,70,44,30,22,21,35,51,71,21,139,0.87
2014/15,Spring,160,128,98,86,61,52,55,56,52,71,86,52,108,0.68
