year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,2.0,0.18
2000/01,Fall,29,20,19,19,19,19,19,19,19,17,19,17,12,0.41
2000/01,Winter,28,27,26,26,25,24,24,23,24,27,27,23,5,0.18
2000/01,Spring,28.0,26.0,26.0,25.0,24.0,25.0,24.0,25.0,24.0,25.0,25.0,24.0,4.0,0.14
2001/02,Summer,28.0,26.0,26.0,25.0,25.0,25.0,24.0,26.0,25.0,26.0,26.0,24.0,4.0,0.14
2001/02,Fall,28,22,21,20,21,18,19,19,20,22,23,18,10,0.36
2001/02,Winter,28,21,22,21,21,20,21,20,20,24,23,20,8,0.29
2001/02,Spring,28.0,23.0,23.0,23.0,21.0,19.0,21.0,20.0,21.0,24.0,25.0,19.0,9.0,0.32
2002/03,Summer,28.0,25.0,24.0,24.0,22.0,21.0,22.0,22.0,24.0,25.0,25.0,21.0,7.0,0.25
2002/03,Fall,28,22,20,20,19,18,21,21,22,22,24,18,10,0.36
2002/03,Winter,28,23,22,21,19,19,20,19,21,22,24,19,9,0.32
2002/03,Spring,28.0,24.0,22.0,21.0,19.0,19.0,18.0,17.0,19.0,22.0,23.0,17.0,11.0,0.39
2003/04,Summer,25.0,22.0,20.0,19.0,19.0,18.0,20.0,20.0,20.0,20.0,22.0,18.0,7.0,0.28
2003/04,Fall,27,22,20,17,16,16,17,17,18,18,18,16,11,0.41
2003/04,Winter,26,18,17,14,14,13,12,12,15,15,18,12,14,0.54
2003/04,Spring,26.0,16.0,15.0,13.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,13.0,13.0,0.5
2004/05,Summer,26.0,20.0,19.0,18.0,19.0,18.0,19.0,19.0,22.0,22.0,23.0,18.0,8.0,0.31
2004/05,Fall,26,15,14,14,14,14,15,16,14,18,17,14,12,0.46
2004/05,Winter,26,18,14,14,14,16,16,16,16,17,19,14,12,0.46
2004/05,Spring,26.0,18.0,15.0,15.0,17.0,14.0,16.0,15.0,16.0,17.0,18.0,14.0,12.0,0.46
2005/06,Summer,26.0,21.0,19.0,17.0,17.0,17.0,18.0,18.0,18.0,20.0,22.0,17.0,9.0,0.35
2005/06,Fall,26,21,19,17,17,16,17,16,16,19,20,16,10,0.38
2005/06,Winter,24,18,16,17,15,16,17,15,16,16,16,15,9,0.38
2005/06,Spring,22.0,16.0,14.0,13.0,15.0,15.0,14.0,15.0,14.0,13.0,14.0,13.0,9.0,0.41
2006/07,Summer,22.0,15.0,16.0,13.0,12.0,13.0,13.0,13.0,15.0,16.0,18.0,12.0,10.0,0.45
2006/07,Fall,22,14,12,9,9,9,9,9,11,14,16,9,13,0.59
2006/07,Winter,22,12,11,10,9,8,7,9,10,12,12,7,15,0.68
2006/07,Spring,22.0,11.0,11.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,11.0,8.0,14.0,0.64
2007/08,Summer,22.0,14.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,11.0,13.0,10.0,12.0,0.55
2007/08,Fall,47,38,35,33,30,31,31,30,34,35,35,30,17,0.36
2007/08,Winter,47,38,36,32,29,30,29,28,31,35,38,28,19,0.4
2007/08,Spring,47.0,37.0,36.0,33.0,31.0,31.0,31.0,31.0,33.0,35.0,37.0,31.0,16.0,0.34
2008/09,Summer,47.0,38.0,36.0,34.0,30.0,32.0,33.0,35.0,36.0,36.0,37.0,30.0,17.0,0.36
2008/09,Fall,47,33,31,30,27,27,30,29,31,32,34,27,20,0.43
2008/09,Winter,47,38,35,33,30,31,33,33,33,34,35,30,17,0.36
2008/09,Spring,47.0,38.0,36.0,35.0,31.0,32.0,30.0,31.0,32.0,36.0,37.0,30.0,17.0,0.36
2009/10,Summer,47.0,37.0,34.0,35.0,33.0,32.0,31.0,32.0,35.0,38.0,40.0,31.0,16.0,0.34
2009/10,Fall,47,35,32,28,27,27,27,27,30,32,35,27,20,0.43
2009/10,Winter,48,37,35,27,23,23,24,26,27,30,36,23,25,0.52
2009/10,Spring,48.0,38.0,33.0,31.0,30.0,28.0,28.0,28.0,30.0,33.0,35.0,28.0,20.0,0.42
2010/11,Summer,48.0,37.0,34.0,31.0,30.0,29.0,30.0,31.0,33.0,37.0,41.0,29.0,19.0,0.4
2010/11,Fall,48,34,29,23,22,21,22,25,27,29,30,21,27,0.56
2010/11,Winter,48,31,27,21,18,20,16,18,18,22,28,16,32,0.67
2010/11,Spring,51.0,30.0,25.0,20.0,19.0,18.0,18.0,20.0,23.0,25.0,32.0,18.0,33.0,0.65
2011/12,Summer,51.0,38.0,34.0,30.0,30.0,28.0,28.0,29.0,33.0,36.0,39.0,28.0,23.0,0.45
2011/12,Fall,51,37,33,19,18,20,20,20,23,25,30,18,33,0.65
2011/12,Winter,51,37,33,30,24,26,25,24,23,24,30,23,28,0.55
2011/12,Spring,51.0,36.0,31.0,26.0,23.0,22.0,21.0,19.0,20.0,26.0,27.0,19.0,32.0,0.63
2012/13,Summer,51.0,40.0,38.0,34.0,33.0,32.0,29.0,28.0,29.0,31.0,36.0,28.0,23.0,0.45
2012/13,Fall,51,36,32,29,28,29,26,24,29,33,34,24,27,0.53
2012/13,Winter,51,34,29,23,21,18,15,14,21,23,30,14,37,0.73
2012/13,Spring,51.0,33.0,29.0,24.0,22.0,21.0,22.0,21.0,23.0,28.0,32.0,21.0,30.0,0.59
2013/14,Summer,51.0,40.0,38.0,34.0,33.0,33.0,32.0,31.0,34.0,34.0,42.0,31.0,20.0,0.39
2013/14,Fall,51,33,30,29,27,25,26,22,24,32,34,22,29,0.57
2013/14,Winter,51,33,31,29,27,26,24,25,27,30,35,24,27,0.53
2013/14,Spring,51.0,32.0,28.0,28.0,25.0,23.0,23.0,25.0,25.0,30.0,32.0,23.0,28.0,0.55
2014/15,Summer,51,37,32,32,28,28,27,29,35,37,42,27,24,0.47
2014/15,Fall,51,34,30,24,22,23,22,24,29,33,37,22,29,0.57
2014/15,Winter,51,39,34,34,29,28,25,25,28,34,38,25,26,0.51
2014/15,Spring,51,38,34,34,29,28,27,26,30,29,37,26,25,0.49
