year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.8
2000/01,Fall,45,15,12,8,7,7,6,7,11,13,15,6,39,0.87
2000/01,Winter,43,40,33,31,30,30,29,27,27,29,34,27,16,0.37
2000/01,Spring,43.0,40.0,33.0,28.0,27.0,26.0,26.0,26.0,25.0,28.0,29.0,25.0,18.0,0.42
2001/02,Summer,43.0,39.0,37.0,34.0,34.0,35.0,34.0,34.0,35.0,36.0,36.0,34.0,9.0,0.21
2001/02,Fall,43,39,31,27,26,22,22,23,22,24,26,22,21,0.49
2001/02,Winter,43,35,23,19,18,19,19,21,22,23,26,18,25,0.58
2001/02,Spring,43.0,35.0,26.0,22.0,22.0,19.0,21.0,21.0,20.0,24.0,25.0,19.0,24.0,0.56
2002/03,Summer,43.0,40.0,34.0,32.0,30.0,30.0,32.0,32.0,29.0,29.0,31.0,29.0,14.0,0.33
2002/03,Fall,49,39,25,22,20,19,20,20,20,26,28,19,30,0.61
2002/03,Winter,49,38,25,17,15,20,17,17,22,26,26,15,34,0.69
2002/03,Spring,48.0,42.0,32.0,18.0,21.0,16.0,18.0,17.0,24.0,29.0,31.0,16.0,32.0,0.67
2003/04,Summer,90.0,40.0,11.0,1.0,0.0,3.0,4.0,4.0,3.0,11.0,27.0,0.0,90.0,1.0
2003/04,Fall,90,43,17,3,3,3,3,2,5,10,23,2,88,0.98
2003/04,Winter,90,37,5,1,1,3,2,3,3,6,16,1,89,0.99
2003/04,Spring,90.0,43.0,6.0,2.0,1.0,4.0,4.0,4.0,7.0,10.0,20.0,1.0,89.0,0.99
2004/05,Summer,90.0,52.0,24.0,5.0,3.0,7.0,6.0,3.0,7.0,9.0,20.0,3.0,87.0,0.97
2004/05,Fall,90,42,9,0,1,4,3,1,4,11,24,0,90,1.0
2004/05,Winter,90,32,5,0,1,3,2,4,9,13,26,0,90,1.0
2004/05,Spring,90.0,44.0,9.0,1.0,2.0,3.0,2.0,2.0,6.0,13.0,24.0,1.0,89.0,0.99
2005/06,Summer,90.0,47.0,18.0,8.0,2.0,4.0,5.0,4.0,9.0,14.0,28.0,2.0,88.0,0.98
2005/06,Fall,90,45,12,3,1,5,2,5,5,12,18,1,89,0.99
2005/06,Winter,32,3,1,0,0,1,0,2,4,3,3,0,32,1.0
2005/06,Spring,33.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,32.0,0.97
2006/07,Summer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006/07,Fall,2,1,1,1,1,1,1,2,1,1,1,1,1,0.5
2006/07,Winter,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2006/07,Spring,107.0,89.0,81.0,71.0,58.0,50.0,43.0,41.0,49.0,58.0,61.0,41.0,66.0,0.62
2007/08,Summer,107.0,101.0,88.0,81.0,71.0,68.0,73.0,72.0,79.0,82.0,90.0,68.0,39.0,0.36
2007/08,Fall,201,176,141,88,49,38,48,47,63,81,99,38,163,0.81
2007/08,Winter,201,170,133,86,37,24,26,25,41,52,68,24,177,0.88
2007/08,Spring,201.0,168.0,129.0,86.0,55.0,32.0,27.0,28.0,41.0,67.0,82.0,27.0,174.0,0.87
2008/09,Summer,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.33
2008/09,Fall,3,2,2,2,1,3,2,2,2,2,2,1,2,0.67
2008/09,Winter,3,2,2,2,2,2,2,2,2,2,2,2,1,0.33
2008/09,Spring,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.67
2009/10,Summer,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.33
2009/10,Fall,3,2,2,2,2,2,3,2,2,2,2,2,1,0.33
2009/10,Winter,3,2,2,2,2,1,2,2,1,2,3,1,2,0.67
2009/10,Spring,15.0,13.0,10.0,9.0,7.0,7.0,8.0,8.0,9.0,7.0,10.0,7.0,8.0,0.53
2010/11,Summer,17.0,16.0,16.0,15.0,15.0,14.0,16.0,16.0,15.0,16.0,15.0,14.0,3.0,0.18
2010/11,Fall,17,15,13,9,9,6,6,5,8,8,8,5,12,0.71
2010/11,Winter,17,15,12,8,6,4,5,7,6,6,6,4,13,0.76
2010/11,Spring,18.0,14.0,13.0,10.0,9.0,6.0,6.0,3.0,4.0,2.0,5.0,2.0,16.0,0.89
2011/12,Summer,18.0,17.0,15.0,16.0,16.0,16.0,16.0,14.0,15.0,16.0,16.0,14.0,4.0,0.22
2011/12,Fall,18,14,11,9,8,9,8,7,7,8,8,7,11,0.61
2011/12,Winter,18,14,13,10,8,9,9,8,10,9,12,8,10,0.56
2011/12,Spring,16.0,8.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,11.0,0.69
2012/13,Summer,16.0,15.0,14.0,15.0,15.0,15.0,13.0,15.0,14.0,14.0,14.0,13.0,3.0,0.19
2012/13,Fall,16,9,7,6,5,4,4,5,6,5,7,4,12,0.75
2012/13,Winter,17,12,8,5,3,3,3,2,2,6,6,2,15,0.88
2012/13,Spring,17.0,13.0,12.0,12.0,11.0,10.0,9.0,11.0,8.0,10.0,10.0,8.0,9.0,0.53
2013/14,Summer,17.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,4.0,0.24
2013/14,Fall,18,10,7,4,6,4,4,2,1,3,4,1,17,0.94
2013/14,Winter,18,11,7,7,6,6,6,5,7,8,8,5,13,0.72
2013/14,Spring,18.0,10.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,12.0,0.67
2014/15,Summer,18,15,15,14,14,14,14,14,14,14,14,14,4,0.22
2014/15,Fall,24,9,8,9,7,7,8,7,7,9,11,7,17,0.71
2014/15,Winter,24,17,14,13,12,11,10,9,8,10,14,8,16,0.67
2014/15,Spring,25,21,18,17,15,13,13,12,15,14,15,12,13,0.52
