year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,72.0,30.0,18.0,8.0,4.0,3.0,4.0,5.0,8.0,13.0,20.0,3.0,69.0,0.96
2000/01,Fall,199,152,88,27,8,11,11,15,17,35,78,8,191,0.96
2000/01,Winter,249,171,66,35,26,26,25,24,27,52,85,24,225,0.9
2000/01,Spring,249.0,179.0,74.0,20.0,4.0,4.0,9.0,6.0,14.0,36.0,67.0,4.0,245.0,0.98
2001/02,Summer,249.0,182.0,115.0,59.0,28.0,22.0,29.0,32.0,50.0,70.0,109.0,22.0,227.0,0.91
2001/02,Fall,249,161,13,3,0,0,1,0,6,28,67,0,249,1.0
2001/02,Winter,249,108,1,0,0,1,0,0,4,28,89,0,249,1.0
2001/02,Spring,249.0,102.0,0.0,0.0,0.0,1.0,3.0,2.0,12.0,32.0,81.0,0.0,249.0,1.0
2002/03,Summer,248.0,140.0,61.0,20.0,6.0,8.0,16.0,16.0,22.0,46.0,98.0,6.0,242.0,0.98
2002/03,Fall,248,104,3,0,0,2,0,0,8,33,79,0,248,1.0
2002/03,Winter,248,90,0,0,0,0,0,0,8,27,94,0,248,1.0
2002/03,Spring,248.0,103.0,9.0,1.0,0.0,0.0,0.0,1.0,13.0,37.0,89.0,0.0,248.0,1.0
2003/04,Summer,189.0,164.0,152.0,143.0,136.0,134.0,131.0,130.0,132.0,140.0,156.0,130.0,59.0,0.31
2003/04,Fall,188,145,114,61,27,15,14,12,22,43,62,12,176,0.94
2003/04,Winter,188,142,119,68,24,3,3,5,15,30,49,3,185,0.98
2003/04,Spring,188.0,133.0,93.0,34.0,7.0,1.0,5.0,8.0,20.0,39.0,61.0,1.0,187.0,0.99
2004/05,Summer,188.0,153.0,141.0,123.0,117.0,119.0,117.0,116.0,117.0,124.0,144.0,116.0,72.0,0.38
2004/05,Fall,188,138,94,41,2,2,6,3,13,34,54,2,186,0.99
2004/05,Winter,188,148,104,41,16,3,5,5,12,21,42,3,185,0.98
2004/05,Spring,188.0,138.0,97.0,39.0,10.0,5.0,8.0,16.0,23.0,32.0,55.0,5.0,183.0,0.97
2005/06,Summer,188.0,156.0,139.0,127.0,118.0,116.0,119.0,110.0,116.0,122.0,139.0,110.0,78.0,0.41
2005/06,Fall,188,146,109,49,9,4,6,1,10,31,52,1,187,0.99
2005/06,Winter,188,131,74,42,1,0,2,4,12,28,51,0,188,1.0
2005/06,Spring,188.0,123.0,71.0,18.0,2.0,2.0,6.0,3.0,9.0,25.0,43.0,2.0,186.0,0.99
2006/07,Summer,188.0,152.0,117.0,87.0,76.0,70.0,72.0,73.0,78.0,96.0,115.0,70.0,118.0,0.63
2006/07,Fall,188,138,83,26,0,0,4,0,9,26,44,0,188,1.0
2006/07,Winter,188,136,64,37,1,1,4,3,12,33,50,1,187,0.99
2006/07,Spring,188.0,135.0,95.0,48.0,17.0,4.0,7.0,3.0,10.0,24.0,53.0,3.0,185.0,0.98
2007/08,Summer,188.0,153.0,123.0,99.0,82.0,78.0,78.0,75.0,77.0,88.0,108.0,75.0,113.0,0.6
2007/08,Fall,545,481,410,319,264,243,233,228,249,296,342,228,317,0.58
2007/08,Winter,541,439,346,278,180,163,149,145,180,244,303,145,396,0.73
2007/08,Spring,541.0,428.0,363.0,269.0,202.0,143.0,131.0,128.0,147.0,220.0,275.0,128.0,413.0,0.76
2008/09,Summer,541.0,470.0,433.0,386.0,339.0,321.0,322.0,323.0,330.0,347.0,396.0,321.0,220.0,0.41
2008/09,Fall,584,485,381,292,164,107,86,92,129,176,258,86,498,0.85
2008/09,Winter,584,509,432,332,217,146,120,99,120,161,248,99,485,0.83
2008/09,Spring,584.0,482.0,372.0,254.0,111.0,76.0,67.0,71.0,83.0,155.0,258.0,67.0,517.0,0.89
2009/10,Summer,684.0,617.0,547.0,497.0,438.0,424.0,423.0,427.0,447.0,474.0,540.0,423.0,261.0,0.38
2009/10,Fall,684,595,476,314,190,151,142,148,177,229,345,142,542,0.79
2009/10,Winter,684,579,427,243,100,52,58,48,75,137,256,48,636,0.93
2009/10,Spring,684.0,572.0,442.0,256.0,125.0,75.0,60.0,52.0,80.0,154.0,261.0,52.0,632.0,0.92
2010/11,Summer,684.0,617.0,542.0,480.0,435.0,415.0,421.0,425.0,449.0,472.0,536.0,415.0,269.0,0.39
2010/11,Fall,684,570,396,215,67,28,32,31,53,113,222,28,656,0.96
2010/11,Winter,684,570,388,197,76,43,36,32,53,124,247,32,652,0.95
2010/11,Spring,684.0,531.0,445.0,269.0,128.0,85.0,76.0,78.0,114.0,172.0,268.0,76.0,608.0,0.89
2011/12,Summer,684.0,601.0,512.0,440.0,378.0,350.0,364.0,371.0,392.0,424.0,511.0,350.0,334.0,0.49
2011/12,Fall,684,538,429,209,99,66,53,43,74,124,244,43,641,0.94
2011/12,Winter,684,531,441,246,126,90,88,95,144,195,301,88,596,0.87
2011/12,Spring,684.0,536.0,436.0,290.0,189.0,139.0,122.0,123.0,130.0,195.0,306.0,122.0,562.0,0.82
2012/13,Summer,684.0,595.0,515.0,464.0,406.0,379.0,379.0,386.0,395.0,433.0,509.0,379.0,305.0,0.45
2012/13,Fall,684,535,428,258,119,73,50,42,74,141,242,42,642,0.94
2012/13,Winter,684,514,417,247,69,7,4,7,54,128,236,4,680,0.99
