year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,21.0,14.0,14.0,12.0,14.0,11.0,10.0,10.0,12.0,14.0,12.0,10.0,11.0,0.52
2000/01,Fall,21,15,16,15,14,11,11,10,11,13,12,10,11,0.52
2000/01,Winter,21,15,16,14,11,11,12,12,10,13,11,10,11,0.52
2000/01,Spring,21.0,16.0,14.0,11.0,11.0,9.0,11.0,11.0,9.0,8.0,10.0,8.0,13.0,0.62
2001/02,Summer,21.0,13.0,14.0,13.0,11.0,12.0,12.0,10.0,12.0,9.0,10.0,9.0,12.0,0.57
2001/02,Fall,21,17,16,15,15,14,12,9,10,11,12,9,12,0.57
2001/02,Winter,21,16,15,13,14,11,8,9,10,13,11,8,13,0.62
2001/02,Spring,21.0,17.0,15.0,13.0,12.0,8.0,10.0,11.0,11.0,11.0,12.0,8.0,13.0,0.62
2002/03,Summer,19.0,15.0,13.0,13.0,10.0,12.0,8.0,8.0,11.0,11.0,9.0,8.0,11.0,0.58
2002/03,Fall,19,17,13,11,12,11,10,8,7,9,11,7,12,0.63
2002/03,Winter,19,15,14,12,10,8,5,8,8,8,10,5,14,0.74
2002/03,Spring,19.0,17.0,12.0,13.0,10.0,10.0,8.0,9.0,12.0,7.0,9.0,7.0,12.0,0.63
2003/04,Summer,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0
2003/04,Fall,6,4,5,4,3,5,4,3,4,4,3,3,3,0.5
2003/04,Winter,8,7,7,4,5,4,4,3,3,4,5,3,5,0.63
2003/04,Spring,8.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,6.0,0.75
2004/05,Summer,8.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,6.0,3.0,5.0,0.63
2004/05,Fall,8,6,5,7,3,4,4,3,4,5,5,3,5,0.63
2004/05,Winter,8,6,6,4,3,5,5,4,4,4,3,3,5,0.63
2004/05,Spring,8.0,7.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,6.0,0.75
2005/06,Summer,8.0,7.0,5.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,0.5
2005/06,Fall,7,4,3,2,4,3,3,3,3,3,4,2,5,0.71
2005/06,Winter,7,4,4,3,3,2,1,2,1,2,3,1,6,0.86
2005/06,Spring,7.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,6.0,0.86
2006/07,Summer,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,0.6
2006/07,Fall,5,3,2,2,1,1,2,1,3,1,2,1,4,0.8
2006/07,Winter,5,3,2,1,3,2,2,1,2,2,0,0,5,1.0
2006/07,Spring,6.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,0.67
2007/08,Summer,6.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,0.5
2007/08,Fall,6,5,4,3,4,4,4,3,3,2,2,2,4,0.67
2007/08,Winter,6,4,4,4,1,2,2,1,3,4,3,1,5,0.83
2007/08,Spring,6.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,0.83
2008/09,Summer,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,0.5
2008/09,Fall,6,4,4,3,4,2,3,3,4,4,5,2,4,0.67
2008/09,Winter,6,4,4,5,4,2,4,3,2,3,2,2,4,0.67
2008/09,Spring,6.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
2009/10,Summer,6.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,0.5
2009/10,Fall,6,5,4,3,3,2,4,4,4,4,4,2,4,0.67
2009/10,Winter,12,10,8,8,7,6,6,7,7,6,7,6,6,0.5
2009/10,Spring,14.0,9.0,8.0,10.0,8.0,8.0,5.0,5.0,7.0,7.0,5.0,5.0,9.0,0.64
2010/11,Summer,12.0,9.0,8.0,6.0,8.0,5.0,6.0,8.0,8.0,8.0,9.0,5.0,7.0,0.58
2010/11,Fall,10,8,6,4,2,2,2,2,3,5,4,2,8,0.8
2010/11,Winter,10,6,5,3,3,1,2,1,2,2,3,1,9,0.9
2010/11,Spring,16.0,11.0,9.0,12.0,5.0,6.0,7.0,9.0,7.0,9.0,6.0,5.0,11.0,0.69
2011/12,Summer,16.0,11.0,12.0,8.0,6.0,5.0,10.0,8.0,7.0,11.0,11.0,5.0,11.0,0.69
2011/12,Fall,19,16,7,8,8,9,10,6,9,10,10,6,13,0.68
2011/12,Winter,19,12,13,9,9,9,7,6,4,8,7,4,15,0.79
