year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,10.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,2.0,8.0,0.8
2000/01,Fall,10,3,1,2,4,3,4,5,5,5,5,1,9,0.9
2000/01,Winter,10,1,1,2,3,3,3,3,3,4,5,1,9,0.9
2000/01,Spring,10.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0,9.0,0.9
2001/02,Summer,10.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,8.0,0.8
2001/02,Fall,13,4,5,5,6,6,5,5,6,6,9,4,9,0.69
2001/02,Winter,13,5,6,6,7,7,6,6,7,7,8,5,8,0.62
2001/02,Spring,13.0,6.0,7.0,8.0,7.0,7.0,9.0,8.0,8.0,9.0,10.0,6.0,7.0,0.54
2002/03,Summer,15.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,0.53
2002/03,Fall,12,7,6,5,6,6,6,5,5,5,7,5,7,0.58
2002/03,Winter,12,7,7,6,6,4,4,4,4,4,7,4,8,0.67
2002/03,Spring,15.0,10.0,9.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,9.0,0.6
2003/04,Summer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.25
2003/04,Fall,7,5,5,4,3,4,3,3,3,3,2,2,5,0.71
2003/04,Winter,7,5,4,3,3,2,2,2,3,3,2,2,5,0.71
2003/04,Spring,7.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,0.43
2004/05,Summer,11.0,7.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,0.55
2004/05,Fall,12,7,5,4,3,3,5,3,4,4,5,3,9,0.75
2004/05,Winter,12,7,7,4,3,3,3,3,3,3,3,3,9,0.75
2004/05,Spring,14.0,9.0,9.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,5.0,9.0,0.64
2005/06,Summer,14.0,10.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,7.0,7.0,0.5
2005/06,Fall,15,10,9,7,5,5,4,5,6,4,6,4,11,0.73
2005/06,Winter,15,10,10,8,7,8,7,8,7,6,8,6,9,0.6
