year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,349.0,102.0,81.0,46.0,31.0,45.0,50.0,57.0,77.0,109.0,140.0,31.0,318.0,0.91
2000/01,Fall,722,32,10,3,2,3,0,1,17,23,66,0,722,1.0
2000/01,Winter,722,9,3,3,3,2,1,1,9,35,66,1,721,1.0
2000/01,Spring,722.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,11.0,23.0,51.0,0.0,722.0,1.0
2001/02,Summer,722.0,384.0,310.0,220.0,188.0,224.0,252.0,258.0,289.0,331.0,396.0,188.0,534.0,0.74
2001/02,Fall,721,32,3,0,0,0,0,1,19,27,65,0,721,1.0
2001/02,Winter,721,22,7,1,1,1,2,1,19,26,78,1,720,1.0
2001/02,Spring,721.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,13.0,44.0,0.0,721.0,1.0
2002/03,Summer,721.0,356.0,230.0,150.0,75.0,70.0,132.0,130.0,156.0,206.0,283.0,70.0,651.0,0.9
2002/03,Fall,716,24,7,1,0,0,3,2,16,28,59,0,716,1.0
2002/03,Winter,716,11,3,1,0,0,2,3,8,23,63,0,716,1.0
2002/03,Spring,716.0,18.0,1.0,0.0,1.0,0.0,0.0,2.0,14.0,24.0,49.0,0.0,716.0,1.0
2003/04,Summer,604.0,570.0,555.0,512.0,458.0,441.0,465.0,483.0,505.0,518.0,533.0,441.0,163.0,0.27
2003/04,Fall,603,15,6,5,4,4,2,4,6,19,32,2,601,1.0
2003/04,Winter,603,7,0,0,0,0,5,6,10,20,38,0,603,1.0
2003/04,Spring,603.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,30.0,0.0,603.0,1.0
2004/05,Summer,603.0,529.0,521.0,480.0,453.0,441.0,442.0,445.0,461.0,477.0,496.0,441.0,162.0,0.27
2004/05,Fall,603,33,4,0,0,0,0,0,11,23,46,0,603,1.0
