year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,5,4,4,3,4,4,3,3,3,3,4,3,2,0.4
2000/01,Fall,5,4,3,4,3,3,3,3,3,4,4,3,2,0.4
2000/01,Winter,5,4,3,4,2,2,3,3,4,2,4,2,3,0.6
2000/01,Spring,5,4,4,4,3,3,2,2,2,3,2,2,3,0.6
2001/02,Summer,5,4,4,4,3,4,3,3,3,3,4,3,2,0.4
2001/02,Fall,5,4,4,3,3,3,3,3,3,3,4,3,2,0.4
2001/02,Winter,5,4,3,3,3,2,3,3,3,4,3,2,3,0.6
2001/02,Spring,5,4,3,3,3,3,3,4,4,3,3,3,2,0.4
2002/03,Summer,5,5,4,4,3,3,3,2,3,4,4,2,3,0.6
2002/03,Fall,7,6,5,4,4,4,4,5,5,6,5,4,3,0.43
2002/03,Winter,7,5,6,5,5,4,5,5,5,4,4,4,3,0.43
2002/03,Spring,7,5,6,5,5,5,4,4,5,4,5,4,3,0.43
2003/04,Summer,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2003/04,Fall,2,2,2,2,0,1,0,0,1,1,1,0,2,1.0
2003/04,Winter,2,1,1,1,1,1,1,0,1,1,1,0,2,1.0
2003/04,Spring,2,2,1,1,1,1,1,0,1,1,1,0,2,1.0
2004/05,Summer,2,1,1,1,1,1,1,1,1,1,2,1,1,0.5
2004/05,Fall,3,2,1,1,1,2,1,1,1,1,1,1,2,0.67
2004/05,Winter,3,2,1,2,1,1,1,1,1,2,2,1,2,0.67
2004/05,Spring,3,2,2,1,1,2,1,1,1,1,1,1,2,0.67
2005/06,Summer,3,2,2,1,1,1,1,2,2,2,2,1,2,0.67
2005/06,Fall,3,2,2,1,1,1,1,1,1,2,2,1,2,0.67
2005/06,Winter,3,2,1,1,1,1,0,1,1,1,2,0,3,1.0
2005/06,Spring,3,1,2,2,1,1,1,0,0,2,2,0,3,1.0
2008/09,Summer,4,2,2,2,2,1,1,2,2,2,2,1,3,0.75
2008/09,Fall,4,3,3,3,3,3,3,2,3,2,2,2,2,0.5
2008/09,Winter,4,4,3,2,2,3,3,3,3,3,3,2,2,0.5
2008/09,Spring,4,4,3,2,2,3,3,3,3,3,3,2,2,0.5
2009/10,Summer,4,2,3,3,3,3,2,2,3,3,3,2,2,0.5
2009/10,Fall,4,3,3,2,2,2,3,3,3,3,3,2,2,0.5
2009/10,Winter,4,3,3,3,3,3,2,3,2,3,3,2,2,0.5
2009/10,Spring,4,4,3,4,3,3,3,2,2,2,2,2,2,0.5
2010/11,Summer,4,3,2,3,3,2,2,3,3,3,3,2,2,0.5
2010/11,Fall,4,3,3,2,2,2,3,3,2,2,3,2,2,0.5
2010/11,Winter,4,3,3,2,2,2,2,3,2,2,3,2,2,0.5
2010/11,Spring,4,3,3,2,2,3,2,1,1,2,3,1,3,0.75
2011/12,Summer,7,5,4,2,4,4,4,5,4,4,5,2,5,0.71
2011/12,Fall,7,4,4,3,2,3,3,3,2,2,4,2,5,0.71
2011/12,Winter,7,4,4,3,3,3,2,2,2,2,3,2,5,0.71
2011/12,Spring,7,2,2,3,1,2,2,2,1,1,1,1,6,0.86
2012/13,Summer,7,4,4,4,4,4,4,2,4,4,5,2,5,0.71
2012/13,Fall,7,5,5,4,3,4,4,4,3,3,3,3,4,0.57
2012/13,Winter,7,4,4,2,4,4,4,4,4,3,3,2,5,0.71
2012/13,Spring,7,3,3,3,4,3,3,2,3,2,2,2,5,0.71
2013/14,Summer,7,5,3,3,4,5,4,3,3,3,3,3,4,0.57
2013/14,Fall,7,3,2,3,2,2,2,2,3,3,3,2,5,0.71
2013/14,Winter,7,5,5,4,3,2,3,4,4,4,3,2,5,0.71
2013/14,Spring,7,3,2,3,3,5,4,3,1,1,2,1,6,0.86
2014/15,Summer,7,3,4,4,4,3,4,4,3,4,3,3,4,0.57
2014/15,Fall,7,3,2,1,2,3,4,4,3,4,4,1,6,0.86
2014/15,Winter,7,5,5,4,3,4,5,4,3,3,3,3,4,0.57
2014/15,Spring,7,4,3,3,4,4,4,4,3,4,4,3,4,0.57
