year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,0.0,0.0,#DIV/0!
2000/01,Fall,10,0,0,0,0,0,0,0,0,2,3,0,10,100%
2000/01,Winter,17,6,8,8,9,10,8,11,10,8,6,6,11,65%
2000/01,Spring,17.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,5.0,5.0,5.0,12.0,0.71
2001/02,Summer,17.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,7.0,7.0,7.0,10.0,0.59
2001/02,Fall,17,7,9,9,11,12,10,9,10,8,8,7,10,59%
2001/02,Winter,17,7,6,8,9,8,8,8,7,6,4,4,13,76%
2001/02,Spring,17.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,6.0,5.0,5.0,12.0,0.71
2002/03,Summer,17.0,6.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,6.0,6.0,11.0,0.65
2002/03,Fall,17,5,6,7,8,8,7,6,5,6,5,5,12,71%
2002/03,Winter,17,6,8,9,9,10,8,8,8,5,6,5,12,71%
2002/03,Spring,17.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,6.0,6.0,11.0,0.65
2003/04,Summer,16.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,11.0,12.0,11.0,9.0,7.0,0.44
2003/04,Fall,16,7,7,8,8,9,8,9,9,8,8,7,9,56%
2003/04,Winter,23,14,15,14,13,14,14,15,15,16,16,13,10,43%
2003/04,Spring,23.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,15.0,8.0,0.35
2004/05,Summer,19.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,14.0,5.0,0.26
2004/05,Fall,19,11,12,11,12,11,11,12,13,12,13,11,8,42%
2004/05,Winter,19,13,11,11,12,13,14,13,13,13,14,11,8,42%
2004/05,Spring,19.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,13.0,14.0,14.0,13.0,6.0,0.32
2005/06,Summer,19.0,11.0,10.0,12.0,10.0,10.0,13.0,12.0,12.0,13.0,12.0,10.0,9.0,0.47
2005/06,Fall,19,10,10,10,10,12,10,13,13,12,12,10,9,47%
2005/06,Winter,19,11,11,11,11,11,9,12,13,13,11,9,10,53%
2005/06,Spring,21.0,7.0,8.0,7.0,7.0,7.0,6.0,11.0,11.0,11.0,10.0,6.0,15.0,0.71
2006/07,Summer,18.0,7.0,8.0,8.0,9.0,8.0,8.0,12.0,12.0,11.0,11.0,7.0,11.0,0.61
2006/07,Fall,18,9,8,7,7,7,7,10,11,12,13,7,11,61%
2006/07,Winter,18,10,11,11,10,10,9,11,11,12,12,9,9,50%
2006/07,Spring,18.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,8.0,10.0,0.56
2007/08,Summer,18.0,12.0,13.0,13.0,12.0,12.0,10.0,14.0,13.0,14.0,14.0,10.0,8.0,0.44
2007/08,Fall,28,21,21,20,22,20,22,22,22,24,22,20,8,29%
2007/08,Winter,28,21,23,21,20,20,21,23,19,22,21,19,9,32%
2007/08,Spring,28.0,23.0,20.0,20.0,19.0,19.0,19.0,19.0,20.0,19.0,17.0,17.0,11.0,0.39
2008/09,Summer,28.0,19.0,19.0,18.0,19.0,20.0,21.0,20.0,20.0,20.0,19.0,18.0,10.0,0.36
2008/09,Fall,30,20,19,19,20,18,17,19,20,20,20,17,13,43%
2008/09,Winter,30,16,19,18,19,17,17,18,18,18,18,16,14,47%
2008/09,Spring,30.0,19.0,21.0,20.0,22.0,19.0,19.0,21.0,18.0,19.0,20.0,18.0,12.0,0.4
2009/10,Summer,30.0,21.0,21.0,21.0,21.0,21.0,20.0,22.0,23.0,21.0,20.0,20.0,10.0,0.33
2009/10,Fall,18,10,12,11,10,10,8,8,10,9,10,8,10,56%
2009/10,Winter,18,7,7,7,8,9,8,8,8,7,7,7,11,61%
2009/10,Spring,18.0,9.0,9.0,9.0,8.0,8.0,6.0,9.0,9.0,6.0,7.0,6.0,12.0,0.67
2010/11,Summer,18.0,10.0,9.0,10.0,10.0,7.0,8.0,9.0,10.0,10.0,8.0,7.0,11.0,0.61
2010/11,Fall,17,7,9,8,7,6,6,8,8,10,9,6,11,65%
2010/11,Winter,17,9,8,7,7,6,4,6,5,7,5,4,13,76%
2010/11,Spring,18.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,0.56
2011/12,Summer,18.0,9.0,7.0,8.0,9.0,11.0,10.0,11.0,9.0,8.0,8.0,7.0,11.0,0.61
2011/12,Fall,18,8,8,9,9,10,10,8,9,5,8,5,13,72%
2011/12,Winter,18,9,10,9,8,8,8,8,10,7,7,7,11,61%
2011/12,Spring,19.0,8.0,7.0,11.0,6.0,7.0,9.0,9.0,7.0,8.0,10.0,6.0,13.0,0.68
2012/13,Summer,19.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,12.0,0.63
2012/13,Fall,19,8,7,8,8,9,12,10,12,10,11,7,12,63%
2012/13,Winter,19,9,9,11,10,10,8,7,10,9,8,7,12,63%
2012/13,Spring,19.0,9.0,8.0,8.0,10.0,10.0,7.0,8.0,7.0,7.0,10.0,7.0,12.0,0.63
2013/14,Summer,27.0,16.0,16.0,14.0,16.0,17.0,15.0,14.0,15.0,15.0,14.0,14.0,13.0,0.48
2013/14,Fall,27,14,15,16,13,14,10,12,11,12,13,10,17,63%
2013/14,Winter,27,12,14,14,14,14,10,9,12,12,12,9,18,67%
2013/14,Spring,27.0,14.0,14.0,14.0,15.0,13.0,14.0,14.0,10.0,14.0,13.0,10.0,17.0,0.63
2014/15,Summer,27,12,12,13,15,13,14,14,12,12,12,12,15,0.56
2014/15,Fall,26,12,11,13,13,11,9,10,10,10,13,9,17,0.65
2014/15,Winter,24,10,15,12,15,12,9,12,14,13,15,9,15,0.63
2014/15,Spring,24,8,7,9,9,10,11,9,9,9,8,7,17,0.71
