year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,11.0,6.0,5.0,4.0,4.0,4.0,2.0,3.0,6.0,4.0,4.0,2.0,9.0,0.82
2000/01,Fall,161,147,144,135,120,109,105,107,113,119,110,105,56,0.35
2000/01,Winter,107,92,84,67,56,59,61,64,64,71,58,56,51,0.48
2000/01,Spring,107.0,72.0,64.0,52.0,34.0,23.0,20.0,28.0,33.0,47.0,39.0,20.0,87.0,0.81
2001/02,Summer,107.0,93.0,89.0,75.0,66.0,71.0,72.0,75.0,82.0,89.0,90.0,66.0,41.0,0.38
2001/02,Fall,107,86,74,46,31,30,34,36,46,47,36,30,77,0.72
2001/02,Winter,107,75,51,30,21,16,24,21,35,33,21,16,91,0.85
2001/02,Spring,107.0,75.0,63.0,36.0,20.0,19.0,16.0,18.0,29.0,29.0,15.0,15.0,92.0,0.86
2002/03,Summer,105.0,80.0,72.0,57.0,41.0,38.0,45.0,44.0,51.0,58.0,62.0,38.0,67.0,0.64
2002/03,Fall,105,84,58,32,24,21,27,25,40,44,39,21,84,0.8
2002/03,Winter,105,61,38,24,13,14,13,12,19,23,16,12,93,0.89
2002/03,Spring,105.0,83.0,59.0,37.0,22.0,18.0,12.0,12.0,28.0,36.0,32.0,12.0,93.0,0.89
2003/04,Summer,76.0,70.0,67.0,60.0,51.0,47.0,54.0,57.0,59.0,58.0,62.0,47.0,29.0,0.38
2003/04,Fall,76,62,57,49,48,47,43,44,44,47,45,43,33,0.43
2003/04,Winter,76,60,56,41,32,34,36,35,37,37,29,29,47,0.62
2003/04,Spring,76.0,58.0,51.0,37.0,30.0,27.0,31.0,34.0,36.0,41.0,39.0,27.0,49.0,0.64
2004/05,Summer,76.0,65.0,64.0,57.0,51.0,56.0,54.0,55.0,56.0,57.0,59.0,51.0,25.0,0.33
2004/05,Fall,76,55,50,40,30,27,31,30,33,35,32,27,49,0.64
2004/05,Winter,76,63,54,41,33,25,31,28,32,37,34,25,51,0.67
2004/05,Spring,76.0,61.0,55.0,40.0,30.0,35.0,32.0,34.0,36.0,39.0,34.0,30.0,46.0,0.61
2005/06,Summer,54.0,52.0,52.0,48.0,46.0,43.0,44.0,45.0,47.0,46.0,50.0,43.0,11.0,0.2
2005/06,Fall,54,47,42,32,26,26,28,32,34,34,34,26,28,0.52
2005/06,Winter,54,45,40,32,27,23,25,24,25,22,20,20,34,0.63
2005/06,Spring,54.0,49.0,41.0,31.0,23.0,18.0,21.0,21.0,24.0,31.0,33.0,18.0,36.0,0.67
2006/07,Summer,54.0,46.0,43.0,38.0,35.0,36.0,36.0,35.0,37.0,37.0,38.0,35.0,19.0,0.35
2006/07,Fall,107,99,92,83,76,77,70,68,76,78,83,68,39,0.36
2006/07,Winter,107,92,91,81,72,64,69,70,71,78,73,64,43,0.4
