year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2000/01,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2000/01,Winter,6,6,6,6,6,5,6,6,6,6,6,5,1,0.17
2000/01,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2001/02,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2001/02,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2001/02,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2001/02,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2002/03,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2002/03,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2002/03,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2002/03,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2003/04,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2003/04,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2003/04,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2003/04,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2004/05,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2004/05,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2004/05,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2004/05,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2005/06,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2005/06,Fall,6,6,6,5,6,6,6,6,6,6,6,5,1,0.17
2005/06,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2005/06,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2006/07,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2006/07,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2006/07,Winter,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2006/07,Spring,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,1.0,0.17
2007/08,Summer,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,0.33
2007/08,Fall,6,5,4,5,5,5,5,5,5,5,6,4,2,0.33
2007/08,Winter,6,6,6,5,6,6,6,6,6,5,5,5,1,0.17
2007/08,Spring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,1.0,0.17
2008/09,Summer,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0
2008/09,Fall,6,6,6,6,6,6,6,6,6,6,6,6,0,0.0
2008/09,Winter,6,6,5,5,5,5,5,5,6,6,6,5,1,0.17
2008/09,Spring,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,2.0,0.33
2009/10,Summer,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.17
2009/10,Fall,6,6,5,5,5,5,5,5,5,5,6,5,1,0.17
2009/10,Winter,6,6,5,5,5,5,5,5,5,5,5,5,1,0.17
2009/10,Spring,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,0.33
2010/11,Summer,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.17
2010/11,Fall,6,6,6,5,5,5,5,5,5,5,5,5,1,0.17
2010/11,Winter,6,6,5,4,4,4,4,4,4,4,4,4,2,0.33
2010/11,Spring,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,0.67
2011/12,Summer,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,0.33
2011/12,Fall,6,6,5,5,5,5,4,3,4,4,3,3,3,0.5
2011/12,Winter,6,6,5,4,3,3,3,3,3,3,4,3,3,0.5
2011/12,Spring,6.0,6.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,0.67
2012/13,Summer,6.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,0.5
2012/13,Fall,6,6,6,5,5,5,5,5,5,5,5,5,1,0.17
2012/13,Winter,6,5,5,3,3,3,5,5,5,5,5,3,3,0.5
2012/13,Spring,6.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,0.5
2013/14,Summer,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,2.0,0.33
2013/14,Fall,6,5,5,5,5,4,4,5,5,5,5,4,2,0.33
2013/14,Winter,6,5,4,3,3,3,3,3,3,3,4,3,3,0.5
2013/14,Spring,6.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,0.5
2014/15,Summer,6,6,5,4,3,3,3,4,3,3,3,3,3,0.5
