year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,161.0,135.0,106.0,69.0,50.0,50.0,55.0,48.0,45.0,49.0,72.0,45.0,116.0,0.72
2000/01,Fall,161,124,86,52,41,37,43,40,42,47,66,37,124,0.77
2000/01,Winter,161,133,90,54,39,30,33,30,31,43,64,30,131,0.81
2000/01,Spring,164.0,131.0,96.0,67.0,46.0,42.0,46.0,39.0,43.0,46.0,60.0,39.0,125.0,0.76
2001/02,Summer,164.0,141.0,109.0,75.0,57.0,52.0,56.0,55.0,53.0,66.0,92.0,52.0,112.0,0.68
2001/02,Fall,164,137,99,64,47,42,44,41,36,45,66,36,128,0.78
2001/02,Winter,164,128,89,56,34,37,42,39,43,52,70,34,130,0.79
2001/02,Spring,164.0,130.0,92.0,58.0,42.0,41.0,43.0,36.0,41.0,50.0,68.0,36.0,128.0,0.78
2002/03,Summer,166.0,132.0,97.0,64.0,43.0,40.0,41.0,36.0,35.0,43.0,71.0,35.0,131.0,0.79
2002/03,Fall,166,141,101,64,45,43,44,42,41,60,79,41,125,0.75
2002/03,Winter,166,139,98,61,36,39,45,33,38,48,75,33,133,0.8
2002/03,Spring,176.0,144.0,113.0,72.0,58.0,53.0,59.0,54.0,55.0,62.0,87.0,53.0,123.0,0.7
2003/04,Summer,176.0,150.0,113.0,78.0,61.0,57.0,62.0,54.0,54.0,63.0,88.0,54.0,122.0,0.69
2003/04,Fall,176,137,99,71,59,55,55,48,56,66,84,48,128,0.73
2003/04,Winter,176,150,107,81,68,64,65,54,60,68,92,54,122,0.69
2003/04,Spring,176.0,140.0,104.0,65.0,50.0,54.0,58.0,49.0,52.0,57.0,81.0,49.0,127.0,0.72
2004/05,Summer,184.0,145.0,109.0,71.0,52.0,46.0,52.0,51.0,47.0,65.0,86.0,46.0,138.0,0.75
2004/05,Fall,189,160,121,80,65,68,71,68,72,81,106,65,124,0.66
2004/05,Winter,189,159,131,92,76,72,78,71,77,88,110,71,118,0.62
2004/05,Spring,189.0,162.0,133.0,96.0,78.0,76.0,79.0,74.0,74.0,88.0,112.0,74.0,115.0,0.61
2005/06,Summer,189.0,161.0,123.0,88.0,64.0,67.0,73.0,67.0,66.0,79.0,106.0,64.0,125.0,0.66
2005/06,Fall,189,157,120,81,63,65,68,61,64,77,99,61,128,0.68
2005/06,Winter,189,167,129,93,71,70,70,67,66,77,103,66,123,0.65
2005/06,Spring,187.0,156.0,124.0,88.0,72.0,65.0,61.0,60.0,62.0,73.0,87.0,60.0,127.0,0.68
2006/07,Summer,187.0,159.0,121.0,89.0,64.0,60.0,67.0,61.0,63.0,79.0,99.0,60.0,127.0,0.68
2006/07,Fall,187,137,91,56,35,38,43,37,37,51,73,35,152,0.81
2006/07,Winter,187,145,106,79,59,54,52,48,52,62,82,48,139,0.74
2006/07,Spring,188.0,165.0,140.0,99.0,75.0,75.0,75.0,74.0,76.0,91.0,108.0,74.0,114.0,0.61
2007/08,Summer,188.0,163.0,132.0,99.0,79.0,77.0,82.0,83.0,86.0,96.0,117.0,77.0,111.0,0.59
2007/08,Fall,188,152,114,90,72,68,76,75,77,90,110,68,120,0.64
2007/08,Winter,188,162,133,88,74,73,72,70,77,91,110,70,118,0.63
2007/08,Spring,188.0,167.0,134.0,103.0,85.0,87.0,89.0,84.0,85.0,94.0,117.0,84.0,104.0,0.55
2008/09,Summer,188.0,169.0,146.0,113.0,99.0,91.0,93.0,93.0,94.0,103.0,121.0,91.0,97.0,0.52
2008/09,Fall,188,162,140,107,100,94,95,97,102,106,122,94,94,0.5
2008/09,Winter,188,165,142,106,94,89,90,85,87,96,121,85,103,0.55
2008/09,Spring,188.0,171.0,152.0,118.0,101.0,100.0,92.0,91.0,90.0,96.0,109.0,90.0,98.0,0.52
2009/10,Summer,188.0,162.0,135.0,108.0,92.0,89.0,89.0,91.0,90.0,94.0,118.0,89.0,99.0,0.53
2009/10,Fall,186,170,145,111,94,82,85,81,85,95,114,81,105,0.56
2009/10,Winter,186,168,144,114,95,92,88,85,91,101,120,85,101,0.54
2009/10,Spring,186.0,171.0,150.0,117.0,98.0,93.0,95.0,92.0,91.0,103.0,118.0,91.0,95.0,0.51
2010/11,Summer,170.0,150.0,132.0,104.0,94.0,82.0,88.0,80.0,79.0,89.0,113.0,79.0,91.0,0.54
2010/11,Fall,168,141,123,89,77,70,69,66,67,80,105,66,102,0.61
2010/11,Winter,165,136,104,72,43,52,55,52,57,65,98,43,122,0.74
2010/11,Spring,164.0,138.0,124.0,92.0,76.0,73.0,77.0,77.0,79.0,80.0,97.0,73.0,91.0,0.55
2011/12,Summer,158.0,110.0,90.0,54.0,47.0,37.0,39.0,35.0,39.0,49.0,75.0,35.0,123.0,0.78
2011/12,Fall,158,126,101,59,44,38,38,33,29,40,70,29,129,0.82
2011/12,Winter,153,125,99,62,45,47,43,43,46,54,81,43,110,0.72
2011/12,Spring,153.0,133.0,103.0,77.0,52.0,42.0,43.0,40.0,41.0,54.0,79.0,40.0,113.0,0.74
2012/13,Summer,169.0,141.0,115.0,86.0,72.0,57.0,73.0,61.0,56.0,78.0,89.0,56.0,113.0,0.67
2012/13,Fall,185,157,134,104,83,79,88,87,87,91,111,79,106,0.57
2012/13,Winter,185,150,127,93,75,69,73,68,70,87,103,68,117,0.63
2012/13,Spring,185.0,156.0,132.0,91.0,70.0,62.0,73.0,71.0,71.0,78.0,103.0,62.0,123.0,0.66
2013/14,Summer,185.0,163.0,139.0,104.0,93.0,87.0,96.0,89.0,90.0,98.0,121.0,87.0,98.0,0.53
2013/14,Fall,185,158,139,111,89,88,87,77,76,90,109,76,109,0.59
2013/14,Winter,185,153,143,100,77,72,72,65,69,84,107,65,120,0.65
2013/14,Spring,185.0,157.0,139.0,105.0,90.0,85.0,82.0,72.0,75.0,86.0,105.0,72.0,113.0,0.61
2014/15,185,156,139,112,101,95,89,90,88,101,120,88,97,0.52
2014/15,185,146,125,105,86,78,74,66,66,77,103,66,119,0.64
2014/15,185,153,132,105,91,88,82,77,79,99,108,77,108,0.58
2014/15,185,154,128,95,85,83,78,74,79,94,111,74,111,0.6
