year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2006/07,Summer,1,1,1,0,0,0,1,0,0,0,1,0,1,100%
2006/07,Fall,1,0,0,0,0,0,0,0,0,1,1,0,1,100%
2006/07,Winter,1,0,0,0,0,0,0,0,0,1,1,0,1,100%
2006/07,Spring,1,0,0,0,0,0,0,0,0,1,1,0,1,100%
2007/08,Summer,1,0,0,0,0,0,0,0,0,1,1,0,1,100%
2007/08,Fall,1,0,0,0,0,0,0,0,0,1,1,0,1,100%
2007/08,Winter,1,0,0,0,0,0,0,0,0,0,0,0,1,100%
2007/08,Spring,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2008/09,Summer,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2008/09,Fall,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2008/09,Winter,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2008/09,Spring,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2013/14,Summer,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2013/14,Fall,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2013/14,Winter,1,1,1,1,1,1,1,1,1,1,1,1,0,0%
2013/14,Spring,1,1,1,1,1,1,0,0,1,1,1,0,1,100%
2014/15,Summer,2,2,2,2,2,2,2,2,2,2,2,2,0,0.0
2014/15,Fall,2,2,2,2,2,2,2,2,2,2,2,2,0,0.0
2014/15,Winter,2,2,2,2,2,2,2,2,2,2,2,2,0,0.0
2014/15,Spring,2,2,2,2,2,2,2,2,2,2,2,2,0,0.0
