year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2002/03,Summer,2,2,2,2,2,2,2,2,2,1,2,1,1,0.5
2002/03,Fall,2,2,2,2,2,2,2,2,1,2,2,1,1,0.5
2002/03,Winter,2,2,2,1,1,1,2,1,1,1,2,1,1,0.5
2002/03,Spring,2,2,2,2,2,2,2,2,1,1,2,1,1,0.5
2003/04,Summer,2,2,2,2,2,2,1,2,1,1,2,1,1,0.5
2003/04,Fall,2,2,2,1,1,2,1,1,1,2,1,1,1,0.5
2003/04,Winter,2,1,1,2,2,2,2,1,1,2,2,1,1,0.5
2003/04,Spring,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2004/05,Summer,2,2,1,1,1,1,1,1,1,1,1,1,1,0.5
2004/05,Fall,2,1,1,1,0,1,1,1,1,1,1,0,2,1.0
2004/05,Winter,2,2,1,1,1,1,1,1,1,1,2,1,1,0.5
2004/05,Spring,2,2,2,1,1,1,0,0,1,1,1,0,2,1.0
2005/06,Summer,2,2,1,1,1,1,1,1,1,1,2,1,1,0.5
2005/06,Fall,2,2,1,1,2,2,2,2,2,2,1,1,1,0.5
2005/06,Winter,2,2,2,1,1,1,0,1,1,1,1,0,2,1.0
2005/06,Spring,2,2,2,1,1,1,1,1,1,1,1,1,1,0.5
2006/07,Summer,2,2,1,2,1,1,1,1,1,1,1,1,1,0.5
2006/07,Fall,2,2,1,1,0,1,1,1,1,1,1,0,2,1.0
2006/07,Winter,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2006/07,Spring,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2007/08,Summer,2,2,2,1,1,1,1,1,1,1,1,1,1,0.5
2007/08,Fall,2,1,0,1,1,1,1,0,1,1,1,0,2,1.0
2007/08,Winter,2,2,2,1,1,1,1,1,1,2,2,1,1,0.5
2007/08,Spring,2,1,1,1,1,1,1,1,1,2,2,1,1,0.5
2008/09,Summer,2,2,1,1,1,1,1,1,1,1,1,1,1,0.5
2008/09,Fall,2,2,2,1,2,1,1,1,1,2,2,1,1,0.5
2008/09,Winter,2,2,2,1,1,0,1,1,1,1,1,0,2,1.0
2008/09,Spring,4,3,4,2,3,2,3,3,3,4,4,2,2,0.5
2009/10,Summer,4,4,4,3,3,3,3,3,3,3,3,3,1,0.25
2009/10,Fall,3,3,3,2,2,1,2,2,2,2,2,1,2,0.67
2009/10,Winter,3,2,3,2,2,2,2,1,2,2,2,1,2,0.67
2009/10,Spring,3,3,2,1,1,1,1,2,2,2,2,1,2,0.67
2010/11,Summer,3,2,2,2,2,1,1,2,1,2,2,1,2,0.67
2010/11,Fall,3,2,2,2,2,2,2,2,2,2,2,2,1,0.33
2010/11,Winter,3,3,3,3,2,2,2,2,2,2,2,2,1,0.33
2010/11,Spring,3,3,3,3,2,2,3,3,3,1,3,1,2,0.67
2011/12,Summer,3,1,2,2,3,2,2,2,3,3,3,1,2,0.67
2011/12,Fall,3,3,3,2,2,2,2,1,0,0,0,0,3,1.0
2011/12,Winter,3,2,2,3,2,1,2,2,3,3,2,1,2,0.67
2011/12,Spring,3,3,3,2,2,2,3,3,2,3,3,2,1,0.33
2012/13,Summer,3,2,2,2,2,1,3,2,2,2,3,1,2,0.67
2012/13,Fall,3,3,2,3,3,2,2,2,2,2,3,2,1,0.33
2012/13,Winter,3,1,1,1,2,1,1,1,1,2,1,1,2,0.67
2012/13,Spring,3,3,3,2,1,2,3,2,2,2,2,1,2,0.67
2013/14,Summer,3,3,2,2,2,1,1,2,2,3,3,1,2,0.67
2013/14,Fall,3,3,2,1,2,3,2,2,1,2,2,1,2,0.67
2013/14,Winter,3,3,2,3,2,1,2,2,1,1,1,1,2,0.67
2013/14,Spring,3,3,2,1,1,2,1,1,2,2,2,1,2,0.67
2014/15,Summer,3,3,3,2,2,2,1,3,3,3,2,1,2,0.67
2014/15,Fall,3,3,2,3,3,3,2,2,2,1,2,1,2,0.67
2014/15,Winter,3,2,1,3,3,2,2,2,2,2,2,1,2,0.67
2014/15,Spring,3,2,1,1,2,2,3,3,2,2,2,1,2,0.67
