year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,7.0,7.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,0.43
2000/01,Fall,7,7,7,5,5,5,5,5,5,5,7,5,2,0.29
2000/01,Winter,9,6,5,4,3,3,3,3,4,4,4,3,6,0.67
2000/01,Spring,7.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0.57
2001/02,Summer,8.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,0.5
2001/02,Fall,8,8,7,6,6,6,6,6,6,6,6,6,2,0.25
2001/02,Winter,8,8,8,7,6,7,7,6,6,6,7,6,2,0.25
2001/02,Spring,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,0.38
2002/03,Summer,10.0,7.0,7.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,6.0,3.0,7.0,0.7
2002/03,Fall,10,9,9,6,6,6,5,5,5,5,7,5,5,0.5
2002/03,Winter,10,10,10,8,9,7,6,6,7,7,7,6,4,0.4
2002/03,Spring,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,2.0,0.2
2003/04,Summer,10.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,9.0,6.0,4.0,0.4
2003/04,Fall,10,8,7,8,8,6,5,6,6,5,7,5,5,0.5
2003/04,Winter,10,9,9,8,8,7,6,5,6,6,6,5,5,0.5
2003/04,Spring,10.0,9.0,10.0,9.0,9.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,4.0,0.4
2004/05,Summer,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,2.0,0.2
2004/05,Fall,9,8,8,8,7,7,6,7,7,8,9,6,3,0.33
2004/05,Winter,10,10,9,8,8,7,7,8,8,9,9,7,3,0.3
2004/05,Spring,10.0,10.0,10.0,9.0,9.0,9.0,7.0,7.0,5.0,7.0,8.0,5.0,5.0,0.5
2005/06,Summer,10.0,10.0,9.0,10.0,10.0,9.0,8.0,7.0,7.0,9.0,9.0,7.0,3.0,0.3
