year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,238.0,161.0,106.0,73.0,55.0,49.0,48.0,50.0,45.0,49.0,88.0,45.0,193.0,0.81
2000/01,Fall,238,157,109,69,44,44,52,51,55,63,99,44,194,0.82
2000/01,Winter,237,140,81,42,19,17,26,25,26,38,64,17,220,0.93
2000/01,Spring,239.0,159.0,100.0,65.0,41.0,37.0,45.0,46.0,50.0,55.0,75.0,37.0,202.0,0.85
2001/02,Summer,243.0,170.0,117.0,75.0,53.0,47.0,46.0,43.0,43.0,58.0,96.0,43.0,200.0,0.82
2001/02,Fall,243,169,103,67,46,50,46,46,43,51,90,43,200,0.82
2001/02,Winter,240,161,95,63,47,44,42,42,41,51,83,41,199,0.83
2001/02,Spring,242.0,161.0,106.0,62.0,47.0,43.0,41.0,41.0,44.0,51.0,90.0,41.0,201.0,0.83
2002/03,Summer,240.0,135.0,75.0,48.0,37.0,32.0,31.0,33.0,39.0,52.0,80.0,31.0,209.0,0.87
2002/03,Fall,240,164,99,63,50,45,44,45,48,63,98,44,196,0.82
2002/03,Winter,246,172,100,64,50,45,48,41,43,60,97,41,205,0.83
2002/03,Spring,246.0,165.0,100.0,65.0,50.0,48.0,51.0,44.0,52.0,71.0,107.0,44.0,202.0,0.82
2003/04,Summer,246.0,165.0,105.0,76.0,59.0,52.0,53.0,50.0,48.0,62.0,90.0,48.0,198.0,0.8
2003/04,Fall,246,158,98,68,56,51,48,47,51,62,89,47,199,0.81
2003/04,Winter,246,170,113,76,61,55,55,57,57,82,116,55,191,0.78
2003/04,Spring,246.0,171.0,123.0,88.0,74.0,65.0,66.0,66.0,77.0,95.0,117.0,65.0,181.0,0.74
2004/05,Summer,246.0,186.0,125.0,87.0,68.0,63.0,68.0,60.0,70.0,88.0,109.0,60.0,186.0,0.76
2004/05,Fall,245,169,122,84,58,58,60,69,75,96,121,58,187,0.76
2004/05,Winter,245,179,129,84,73,63,66,69,75,92,118,63,182,0.74
