year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,208.0,143.0,90.0,55.0,40.0,36.0,38.0,39.0,34.0,39.0,73.0,34.0,174.0,0.84
2000/01,Fall,208,137,90,53,33,29,39,40,42,53,83,29,179,0.86
2000/01,Winter,204,124,69,29,11,9,15,18,18,29,55,9,195,0.96
2000/01,Spring,207.0,141.0,83.0,50.0,28.0,26.0,36.0,35.0,37.0,42.0,61.0,26.0,181.0,0.87
2001/02,Summer,208.0,145.0,94.0,56.0,37.0,36.0,35.0,30.0,30.0,45.0,79.0,30.0,178.0,0.86
2001/02,Fall,208,145,85,49,32,33,31,30,31,41,75,30,178,0.86
2001/02,Winter,208,137,73,43,29,28,26,28,27,38,65,26,182,0.88
2001/02,Spring,208.0,135.0,83.0,44.0,30.0,27.0,24.0,26.0,30.0,36.0,72.0,24.0,184.0,0.88
2002/03,Summer,204.0,113.0,56.0,29.0,20.0,18.0,17.0,17.0,25.0,38.0,64.0,17.0,187.0,0.92
2002/03,Fall,204,139,75,44,31,28,28,28,31,47,81,28,176,0.86
2002/03,Winter,204,142,76,44,30,27,30,25,28,43,79,25,179,0.88
2002/03,Spring,204.0,138.0,75.0,43.0,30.0,29.0,33.0,27.0,33.0,52.0,80.0,27.0,177.0,0.87
2003/04,Summer,204.0,138.0,82.0,56.0,42.0,34.0,35.0,32.0,30.0,43.0,68.0,30.0,174.0,0.85
2003/04,Fall,204,127,72,47,34,31,30,27,32,45,68,27,177,0.87
2003/04,Winter,204,141,86,52,40,37,38,39,40,63,93,37,167,0.82
2003/04,Spring,204.0,139.0,93.0,62.0,49.0,47.0,47.0,43.0,53.0,70.0,93.0,43.0,161.0,0.79
2004/05,Summer,205.0,154.0,99.0,64.0,46.0,43.0,48.0,43.0,50.0,66.0,86.0,43.0,162.0,0.79
2004/05,Fall,205,141,95,58,38,38,42,48,54,75,97,38,167,0.81
