year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,7.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0,0.71
2000/01,Fall,7,6,5,5,1,4,4,2,4,4,5,1,6,0.86
2000/01,Winter,7,3,2,3,1,1,3,2,2,3,2,1,6,0.86
2000/01,Spring,8.0,6.0,6.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,7.0,0.88
2001/02,Summer,9.0,8.0,8.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,3.0,6.0,0.67
2001/02,Fall,9,8,5,6,4,4,3,4,2,2,4,2,7,0.78
2001/02,Winter,9,7,6,5,6,4,4,3,4,4,5,3,6,0.67
2001/02,Spring,10.0,8.0,7.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,7.0,0.7
2002/03,Summer,10.0,7.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,0.6
2002/03,Fall,10,7,7,6,7,5,5,5,5,5,5,5,5,0.5
2002/03,Winter,14,9,4,4,4,5,5,3,3,3,4,3,11,0.79
2002/03,Spring,14.0,8.0,7.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,8.0,3.0,11.0,0.79
2003/04,Summer,14.0,9.0,8.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,3.0,11.0,0.79
2003/04,Fall,14,10,9,6,6,6,7,7,6,5,6,5,9,0.64
2003/04,Winter,14,11,8,7,6,5,5,8,6,6,9,5,9,0.64
2003/04,Spring,14.0,10.0,9.0,7.0,7.0,5.0,8.0,8.0,9.0,9.0,9.0,5.0,9.0,0.64
2004/05,Summer,13.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,6.0,7.0,7.0,4.0,9.0,0.69
2004/05,Fall,13,9,9,8,5,5,5,7,8,7,8,5,8,0.62
2004/05,Winter,12,10,9,6,5,6,6,6,7,6,8,5,7,0.58
2004/05,Spring,12.0,8.0,8.0,5.0,3.0,3.0,7.0,5.0,5.0,7.0,7.0,3.0,9.0,0.75
2005/06,Summer,12.0,10.0,8.0,7.0,6.0,5.0,7.0,6.0,6.0,8.0,9.0,5.0,7.0,0.58
2005/06,Fall,12,9,6,4,3,3,5,3,4,5,8,3,9,0.75
2005/06,Winter,12,8,7,6,7,6,6,7,6,7,8,6,6,0.5
2005/06,Spring,12.0,10.0,7.0,5.0,4.0,5.0,6.0,6.0,5.0,8.0,7.0,4.0,8.0,0.67
2006/07,Summer,11.0,8.0,7.0,3.0,4.0,7.0,6.0,3.0,3.0,5.0,6.0,3.0,8.0,0.73
2006/07,Fall,11,7,4,4,5,5,7,5,5,7,6,4,7,0.64
2006/07,Winter,11,6,8,7,5,5,4,5,4,6,7,4,7,0.64
2006/07,Spring,12.0,9.0,6.0,6.0,6.0,5.0,4.0,3.0,4.0,6.0,8.0,3.0,9.0,0.75
2007/08,Summer,12.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,6.0,6.0,2.0,10.0,0.83
2007/08,Fall,12,10,5,4,4,3,3,5,6,5,7,3,9,0.75
2007/08,Winter,12,9,7,7,4,5,5,7,4,5,6,4,8,0.67
2007/08,Spring,12.0,10.0,8.0,5.0,5.0,2.0,5.0,6.0,5.0,7.0,8.0,2.0,10.0,0.83
2008/09,Summer,12.0,7.0,8.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,7.0,0.58
2008/09,Fall,12,7,7,6,3,2,3,5,6,4,6,2,10,0.83
2008/09,Winter,12,9,7,4,3,4,6,5,6,7,7,3,9,0.75
2008/09,Spring,12.0,8.0,7.0,5.0,4.0,5.0,5.0,6.0,7.0,5.0,7.0,4.0,8.0,0.67
2009/10,Summer,12.0,8.0,6.0,6.0,4.0,3.0,6.0,3.0,5.0,4.0,6.0,3.0,9.0,0.75
2009/10,Fall,15,11,10,8,9,8,6,7,8,8,9,6,9,0.6
2009/10,Winter,15,9,8,6,7,5,6,5,7,7,9,5,10,0.67
2009/10,Spring,15.0,11.0,10.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,10.0,7.0,8.0,0.53
2010/11,Summer,12.0,10.0,8.0,8.0,4.0,7.0,6.0,3.0,5.0,6.0,8.0,3.0,9.0,0.75
2010/11,Fall,12,7,7,3,4,5,5,4,6,7,6,3,9,0.75
2010/11,Winter,15,11,9,7,6,7,8,7,9,7,8,6,9,0.6
2010/11,Spring,15.0,12.0,10.0,8.0,10.0,8.0,7.0,8.0,9.0,9.0,10.0,7.0,8.0,0.53
