year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.75
2000/01,Fall,4,3,3,3,2,3,2,2,2,0,1,0,4,1.0
2000/01,Winter,4,3,2,2,1,1,2,1,1,1,1,1,3,0.75
2000/01,Spring,5.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,0.6
2001/02,Summer,6.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,5.0,0.83
2001/02,Fall,6,4,2,2,2,3,3,4,3,2,4,2,4,0.67
2001/02,Winter,6,4,4,4,4,3,3,3,3,2,4,2,4,0.67
2001/02,Spring,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,0.71
2002/03,Summer,7.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,0.57
2002/03,Fall,7,5,6,4,3,4,4,4,4,4,4,3,4,0.57
2002/03,Winter,9,6,5,4,3,3,4,4,3,5,5,3,6,0.67
2002/03,Spring,9.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.56
2003/04,Summer,9.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,0.56
2003/04,Fall,9,8,6,5,5,5,4,5,5,5,6,4,5,0.56
2003/04,Winter,9,5,6,5,4,4,5,4,4,6,6,4,5,0.56
2003/04,Spring,9.0,7.0,7.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,6.0,0.67
2004/05,Summer,9.0,7.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,6.0,0.67
2004/05,Fall,9,6,6,5,4,5,4,5,5,4,5,4,5,0.56
2004/05,Winter,9,6,5,4,5,4,3,4,3,5,5,3,6,0.67
2004/05,Spring,9.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,5.0,0.56
2005/06,Summer,9.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,4.0,0.44
2005/06,Fall,9,6,6,3,3,2,3,3,5,5,5,2,7,0.78
2005/06,Winter,9,6,5,4,5,4,5,4,5,5,5,4,5,0.56
2005/06,Spring,7.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,0.57
2006/07,Summer,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0.4
2006/07,Fall,5,4,3,3,4,3,3,3,4,4,4,3,2,0.4
2006/07,Winter,2,1,1,1,1,0,1,1,1,1,1,0,2,1.0
2006/07,Spring,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.5
2007/08,Summer,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5
2007/08,Fall,3,2,2,2,1,1,1,0,1,1,1,0,3,1.0
2007/08,Winter,4,3,3,2,3,2,2,2,2,2,2,2,2,0.5
2007/08,Spring,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.75
2008/09,Summer,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.75
2008/09,Fall,4,2,2,2,2,2,2,2,2,2,3,2,2,0.5
2008/09,Winter,4,3,3,2,2,2,2,2,2,3,2,2,2,0.5
2008/09,Spring,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,0.75
2009/10,Summer,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.5
2009/10,Fall,4,3,3,2,2,2,2,2,2,3,3,2,2,0.5
2009/10,Winter,4,2,1,2,1,2,2,2,3,2,2,1,3,0.75
2009/10,Spring,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,0.75
2010/11,Summer,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.75
2010/11,Fall,4,1,3,2,2,2,2,1,2,3,2,1,3,0.75
2010/11,Winter,4,4,3,3,2,3,4,3,4,4,4,2,2,0.5
2010/11,Spring,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.25
2011/12,Summer,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,0.75
2011/12,Fall,4,3,3,3,2,3,2,3,3,3,3,2,2,0.5
2011/12,Winter,4,4,3,1,2,2,1,2,3,3,4,1,3,0.75
2011/12,Spring,4.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,0.75
2012/13,Summer,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0.5
2012/13,Fall,4,4,4,3,3,2,2,2,4,3,4,2,2,0.5
2012/13,Winter,4,3,3,3,2,2,2,2,2,3,3,2,2,0.5
2012/13,Spring,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5
2013/14,Summer,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,0.5
2013/14,Fall,4,3,3,3,2,2,2,2,4,2,2,2,2,0.5
2013/14,Winter,4,3,2,2,3,2,3,2,2,2,2,2,2,0.5
2013/14,Spring,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.5
2014/15,Summer,4,3,2,2,0,2,2,2,3,2,2,0,4,1.0
2014/15,Fall,4,2,2,2,2,2,3,2,3,3,3,2,2,0.5
2014/15,Winter,4,1,1,1,1,1,1,1,2,3,2,1,3,0.75
2014/15,Spring,4,2,3,3,3,1,2,2,2,2,2,1,3,0.75
