year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,129.0,74.0,44.0,23.0,13.0,17.0,20.0,15.0,15.0,20.0,44.0,13.0,116.0,0.9
2000/01,Fall,129,76,44,22,14,13,16,12,13,19,39,12,117,0.91
2000/01,Winter,129,80,42,19,9,7,9,10,9,14,39,7,122,0.95
2000/01,Spring,129.0,76.0,42.0,23.0,11.0,14.0,19.0,16.0,17.0,25.0,40.0,11.0,118.0,0.91
2001/02,Summer,129.0,85.0,53.0,31.0,16.0,19.0,22.0,24.0,25.0,29.0,50.0,16.0,113.0,0.88
2001/02,Fall,129,86,49,23,15,14,13,16,16,25,49,13,116,0.9
2001/02,Winter,129,82,41,22,10,13,21,14,13,18,41,10,119,0.92
2001/02,Spring,129.0,81.0,49.0,28.0,18.0,19.0,23.0,24.0,23.0,28.0,51.0,18.0,111.0,0.86
2002/03,Summer,129.0,82.0,59.0,36.0,24.0,26.0,23.0,24.0,22.0,29.0,44.0,22.0,107.0,0.83
2002/03,Fall,129,82,48,25,19,20,23,20,24,30,56,19,110,0.85
2002/03,Winter,129,83,46,20,13,18,19,14,17,25,53,13,116,0.9
2002/03,Spring,129.0,78.0,46.0,22.0,16.0,19.0,19.0,16.0,19.0,28.0,55.0,16.0,113.0,0.88
2003/04,Summer,129.0,88.0,56.0,31.0,23.0,24.0,25.0,21.0,25.0,32.0,50.0,21.0,108.0,0.84
2003/04,Fall,129,84,51,31,20,18,18,17,25,32,54,17,112,0.87
2003/04,Winter,129,89,52,31,23,24,20,19,24,35,55,19,110,0.85
2003/04,Spring,129.0,88.0,59.0,33.0,23.0,25.0,30.0,26.0,29.0,39.0,63.0,23.0,106.0,0.82
2004/05,Summer,129.0,90.0,60.0,43.0,37.0,35.0,38.0,33.0,38.0,47.0,65.0,33.0,96.0,0.74
2004/05,Fall,129,86,53,28,20,19,20,23,26,38,57,19,110,0.85
2004/05,Winter,129,84,59,38,27,31,32,28,30,42,62,27,102,0.79
2004/05,Spring,129.0,85.0,60.0,34.0,22.0,25.0,27.0,22.0,28.0,39.0,59.0,22.0,107.0,0.83
2005/06,Summer,129.0,93.0,72.0,46.0,37.0,40.0,41.0,39.0,37.0,46.0,67.0,37.0,92.0,0.71
2005/06,Fall,129,83,56,32,22,26,29,27,26,37,52,22,107,0.83
2005/06,Winter,128,85,53,32,21,20,25,22,27,35,61,20,108,0.84
2005/06,Spring,128.0,86.0,59.0,37.0,27.0,30.0,33.0,30.0,32.0,40.0,53.0,27.0,101.0,0.79
2006/07,Summer,128.0,93.0,66.0,44.0,36.0,36.0,43.0,40.0,43.0,52.0,64.0,36.0,92.0,0.72
2006/07,Fall,128,79,46,27,16,21,20,15,19,31,59,15,113,0.88
2006/07,Winter,128,88,58,38,30,29,33,29,34,41,61,29,99,0.77
2006/07,Spring,128.0,87.0,61.0,35.0,28.0,34.0,38.0,34.0,36.0,51.0,67.0,28.0,100.0,0.78
2007/08,Summer,128.0,96.0,72.0,48.0,35.0,39.0,41.0,38.0,44.0,54.0,70.0,35.0,93.0,0.73
2007/08,Fall,128,93,60,40,36,38,39,35,41,54,69,35,93,0.73
