year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,22.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,22.0,1.0
2000/01,Fall,22,12,4,0,0,0,1,0,1,3,5,0,22,1.0
2000/01,Winter,22,8,2,0,0,0,0,0,0,1,6,0,22,1.0
2000/01,Spring,22.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,6.0,0.0,22.0,1.0
2001/02,Summer,22.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,22.0,1.0
2001/02,Fall,22,12,1,0,0,2,2,1,1,2,5,0,22,1.0
2001/02,Winter,22,10,1,0,0,1,2,1,0,2,5,0,22,1.0
2001/02,Spring,22.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,22.0,1.0
2002/03,Summer,22.0,10.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,22.0,1.0
2002/03,Fall,22,8,2,0,0,1,0,1,1,2,6,0,22,1.0
2002/03,Winter,22,11,4,0,0,1,1,1,1,3,7,0,22,1.0
2002/03,Spring,22.0,11.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,8.0,0.0,22.0,1.0
2003/04,Summer,22.0,16.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,22.0,1.0
2003/04,Fall,22,12,2,1,0,0,0,1,1,3,6,0,22,1.0
2003/04,Winter,22,12,3,0,0,1,0,0,1,4,9,0,22,1.0
2003/04,Spring,22.0,12.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,8.0,1.0,21.0,0.95
2004/05,Summer,22.0,13.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,0.0,22.0,1.0
2004/05,Fall,22,11,1,0,0,1,0,1,1,3,6,0,22,1.0
2004/05,Winter,22,12,2,0,0,1,1,1,2,3,6,0,22,1.0
2004/05,Spring,22.0,11.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,9.0,0.0,22.0,1.0
2005/06,Summer,22.0,12.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,9.0,0.0,22.0,1.0
2005/06,Fall,22,9,1,0,0,0,0,1,1,3,6,0,22,1.0
2005/06,Winter,20,8,0,0,0,1,1,0,1,2,6,0,20,1.0
2005/06,Spring,20.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,20.0,1.0
2006/07,Summer,20.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,0.0,20.0,1.0
2006/07,Fall,20,6,2,0,0,1,0,1,2,5,8,0,20,1.0
2006/07,Winter,20,10,3,0,0,1,1,0,2,3,7,0,20,1.0
2006/07,Spring,20.0,10.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,0.0,20.0,1.0
2007/08,Summer,20.0,13.0,8.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,10.0,1.0,19.0,0.95
2007/08,Fall,20,14,6,1,0,1,1,0,2,4,6,0,20,1.0
2007/08,Winter,20,12,7,1,0,2,1,0,1,5,9,0,20,1.0
2007/08,Spring,20.0,14.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,0.0,20.0,1.0
2008/09,Summer,20.0,14.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,19.0,0.95
2008/09,Fall,20,12,8,5,2,2,2,2,2,6,6,2,18,0.9
2008/09,Winter,20,13,8,2,1,1,1,1,2,5,6,1,19,0.95
2008/09,Spring,20.0,14.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,19.0,0.95
2009/10,Summer,20.0,13.0,8.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,8.0,1.0,19.0,0.95
2009/10,Fall,20,14,7,2,1,1,1,1,1,3,5,1,19,0.95
2009/10,Winter,20,14,6,2,0,1,1,0,2,4,8,0,20,1.0
2009/10,Spring,20.0,15.0,10.0,3.0,1.0,2.0,3.0,3.0,4.0,6.0,11.0,1.0,19.0,0.95
2010/11,Summer,20.0,14.0,9.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,9.0,1.0,19.0,0.95
2010/11,Fall,20,12,7,2,0,0,1,1,3,4,6,0,20,1.0
2010/11,Winter,20,14,11,2,1,1,2,1,1,2,8,1,19,0.95
2010/11,Spring,20.0,13.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,8.0,0.0,20.0,1.0
2011/12,Summer,20.0,13.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,9.0,0.0,20.0,1.0
2011/12,Fall,20,13,7,1,0,0,1,2,3,5,10,0,20,1.0
2011/12,Winter,20,14,5,1,0,1,2,3,4,5,9,0,20,1.0
2011/12,Spring,20.0,15.0,8.0,1.0,0.0,1.0,1.0,1.0,3.0,6.0,11.0,0.0,20.0,1.0
2012/13,Summer,20.0,17.0,11.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,9.0,0.0,20.0,1.0
2012/13,Fall,20,12,6,2,0,0,3,4,4,5,6,0,20,1.0
2012/13,Winter,20,14,10,2,1,0,0,1,2,3,7,0,20,1.0
2012/13,Spring,20.0,14.0,7.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,7.0,0.0,20.0,1.0
2013/14,Summer,20.0,14.0,10.0,7.0,3.0,3.0,3.0,3.0,4.0,6.0,9.0,3.0,17.0,0.85
2013/14,Fall,20,13,9,4,0,1,1,1,2,6,10,0,20,1.0
2013/14,Winter,20,11,9,0,1,1,1,0,1,5,9,0,20,1.0
2013/14,Spring,20.0,12.0,7.0,3.0,0.0,1.0,2.0,2.0,3.0,5.0,8.0,0.0,20.0,1.0
2014/15,Summer,20,14,10,6,1,1,1,0,1,4,3,0,20,1.0
2014/15,Fall,20,13,4,0,0,0,1,1,1,5,10,0,20,1.0
2014/15,Winter,20,12,8,4,1,0,1,2,2,5,9,0,20,1.0
2014/15,Spring,20,15,9,2,0,1,1,2,3,5,7,0,20,1.0
