year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,102.0,60.0,37.0,19.0,8.0,11.0,14.0,11.0,10.0,14.0,36.0,8.0,94.0,0.92
2000/01,Fall,102,59,35,17,10,9,11,7,8,12,30,7,95,0.93
2000/01,Winter,102,67,35,14,4,3,5,6,5,9,28,3,99,0.97
2000/01,Spring,102.0,63.0,35.0,18.0,7.0,10.0,13.0,11.0,11.0,17.0,29.0,7.0,95.0,0.93
2001/02,Summer,102.0,69.0,45.0,26.0,12.0,14.0,17.0,19.0,19.0,23.0,40.0,12.0,90.0,0.88
2001/02,Fall,102,69,43,18,10,8,8,12,11,19,40,8,94,0.92
2001/02,Winter,102,67,35,17,6,8,14,9,9,12,31,6,96,0.94
2001/02,Spring,102.0,68.0,41.0,23.0,13.0,14.0,18.0,18.0,17.0,21.0,38.0,13.0,89.0,0.87
2002/03,Summer,102.0,67.0,50.0,32.0,20.0,20.0,18.0,19.0,17.0,23.0,35.0,17.0,85.0,0.83
2002/03,Fall,102,69,41,20,14,14,18,14,18,24,45,14,88,0.86
2002/03,Winter,102,67,38,16,10,14,14,9,12,18,42,9,93,0.91
2002/03,Spring,102.0,62.0,37.0,18.0,13.0,15.0,14.0,13.0,14.0,21.0,44.0,13.0,89.0,0.87
2003/04,Summer,102.0,67.0,44.0,25.0,19.0,19.0,21.0,16.0,20.0,25.0,40.0,16.0,86.0,0.84
2003/04,Fall,102,67,45,26,17,15,15,13,21,26,44,13,89,0.87
2003/04,Winter,102,72,44,26,19,18,16,15,18,26,41,15,87,0.85
2003/04,Spring,102.0,71.0,50.0,28.0,18.0,20.0,24.0,21.0,22.0,29.0,50.0,18.0,84.0,0.82
2004/05,Summer,102.0,72.0,49.0,38.0,33.0,31.0,32.0,29.0,33.0,38.0,54.0,29.0,73.0,0.72
2004/05,Fall,102,70,48,23,15,14,16,17,20,30,46,14,88,0.86
2004/05,Winter,102,68,53,34,23,26,27,22,24,36,52,22,80,0.78
2004/05,Spring,102.0,69.0,51.0,29.0,17.0,19.0,20.0,17.0,22.0,30.0,45.0,17.0,85.0,0.83
2005/06,Summer,102.0,76.0,62.0,42.0,33.0,34.0,36.0,34.0,32.0,37.0,53.0,32.0,70.0,0.69
2005/06,Fall,102,69,50,29,19,22,24,22,20,29,42,19,83,0.81
2005/06,Winter,102,73,50,30,19,17,21,18,23,29,50,17,85,0.83
2005/06,Spring,102.0,73.0,53.0,34.0,25.0,27.0,28.0,26.0,27.0,33.0,44.0,25.0,77.0,0.75
2006/07,Summer,102.0,75.0,55.0,38.0,31.0,31.0,37.0,34.0,36.0,41.0,50.0,31.0,71.0,0.7
2006/07,Fall,102,69,40,23,13,16,17,11,14,21,46,11,91,0.89
2006/07,Winter,102,73,50,34,26,24,27,24,27,32,48,24,78,0.76
2006/07,Spring,102.0,72.0,52.0,31.0,24.0,30.0,32.0,28.0,31.0,41.0,54.0,24.0,78.0,0.76
2007/08,Summer,102.0,79.0,60.0,43.0,32.0,35.0,36.0,33.0,36.0,43.0,54.0,32.0,70.0,0.69
2007/08,Fall,102,76,51,35,32,33,35,31,35,44,57,31,71,0.7
2007/08,Winter,102,78,54,35,24,26,28,25,29,38,54,24,78,0.76
2007/08,Spring,102.0,80.0,53.0,33.0,28.0,29.0,29.0,29.0,30.0,40.0,65.0,28.0,74.0,0.73
2008/09,Summer,102.0,82.0,66.0,50.0,43.0,40.0,44.0,44.0,46.0,53.0,65.0,40.0,62.0,0.61
2008/09,Fall,101,87,72,60,54,53,55,54,58,58,70,53,48,0.48
2008/09,Winter,101,89,73,64,55,54,55,56,59,61,68,54,47,0.47
2008/09,Spring,101.0,88.0,75.0,64.0,57.0,53.0,56.0,56.0,56.0,61.0,74.0,53.0,48.0,0.48
2009/10,Summer,101.0,83.0,68.0,60.0,54.0,51.0,54.0,53.0,54.0,59.0,67.0,51.0,50.0,0.5
2009/10,Fall,101,87,76,62,56,54,54,52,56,62,64,52,49,0.49
2009/10,Winter,101,88,75,67,59,59,58,56,59,63,73,56,45,0.45
2009/10,Spring,101.0,88.0,73.0,61.0,53.0,52.0,56.0,54.0,51.0,55.0,68.0,51.0,50.0,0.5
2010/11,Summer,101.0,86.0,74.0,62.0,57.0,57.0,61.0,55.0,53.0,56.0,69.0,53.0,48.0,0.48
2010/11,Fall,101,87,73,58,49,49,50,45,46,51,71,45,56,0.55
2010/11,Winter,23,17,10,5,2,2,4,3,2,4,7,2,21,0.91
2010/11,Spring,23.0,18.0,15.0,12.0,6.0,5.0,5.0,2.0,4.0,5.0,9.0,2.0,21.0,0.91
2011/12,Summer,23.0,16.0,12.0,10.0,4.0,5.0,3.0,3.0,3.0,4.0,10.0,3.0,20.0,0.87
2011/12,Fall,23,14,2,0,1,0,1,1,5,5,10,0,23,1.0
2011/12,Winter,23,15,8,2,0,0,1,2,3,2,6,0,23,1.0
2011/12,Spring,23.0,13.0,10.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,11.0,0.0,23.0,1.0
2012/13,Summer,23.0,14.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,7.0,0.0,23.0,1.0
2012/13,Fall,21,12,6,0,0,0,0,2,2,3,8,0,21,1.0
2012/13,Winter,21,14,9,5,3,2,2,1,3,4,8,1,20,0.95
2012/13,Spring,21.0,13.0,8.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,10.0,1.0,20.0,0.95
2013/14,Summer,46.0,30.0,21.0,16.0,11.0,10.0,9.0,11.0,15.0,21.0,28.0,9.0,37.0,0.8
2013/14,Fall,46,39,34,20,14,12,15,15,18,19,26,12,34,0.74
2013/14,Winter,47,37,31,16,9,5,7,10,10,12,24,5,42,0.89
2013/14,Spring,46.0,38.0,32.0,16.0,10.0,10.0,8.0,11.0,13.0,15.0,23.0,8.0,38.0,0.83
2014/15,Summer,46,38,31,19,18,15,14,14,12,11,23,11,35,0.76
2014/15,Fall,46,36,25,16,8,7,5,8,9,10,20,5,41,0.89
2014/15,Winter,46,37,32,19,11,9,9,11,18,21,25,9,37,0.8
2014/15,Spring,46,39,33,24,16,17,17,15,17,19,26,15,31,0.67
