year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,397.0,231.0,153.0,93.0,61.0,59.0,67.0,65.0,73.0,90.0,152.0,59.0,338.0,0.85
2000/01,Fall,391,230,133,68,53,50,57,54,69,92,130,50,341,0.87
2000/01,Winter,391,228,138,80,62,62,66,63,70,84,124,62,329,0.84
2000/01,Spring,390.0,233.0,141.0,101.0,82.0,76.0,83.0,80.0,85.0,101.0,135.0,76.0,314.0,0.81
2001/02,Summer,390.0,269.0,182.0,129.0,110.0,112.0,123.0,129.0,131.0,144.0,183.0,110.0,280.0,0.72
2001/02,Fall,432,285,170,120,98,104,103,108,108,144,184,98,334,0.77
2001/02,Winter,321,192,93,37,15,23,23,23,31,42,83,15,306,0.95
2001/02,Spring,323.0,195.0,114.0,57.0,34.0,36.0,35.0,30.0,41.0,63.0,98.0,30.0,293.0,0.91
2002/03,Summer,323.0,207.0,142.0,88.0,61.0,74.0,77.0,77.0,76.0,85.0,123.0,61.0,262.0,0.81
2002/03,Fall,320,199,98,40,19,32,31,30,39,64,103,19,301,0.94
2002/03,Winter,345,225,103,53,15,31,24,30,44,78,122,15,330,0.96
2002/03,Spring,345.0,213.0,112.0,58.0,32.0,37.0,38.0,38.0,52.0,75.0,115.0,32.0,313.0,0.91
2003/04,Summer,375.0,238.0,133.0,83.0,72.0,82.0,82.0,84.0,91.0,121.0,155.0,72.0,303.0,0.81
2003/04,Fall,339,218,87,40,19,20,33,30,42,60,90,19,320,0.94
2003/04,Winter,336,211,80,31,12,21,32,30,39,57,86,12,324,0.96
2003/04,Spring,335.0,217.0,108.0,63.0,39.0,39.0,46.0,42.0,51.0,82.0,114.0,39.0,296.0,0.88
2004/05,Summer,335.0,236.0,127.0,81.0,60.0,61.0,72.0,65.0,75.0,98.0,133.0,60.0,275.0,0.82
2004/05,Fall,334,215,114,63,35,45,43,40,47,60,94,35,299,0.9
2004/05,Winter,440,319,214,147,113,113,119,116,126,151,186,113,327,0.74
2004/05,Spring,444.0,332.0,222.0,154.0,132.0,131.0,125.0,118.0,129.0,160.0,197.0,118.0,326.0,0.73
2005/06,Summer,443.0,334.0,247.0,185.0,154.0,161.0,163.0,162.0,180.0,196.0,230.0,154.0,289.0,0.65
2005/06,Fall,443,322,219,149,125,133,130,133,144,175,216,125,318,0.72
2005/06,Winter,443,295,197,138,98,106,110,117,133,160,202,98,345,0.78
2005/06,Spring,443.0,308.0,203.0,146.0,118.0,124.0,135.0,132.0,141.0,162.0,199.0,118.0,325.0,0.73
2006/07,Summer,400.0,294.0,195.0,148.0,109.0,110.0,121.0,115.0,125.0,157.0,192.0,109.0,291.0,0.73
2006/07,Fall,417,304,186,116,89,103,113,114,130,145,167,89,328,0.79
2006/07,Winter,400,216,141,77,56,62,66,74,69,105,154,56,344,0.86
2006/07,Spring,400.0,262.0,188.0,109.0,79.0,70.0,73.0,71.0,81.0,103.0,145.0,70.0,330.0,0.83
2007/08,Summer,399.0,287.0,194.0,117.0,87.0,91.0,87.0,87.0,112.0,135.0,177.0,87.0,312.0,0.78
